Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
Spo00001	Spo00003	Spo00023	Spo00003	Spo00560	Spo00003	Spo00003	Spo00023	Spo00003	Spo00560	Spo00023	Spo00003	Spo04282	Spo00042	Spo02283	Spo00560	Spo00560	Spo00574	Spo00855	Spo00855	Spo04254	Spo05578	Spo05232	Spo00225	Spo00400	Spo00400	Spo02374	Spo06493	Spo01388	Spo19640	Spo04757	Spo00023	Spo04282	Spo00538	Spo00872	Spo01695	Spo00872	Spo00042	Spo01500	Spo01700	Spo04153	Spo06031	Spo02223	Spo02439	Spo01700	Spo12437	Spo00034	Spo00178	Spo02374	Spo02015	Spo06161	Spo02706	Spo22145	Spo00034	Spo00023	
Spo00002	Spo00011	Spo00034	Spo00011	Spo00574	Spo00013	Spo00011	Spo00042	Spo00013	Spo00574	Spo00034	Spo00011	Spo15206	Spo00044		Spo00574	Spo01532	Spo01046	Spo00900	Spo00900	Spo05276	Spo16961	Spo07720	Spo00507	Spo01096	Spo01096	Spo08879	Spo08535	Spo06594		Spo09094	Spo02935	Spo15206	Spo03572	Spo01695	Spo03518	Spo07090	Spo00044	Spo01845	Spo02223	Spo04906	Spo11298	Spo04951	Spo02453	Spo02381	Spo21472	Spo00178	Spo02895	Spo08879	Spo15990	Spo06162	Spo06594	Spo25391	Spo08979	Spo02935	
Spo00004	Spo00013	Spo00042	Spo00013	Spo01046	Spo00015	Spo00013	Spo00044	Spo00015	Spo01046	Spo00042	Spo00013	Spo23874	Spo00248		Spo01046	Spo02098	Spo01713	Spo01209	Spo01209	Spo08914	Spo17346	Spo09713	Spo00762	Spo01097	Spo01097	Spo26632	Spo09426	Spo13714		Spo16451	Spo03555	Spo23874	Spo05667	Spo03518	Spo03835	Spo11597	Spo00248	Spo01918	Spo02381	Spo11629		Spo05209	Spo03847	Spo02573	Spo21476	Spo02015	Spo03921	Spo26632	Spo16075	Spo06493	Spo11480		Spo11659	Spo03555	
Spo00005	Spo00015	Spo00044	Spo00015	Spo01532	Spo00017	Spo00015	Spo00225	Spo00017	Spo01532	Spo00044	Spo00015	Spo00538	Spo01765		Spo01532	Spo02123	Spo03615	Spo01398	Spo01398	Spo11438	Spo18038	Spo09753	Spo00938	Spo01388	Spo02895		Spo11756	Spo15623			Spo03884		Spo06362	Spo03835	Spo06060	Spo14906	Spo01765	Spo01958	Spo02439			Spo08190	Spo07501	Spo03024	Spo21477	Spo02374	Spo15552		Spo16469	Spo08535	Spo13153		Spo16451	Spo03884	
Spo00006	Spo00017	Spo00178	Spo00017	Spo01713	Spo00023	Spo00017	Spo00248	Spo00027	Spo01713	Spo00178	Spo00017	Spo03572	Spo02285		Spo01713	Spo02214	Spo03711	Spo01546	Spo01546	Spo16820	Spo18930	Spo12291	Spo01223	Spo02374	Spo17749		Spo17348	Spo16300			Spo04664		Spo09735	Spo06060	Spo08715	Spo18169	Spo04978	Spo01974	Spo02453			Spo08903	Spo08183	Spo03025		Spo02706	Spo15877		Spo20756	Spo09426	Spo16571		Spo16892	Spo04664	
Spo00007	Spo00023	Spo00225	Spo00027	Spo02098	Spo00027	Spo00023	Spo00400	Spo00064	Spo02098	Spo00248	Spo00027	Spo05667	Spo02472		Spo02098	Spo02565	Spo03816	Spo02370	Spo02370	Spo19658	Spo20136	Spo13729	Spo01267	Spo02457	Spo23991		Spo23127	Spo16307			Spo04728		Spo10916	Spo07090	Spo09460	Spo21245	Spo08765	Spo02000	Spo02573			Spo08904	Spo11309	Spo05850		Spo02895	Spo18860			Spo17348	Spo18165		Spo17657	Spo04728	
Spo00008	Spo00027	Spo00248	Spo00062	Spo02123	Spo00042	Spo00027	Spo00507	Spo00116	Spo02123	Spo00538	Spo00062	Spo06362	Spo08065		Spo02123	Spo05833	Spo03883	Spo02690	Spo02690	Spo20328	Spo23830	Spo14381	Spo01269	Spo02895	Spo26540			Spo16310			Spo05267		Spo12257	Spo08715	Spo09784	Spo21827	Spo09027	Spo02001	Spo03024			Spo09312	Spo13924	Spo10529		Spo03921	Spo18908			Spo19776	Spo22283		Spo18249	Spo05267	
Spo00009	Spo00034	Spo00400	Spo00064	Spo02214	Spo00044	Spo00034	Spo00560	Spo00121	Spo02214	Spo00872	Spo00064	Spo09735	Spo08765		Spo02214	Spo06256	Spo04965	Spo03971	Spo03971	Spo25266	Spo24868	Spo24983	Spo01588	Spo04757				Spo16409			Spo05688		Spo12911	Spo09460	Spo10106	Spo23112	Spo09106	Spo02078	Spo03025			Spo10795	Spo14163	Spo10537		Spo06161				Spo20447	Spo22284		Spo19113	Spo07256	
Spo00010	Spo00042	Spo00507	Spo00116	Spo02565	Spo00064	Spo00042	Spo00574	Spo00133	Spo02565	Spo01500	Spo00116	Spo10916	Spo09027		Spo02565	Spo06279	Spo05078	Spo04254	Spo05514	Spo25445	Spo27102	Spo26694	Spo01703	Spo06493				Spo18111			Spo07256		Spo14923	Spo09784	Spo10493	Spo23605	Spo10085	Spo02271	Spo03847			Spo11246	Spo14399	Spo15619		Spo06162				Spo21152	Spo23583		Spo19648	Spo07418	
Spo00012	Spo00044	Spo00538	Spo00121	Spo03615	Spo00116	Spo00044	Spo00762	Spo00155	Spo03615	Spo01695	Spo00121	Spo12257	Spo09106		Spo03615	Spo06980	Spo05084	Spo05232	Spo05731	Spo26639			Spo01974	Spo06594				Spo22283			Spo07418		Spo17491	Spo10106	Spo11445	Spo24081	Spo10249	Spo02554	Spo04153			Spo17345	Spo16821	Spo15727		Spo06493					Spo24722		Spo20184	Spo07608	
Spo00014	Spo00062	Spo00560	Spo00133	Spo03711	Spo00121	Spo00062	Spo00855	Spo00173	Spo03711	Spo01700	Spo00133	Spo12911	Spo10085		Spo03711	Spo07404	Spo05741	Spo05276	Spo05843				Spo02022	Spo08535				Spo22284			Spo07608		Spo26957	Spo10493	Spo12581	Spo25369	Spo12785	Spo02626	Spo04906			Spo19438	Spo16925	Spo17046		Spo06594					Spo24833		Spo21646	Spo09601	
Spo00016	Spo00064	Spo00574	Spo00155	Spo03816	Spo00133	Spo00064	Spo00900	Spo00202	Spo03816	Spo01765	Spo00155	Spo14923	Spo10249		Spo03816	Spo08527	Spo06121	Spo05514	Spo06053				Spo02023	Spo08879				Spo24722			Spo09601		Spo26958	Spo11445	Spo14866		Spo16195	Spo02964	Spo04951			Spo21361	Spo20382	Spo19731		Spo08535					Spo25131		Spo21647	Spo10473	
Spo00018	Spo00116	Spo00762	Spo00156	Spo03883	Spo00155	Spo00116	Spo00938	Spo00206	Spo03883	Spo01845	Spo00156	Spo17491	Spo10817		Spo03883	Spo09502	Spo06122	Spo05578	Spo06203				Spo02250	Spo09094							Spo10473		Spo27105	Spo11597	Spo16436		Spo18479	Spo03048	Spo05209			Spo21566	Spo20441	Spo19908		Spo08879					Spo25934			Spo10961	
