Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
Cara_C_LOC113743383_rna2727	Cara_C_LOC113717168_rna73350	Cara_C_LOC113698226_rna51072	Cara_C_LOC113717168_rna73350	Cara_C_LOC113735039_rna24738	Cara_C_LOC113717165_rna72135	Cara_C_LOC113717168_rna73350	Cara_C_LOC113735767_rna24296	Cara_C_LOC113717165_rna72135	Cara_C_LOC113735039_rna24738	Cara_C_LOC113698226_rna51072	Cara_C_LOC113717168_rna73350	Cara_C_LOC113716787_rna72599	Cara_C_LOC113705494_rna60211	Cara_C_LOC113725720_rna1549	Cara_C_LOC113735039_rna24738	Cara_C_LOC113708887_rna62380	Cara_C_LOC113735039_rna24738	Cara_C_LOC113735767_rna24296	Cara_C_LOC113735767_rna24296	Cara_C_LOC113726696_rna11380	Cara_C_LOC113735700_rna3209	Cara_C_LOC113728074_rna1911	Cara_C_LOC113706668_rna61515	Cara_C_LOC113726692_rna11352	Cara_C_LOC113715805_rna73565	Cara_C_LOC113716383_rna73994	Cara_C_LOC113726692_rna11352	Cara_C_LOC113691815_rna41315	Cara_C_LOC113698530_rna50139	Cara_C_LOC113700158_rna49282	Cara_C_LOC113711793_rna714	Cara_C_LOC113716787_rna72599	Cara_C_LOC113735746_rna3219	Cara_C_LOC113725404_rna8893	Cara_C_LOC113726986_rna11870	Cara_C_LOC113725404_rna8893	Cara_C_LOC113705494_rna60211	Cara_C_LOC113698226_rna51072	Cara_C_LOC113698105_rna51036	Cara_C_LOC113713228_rna69972	Cara_C_LOC113726382_rna10780	Cara_C_LOC113698105_rna51036	Cara_C_LOC113708059_rna62398	Cara_C_LOC113692524_rna40409	Cara_C_LOC113698165_rna49860	Cara_C_LOC113691278_rna43071	Cara_C_LOC113698377_rna49834	Cara_C_LOC113716383_rna73994	Cara_C_LOC113726992_rna11887	Cara_C_LOC113726692_rna11352	Cara_C_LOC113691278_rna43071	Cara_C_LOC113715803_rna74528	Cara_C_LOC113714677_rna70354	Cara_C_LOC113711793_rna714	
Cara_C_LOC113717169_rna73723	Cara_C_LOC113717165_rna72135	Cara_C_LOC113735767_rna24296	Cara_C_LOC113717165_rna72135	Cara_C_LOC113698169_rna50004	Cara_C_LOC113728226_rna14610	Cara_C_LOC113717165_rna72135	Cara_C_LOC113706668_rna61515	Cara_C_LOC113728226_rna14610	Cara_C_LOC113698169_rna50004	Cara_C_LOC113707955_rna63111	Cara_C_LOC113717165_rna72135	Cara_C_LOC113691440_rna40466	Cara_C_LOC113738809_rna28829		Cara_C_LOC113698169_rna50004	Cara_C_LOC113691758_rna41724	Cara_C_LOC113698169_rna50004	Cara_C_LOC113735700_rna3209	Cara_C_LOC113717319_rna73025	Cara_C_LOC113716302_rna74947	Cara_C_LOC113738356_rna28323	Cara_C_LOC113734869_rna24248	Cara_C_LOC113706669_rna61475	Cara_C_LOC113726690_rna11355	Cara_C_LOC113692036_rna42917	Cara_C_LOC113698893_rna49317	Cara_C_LOC113726690_rna11355	Cara_C_LOC113689676_rna38998		Cara_C_LOC113727039_rna11995	Cara_C_LOC113707212_rna61525	Cara_C_LOC113691440_rna40466	Cara_C_LOC113723994_rna10684	Cara_C_LOC113726986_rna11870	Cara_C_LOC113697766_rna51972	Cara_C_LOC113726036_rna10067	Cara_C_LOC113716473_rna74974	Cara_C_LOC113707955_rna63111	Cara_C_LOC113708059_rna62398	Cara_C_LOC113708077_rna62349		Cara_C_LOC113726529_rna1663	Cara_C_LOC113734117_rna22529	Cara_C_LOC113690839_rna39051		Cara_C_LOC113726313_rna10648	Cara_C_LOC113694348_rna41503	Cara_C_LOC113698893_rna49317	Cara_C_LOC113724912_rna8014	Cara_C_LOC113726690_rna11355	Cara_C_LOC113726313_rna10648	Cara_C_LOC113725778_rna9612	Cara_C_LOC113690691_rna39872	Cara_C_LOC113707212_rna61525	
Cara_C_LOC113717164_rna72620	Cara_C_LOC113698226_rna51072	Cara_C_LOC113706668_rna61515	Cara_C_LOC113728226_rna14610	Cara_C_LOC113715418_rna74283	Cara_C_LOC113688896_rna38415	Cara_C_LOC113698226_rna51072	Cara_C_LOC113706669_rna61475	Cara_C_LOC113688896_rna38415	Cara_C_LOC113715418_rna74283	Cara_C_LOC113739471_rna28887	Cara_C_LOC113728226_rna14610	Cara_C_LOC113708786_rna62656	Cara_C_LOC113716473_rna74974		Cara_C_LOC113715418_rna74283	Cara_C_LOC113738447_rna28743	Cara_C_LOC113715418_rna74283	Cara_C_LOC113726696_rna11380	Cara_C_LOC113727103_rna12146	Cara_C_LOC113726565_rna1677	Cara_C_LOC113698211_rna48824	Cara_C_LOC113728918_rna2019	Cara_C_LOC113740299_rna28663	Cara_C_LOC113699199_rna48826	Cara_C_LOC113727974_rna14141	Cara_C_LOC113692973_rna42262	Cara_C_LOC113699199_rna48826	Cara_C_LOC113738684_rna29235			Cara_C_LOC113726880_rna11687	Cara_C_LOC113708786_rna62656	Cara_C_LOC113738370_rna28806	Cara_C_LOC113697766_rna51972	Cara_C_LOC113706906_rna61397	Cara_C_LOC113714501_rna69590	Cara_C_LOC113740025_rna29965	Cara_C_LOC113739471_rna28887	Cara_C_LOC113692524_rna40409	Cara_C_LOC113706918_rna59142		Cara_C_LOC113738480_rna28483	Cara_C_LOC113732043_rna2568	Cara_C_LOC113716969_rna74724		Cara_C_LOC113726692_rna11352	Cara_C_LOC113698836_rna48945	Cara_C_LOC113692973_rna42262	Cara_C_LOC113724744_rna7749	Cara_C_LOC113698385_rna49318	Cara_C_LOC113715125_rna71021	Cara_C_LOC113725768_rna9583	Cara_C_LOC113725285_rna8676	Cara_C_LOC113726880_rna11687	
Cara_C_LOC113717167_rna72516	Cara_C_LOC113728226_rna14610	Cara_C_LOC113706669_rna61475	Cara_C_LOC113688896_rna38415	Cara_C_LOC113708887_rna62380	Cara_C_LOC113735767_rna24296	Cara_C_LOC113728226_rna14610	Cara_C_LOC113740299_rna28663	Cara_C_LOC113706329_rna61555	Cara_C_LOC113708887_rna62380	Cara_C_LOC113691278_rna43071	Cara_C_LOC113688896_rna38415	Cara_C_LOC113735746_rna3219	Cara_C_LOC113740025_rna29965		Cara_C_LOC113708887_rna62380	Cara_C_LOC113713480_rna71470	Cara_C_LOC113700211_rna49966	Cara_C_LOC113716302_rna74947	Cara_C_LOC113693668_rna42526	Cara_C_LOC113707207_rna60688	Cara_C_LOC113694131_rna42748	Cara_C_LOC113725497_rna9054	Cara_C_LOC113707955_rna63111	Cara_C_LOC113715805_rna73565	Cara_C_LOC113715637_rna72586		Cara_C_LOC113714836_rna70775	Cara_C_LOC113739388_rna29239			Cara_C_LOC113736048_rna25087		Cara_C_LOC113698640_rna49766	Cara_C_LOC113706906_rna61397	Cara_C_LOC113738507_rna29901	Cara_C_LOC113733848_rna21989	Cara_C_LOC113690709_rna40003	Cara_C_LOC113690801_rna40019	Cara_C_LOC113726529_rna1663			Cara_C_LOC113726459_rna1653	Cara_C_LOC113726304_rna1630	Cara_C_LOC113689822_rna37739		Cara_C_LOC113726690_rna11355			Cara_C_LOC113727138_rna12226	Cara_C_LOC113698143_rna49316	Cara_C_LOC113728249_rna7874		Cara_C_LOC113736042_rna3265	Cara_C_LOC113736048_rna25087	
Cara_C_LOC113689135_rna37571	Cara_C_LOC113688896_rna38415	Cara_C_LOC113740299_rna28663	Cara_C_LOC113706329_rna61555	Cara_C_LOC113700211_rna49966	Cara_C_LOC113706329_rna61555	Cara_C_LOC113688896_rna38415	Cara_C_LOC113707955_rna63111	Cara_C_LOC113728162_rna1920	Cara_C_LOC113700211_rna49966	Cara_C_LOC113690801_rna40019	Cara_C_LOC113728162_rna1920	Cara_C_LOC113723994_rna10684	Cara_C_LOC113692033_rna41722		Cara_C_LOC113700211_rna49966	Cara_C_LOC113727248_rna12482	Cara_C_LOC113713786_rna69361	Cara_C_LOC113717319_rna73025	Cara_C_LOC113692544_rna42925	Cara_C_LOC113693669_rna41585	Cara_C_LOC113733986_rna22183	Cara_C_LOC113717028_rna73642	Cara_C_LOC113699323_rna50438	Cara_C_LOC113691815_rna41315	Cara_C_LOC113689934_rna37151			Cara_C_LOC113740071_rna30117			Cara_C_LOC113707208_rna61484		Cara_C_LOC113727674_rna13570	Cara_C_LOC113726036_rna10067	Cara_C_LOC113691830_rna42256	Cara_C_LOC113698110_rna49870	Cara_C_LOC113692033_rna41722	Cara_C_LOC113715668_rna74000	Cara_C_LOC113690839_rna39051			Cara_C_LOC113716676_rna74272	Cara_C_LOC113716585_rna74841	Cara_C_LOC113706787_rna59280		Cara_C_LOC113726992_rna11887			Cara_C_LOC113707343_rna61130	Cara_C_LOC113714836_rna70775	Cara_C_LOC113738684_rna29235		Cara_C_LOC113699949_rna50130	Cara_C_LOC113707208_rna61484	
Cara_C_LOC113717161_rna74516	Cara_C_LOC113735767_rna24296	Cara_C_LOC113707955_rna63111	Cara_C_LOC113728162_rna1920	Cara_C_LOC113691758_rna41724	Cara_C_LOC113728162_rna1920	Cara_C_LOC113728162_rna1920	Cara_C_LOC113699323_rna50438	Cara_C_LOC113738599_rna29111	Cara_C_LOC113691758_rna41724	Cara_C_LOC113715668_rna74000	Cara_C_LOC113738599_rna29111	Cara_C_LOC113738370_rna28806	Cara_C_LOC113715104_rna70956		Cara_C_LOC113691758_rna41724	Cara_C_LOC113715398_rna73103	Cara_C_LOC113740245_rna1231	Cara_C_LOC113727103_rna12146	Cara_C_LOC113738523_rna29341	Cara_C_LOC113691710_rna41294	Cara_C_LOC113698046_rna50160	Cara_C_LOC113725235_rna8581	Cara_C_LOC113739384_rna29656	Cara_C_LOC113698530_rna50139	Cara_C_LOC113741217_rna1421			Cara_C_LOC113724823_rna7868			Cara_C_LOC113711713_rna713		Cara_C_LOC113706968_rna61381	Cara_C_LOC113738507_rna29901	Cara_C_LOC113727208_rna1774	Cara_C_LOC113735662_rna23982	Cara_C_LOC113715104_rna70956	Cara_C_LOC113730872_rna2353	Cara_C_LOC113738480_rna28483			Cara_C_LOC113715165_rna71515	Cara_C_LOC113740295_rna30524	Cara_C_LOC113689091_rna37245		Cara_C_LOC113715125_rna71021				Cara_C_LOC113697917_rna51599	Cara_C_LOC113692283_rna40812		Cara_C_LOC113727039_rna11995	Cara_C_LOC113711713_rna713	
Cara_C_LOC113717160_rna74522	Cara_C_LOC113706329_rna61555	Cara_C_LOC113739471_rna28887	Cara_C_LOC113738599_rna29111	Cara_C_LOC113713786_rna69361	Cara_C_LOC113738599_rna29111	Cara_C_LOC113738599_rna29111	Cara_C_LOC113735700_rna3209	Cara_C_LOC113707421_rna61616	Cara_C_LOC113713786_rna69361	Cara_C_LOC113698105_rna51036	Cara_C_LOC113707421_rna61616	Cara_C_LOC113698640_rna49766	Cara_C_LOC113727386_rna12907		Cara_C_LOC113713786_rna69361	Cara_C_LOC113708945_rna62679	Cara_C_LOC113740238_rna1230	Cara_C_LOC113693668_rna42526	Cara_C_LOC113691135_rna38156	Cara_C_LOC113698710_rna49158	Cara_C_LOC113726769_rna1705	Cara_C_LOC113726467_rna1655	Cara_C_LOC113715668_rna74000	Cara_C_LOC113689676_rna38998				Cara_C_LOC113739369_rna30816			Cara_C_LOC113735227_rna25158		Cara_C_LOC113739691_rna28669	Cara_C_LOC113691830_rna42256	Cara_C_LOC113697862_rna48847	Cara_C_LOC113688877_rna39836	Cara_C_LOC113727386_rna12907	Cara_C_LOC113733830_rna21942	Cara_C_LOC113734117_rna22529			Cara_C_LOC113731816_rna2527	Cara_C_LOC113714757_rna71435	Cara_C_LOC113689906_rna39046		Cara_C_LOC113715803_rna74528				Cara_C_LOC113692275_rna43580	Cara_C_LOC113692697_rna40811		Cara_C_LOC113716630_rna73925	Cara_C_LOC113735227_rna25158	
Cara_C_LOC113717163_rna73548	Cara_C_LOC113728162_rna1920	Cara_C_LOC113699323_rna50438	Cara_C_LOC113707421_rna61616	Cara_C_LOC113740245_rna1231	Cara_C_LOC113707421_rna61616	Cara_C_LOC113707421_rna61616	Cara_C_LOC113739384_rna29656	Cara_C_LOC113728229_rna14612	Cara_C_LOC113740245_rna1231	Cara_C_LOC113726313_rna10648	Cara_C_LOC113717170_rna73727	Cara_C_LOC113727674_rna13570	Cara_C_LOC113714367_rna70906		Cara_C_LOC113740245_rna1231	Cara_C_LOC113707292_rna62019	Cara_C_LOC113728128_rna14432	Cara_C_LOC113692544_rna42925	Cara_C_LOC113725051_rna8272	Cara_C_LOC113731598_rna2492	Cara_C_LOC113715110_rna70688	Cara_C_LOC113736062_rna24572	Cara_C_LOC113739858_rna29338	Cara_C_LOC113716383_rna73994				Cara_C_LOC113739364_rna30793			Cara_C_LOC113724750_rna7757		Cara_C_LOC113705418_rna59759	Cara_C_LOC113727208_rna1774	Cara_C_LOC113698095_rna50941		Cara_C_LOC113715448_rna74374	Cara_C_LOC113690780_rna39032	Cara_C_LOC113732043_rna2568			Cara_C_LOC113725521_rna9109	Cara_C_LOC113714618_rna69707	Cara_C_LOC113726667_rna11307		Cara_C_LOC113698385_rna49318					Cara_C_LOC113727702_rna13629		Cara_C_LOC113740197_rna28163	Cara_C_LOC113724750_rna7757	
Cara_C_LOC113717162_rna73730	Cara_C_LOC113738599_rna29111	Cara_C_LOC113691278_rna43071	Cara_C_LOC113717170_rna73727	Cara_C_LOC113738447_rna28743	Cara_C_LOC113728229_rna14612	Cara_C_LOC113717170_rna73727	Cara_C_LOC113715668_rna74000	Cara_C_LOC113700074_rna49122	Cara_C_LOC113738447_rna28743	Cara_C_LOC113708059_rna62398	Cara_C_LOC113726817_rna11562	Cara_C_LOC113706968_rna61381	Cara_C_LOC113727752_rna13727		Cara_C_LOC113738447_rna28743	Cara_C_LOC113729700_rna2129	Cara_C_LOC113715376_rna72723	Cara_C_LOC113738523_rna29341	Cara_C_LOC113726937_rna11776	Cara_C_LOC113740381_rna30745	Cara_C_LOC113727686_rna13593	Cara_C_LOC113726556_rna1665	Cara_C_LOC113688907_rna37683	Cara_C_LOC113692036_rna42917				Cara_C_LOC113708799_rna62049			Cara_C_LOC113741776_rna32		Cara_C_LOC113725117_rna8371	Cara_C_LOC113697862_rna48847	Cara_C_LOC113727141_rna12230		Cara_C_LOC113716407_rna73557	Cara_C_LOC113738716_rna30570	Cara_C_LOC113716969_rna74724			Cara_C_LOC113706379_rna59274	Cara_C_LOC113689880_rna39107	Cara_C_LOC113694112_rna44360		Cara_C_LOC113698377_rna49834					Cara_C_LOC113726325_rna10663		Cara_C_LOC113733819_rna21929	Cara_C_LOC113741776_rna32	
Cara_C_LOC113698220_rna49731	Cara_C_LOC113707421_rna61616	Cara_C_LOC113735700_rna3209	Cara_C_LOC113726817_rna11562	Cara_C_LOC113713480_rna71470	Cara_C_LOC113700074_rna49122	Cara_C_LOC113726817_rna11562	Cara_C_LOC113739858_rna29338	Cara_C_LOC113692226_rna40989	Cara_C_LOC113713480_rna71470	Cara_C_LOC113725404_rna8893	Cara_C_LOC113726813_rna11557	Cara_C_LOC113739691_rna28669	Cara_C_LOC113716407_rna73557		Cara_C_LOC113713480_rna71470	Cara_C_LOC113706753_rna60273	Cara_C_LOC113699514_rna50803	Cara_C_LOC113726565_rna1677	Cara_C_LOC113698799_rna50055			Cara_C_LOC113698496_rna49793	Cara_C_LOC113697785_rna50672	Cara_C_LOC113738684_rna29235				Cara_C_LOC113698860_rna49109			Cara_C_LOC113717412_rna72074		Cara_C_LOC113707191_rna61570	Cara_C_LOC113698095_rna50941	Cara_C_LOC113734315_rna22958		Cara_C_LOC113714907_rna72056	Cara_C_LOC113691649_rna44223	Cara_C_LOC113689822_rna37739			Cara_C_LOC113690658_rna39590	Cara_C_LOC113694007_rna41917	Cara_C_LOC113725864_rna9756		Cara_C_LOC113716383_rna73994					Cara_C_LOC113716480_rna74289			Cara_C_LOC113717412_rna72074	
