Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
BrastK001600.1	Brast10G104500.1	Brast10G093900.1	Brast10G104500.1	Brast10G102500.1	Brast10G104500.1	Brast10G104500.1	Brast10G093900.1	Brast10G104500.1	Brast10G102500.1	Brast10G117400.1	Brast10G104500.1	Brast09G067800.1	Brast10G117400.1	Brast10G125300.1	Brast10G102500.1	Brast06G126000.1	Brast10G102500.1	Brast10G053000.1	Brast06G034300.1	Brast06G174600.1	Brast10G053000.1	Brast06G121500.1	Brast10G093900.1	Brast10G140100.1	Brast10G140100.1	Brast10G116100.1	Brast09G270500.1	Brast10G080800.1	Brast06G115900.1	Brast06G217600.1	Brast10G121400.1		Brast09G067800.1	Brast10G125200.1	Brast10G125200.1	Brast09G106600.1	Brast10G117400.1	Brast10G049600.1	Brast10G093000.1	Brast06G113000.1	Brast06G096200.1	Brast10G078100.1	Brast10G093000.1	Brast10G083700.1	Brast10G096300.1	Brast10G140100.1	Brast10G140100.1	Brast10G116100.1	Brast03G023400.1	Brast06G205300.1	Brast06G223500.1	Brast04G222400.1	Brast10G140800.1	Brast10G121400.1	
Brast10G177600.1	Brast10G093900.1	Brast10G053000.1	Brast10G061700.1	Brast10G085600.1	Brast10G093900.1	Brast10G061700.1	Brast10G053000.1	Brast10G061700.1	Brast10G085600.1	Brast10G049600.1	Brast10G061700.1	Brast03G236500.1	Brast06G194400.1		Brast10G085600.1	Brast06G026100.1	Brast10G085600.1	Brast06G121500.1	Brast06G166700.1	Brast06G011200.1	Brast06G015300.1	Brast06G151400.1	Brast10G127800.1	Brast10G116100.1	Brast06G226900.1		Brast08G226500.1	Brast06G125700.1		Brast02G130800.1	Brast10G151300.1		Brast03G236500.1	Brast09G106600.1	Brast08G138700.1	Brast09G269400.1	Brast06G194400.1	Brast10G037800.1	Brast10G096300.1	Brast04G019300.1	Brast02G319000.1	Brast06G243200.1	Brast06G078700.1	Brast06G225800.1	Brast10G107800.1	Brast10G140800.1	Brast09G110100.1		Brast08G022600.1	Brast09G270500.1	Brast06G076000.1	Brast02G045400.1	Brast03G166100.1	Brast10G151300.1	
Brast10G063300.1	Brast10G053000.1	Brast10G102500.1	Brast10G078200.1	Brast10G085200.1	Brast10G053000.1	Brast10G078200.1	Brast10G102500.1	Brast10G078200.1	Brast10G085200.1	Brast10G121400.1	Brast10G078200.1	Brast03G096600.1	Brast09G249500.1		Brast10G085200.1	Brast06G020300.1	Brast10G085200.1	Brast06G034300.1	Brast06G120000.1	Brast09G064300.1	Brast06G031500.1	Brast03G067300.1	Brast10G004000.1	Brast10G080800.1	Brast03G028300.1		Brast04G136400.1	Brast03G277800.1		Brast01G248600.1	Brast10G065700.1		Brast03G096600.1	Brast09G269400.1	Brast08G249500.1	Brast04G270400.1	Brast09G249500.1	Brast10G150600.1	Brast10G078100.1	Brast04G049700.1		Brast06G125400.1	Brast06G228100.1	Brast06G102200.1	Brast09G038200.1	Brast10G116100.1	Brast03G098500.1		Brast08G007500.1	Brast08G226500.1	Brast08G124900.1		Brast03G131400.1	Brast10G065700.1	
Brast10G148100.1	Brast10G061700.1	Brast10G085600.1	Brast10G029500.1	Brast10G137000.1	Brast10G061700.1	Brast10G029500.1	Brast10G085600.1	Brast10G029500.1	Brast10G137000.1	Brast10G037800.1	Brast10G029500.1	Brast08G004000.1	Brast09G254500.1		Brast10G137000.1	Brast06G172600.1	Brast10G137000.1	Brast06G166700.1	Brast06G036200.1	Brast03G304900.1	Brast09G083900.1	Brast03G256400.1	Brast10G067900.1	Brast06G217600.1	Brast07G221900.1		Brast04G244900.1	Brast08G124900.1		Brast01G353900.1	Brast06G208400.1		Brast08G004000.1	Brast08G138700.1	Brast04G119100.1	Brast07G136500.1	Brast09G254500.1	Brast10G150100.1	Brast10G083700.1			Brast06G058100.1	Brast06G160300.1	Brast06G227400.1	Brast03G114700.1	Brast06G205300.1	Brast08G016900.1		Brast08G005200.1	Brast04G178400.1	Brast04G146700.1		Brast08G243100.1	Brast06G208400.1	
Brast10G036900.1	Brast10G102500.1	Brast10G117400.1	Brast10G008300.1	Brast10G014300.1	Brast10G102500.1	Brast10G008300.1	Brast10G117400.1	Brast10G008300.1	Brast10G014300.1	Brast10G140100.1	Brast10G008300.1	Brast04G188200.1	Brast09G226700.1		Brast10G014300.1	Brast09G145400.1	Brast10G014300.1	Brast06G174600.1	Brast06G073400.1	Brast08G054600.1	Brast08G098100.1	Brast03G123200.1	Brast10G014800.1	Brast06G115900.1	Brast02G331700.1		Brast05G255800.1	Brast04G007500.1			Brast06G137800.1		Brast04G188200.1	Brast08G249500.1	Brast04G099800.1	Brast02G379300.1	Brast09G226700.1	Brast06G147700.1	Brast10G107800.1			Brast09G157600.1	Brast09G074300.1	Brast06G015500.1		Brast06G223500.1	Brast01G394300.1		Brast05G075200.1	Brast05G255800.1	Brast05G213600.1		Brast08G158200.1	Brast06G137800.1	
Brast10G036100.1	Brast10G078200.1	Brast10G049600.1	Brast10G007800.1	Brast10G066200.1	Brast10G078200.1	Brast10G117400.1	Brast10G085200.1	Brast10G050900.1	Brast10G066200.1	Brast10G150600.1	Brast10G007800.1	Brast04G185100.1	Brast09G137500.1		Brast10G066200.1	Brast03G176200.1	Brast10G066200.1	Brast06G015300.1	Brast09G044100.1	Brast08G127000.1	Brast04G152400.1	Brast08G237700.1	Brast10G053900.1	Brast06G226900.1			Brast05G260200.1	Brast02G214700.1			Brast06G211000.1		Brast04G185100.1	Brast04G119100.1	Brast04G052400.1	Brast02G276700.1	Brast09G137500.1	Brast06G059400.1	Brast06G243200.1			Brast03G074100.1	Brast03G238000.1	Brast06G227300.1		Brast06G076000.1	Brast01G276200.1		Brast02G130000.1	Brast05G260200.1	Brast02G330800.1		Brast04G211800.1	Brast06G211000.1	
Brast10G008500.1	Brast10G085600.1	Brast10G085200.1	Brast10G050900.1	Brast06G102100.1	Brast10G085600.1	Brast10G007800.1	Brast10G127800.1	Brast10G040100.1	Brast06G102100.1	Brast10G093000.1	Brast10G050900.1	Brast04G188500.1	Brast09G069300.1		Brast06G102100.1	Brast03G119300.1	Brast06G102100.1	Brast06G031500.1	Brast03G235400.1	Brast04G177700.1	Brast04G292000.1	Brast08G033000.1	Brast10G185500.1	Brast06G125700.1			Brast02G364100.1				Brast09G230600.1		Brast04G188500.1	Brast04G099800.1	Brast04G023400.1	Brast02G320800.1	Brast09G069300.1	Brast06G194800.1	Brast06G225800.1			Brast03G091700.1	Brast08G026900.1	Brast06G094500.1		Brast09G110100.1	Brast01G259500.1		Brast02G392400.1	Brast05G161900.1	Brast02G189000.1		Brast04G047600.1	Brast09G230600.1	
Brast10G058300.1	Brast10G029500.1	Brast10G127800.1	Brast10G040100.1	Brast06G126000.1	Brast10G029500.1	Brast10G050900.1	Brast10G121400.1	Brast10G039500.1	Brast06G126000.1	Brast10G096300.1	Brast10G040100.1	Brast05G068400.1	Brast03G157900.1		Brast06G126000.1	Brast03G193700.1	Brast06G061500.1	Brast06G120000.1	Brast03G003400.1	Brast04G187500.1	Brast04G070600.1	Brast08G047900.1	Brast10G088900.1	Brast09G270500.1			Brast01G328300.1				Brast03G042200.1		Brast05G068400.1	Brast04G270400.1	Brast04G309000.1	Brast02G160200.1	Brast03G104300.1	Brast06G099400.1	Brast06G096200.1			Brast08G248400.1	Brast04G029800.1	Brast06G207200.1		Brast09G270500.1	Brast01G112100.1			Brast02G364100.1	Brast02G214700.1		Brast05G157100.1	Brast03G042200.1	
Brast10G173900.1	Brast10G008300.1	Brast10G121400.1	Brast10G001700.1	Brast06G026100.1	Brast10G008300.1	Brast10G040100.1	Brast10G140100.1	Brast10G124800.1	Brast06G026100.1	Brast10G150100.1	Brast10G001700.1	Brast05G238100.1	Brast03G104300.1		Brast06G026100.1	Brast03G164700.1	Brast09G036600.1	Brast06G036200.1	Brast03G193100.1	Brast05G020800.1	Brast04G174200.1	Brast04G088700.1	Brast10G099700.1	Brast03G028300.1			Brast01G328500.1				Brast03G078700.1		Brast05G238100.1	Brast04G052400.1	Brast04G230500.1	Brast02G078700.1	Brast04G087600.1	Brast06G238300.1	Brast06G102200.1			Brast04G015500.1	Brast04G262800.1	Brast09G103400.1		Brast03G023400.1				Brast01G351500.1	Brast02G376400.1		Brast07G116000.1	Brast03G078700.1	
Brast10G030700.1	Brast10G117400.1	Brast10G037800.1	Brast10G039500.1	Brast06G020300.1	Brast10G117400.1	Brast10G001700.1	Brast10G137000.1	Brast10G086500.1	Brast06G020300.1	Brast10G125200.1	Brast10G039500.1	Brast07G010100.1	Brast08G065500.1		Brast06G020300.1	Brast08G207500.1	Brast09G201200.1	Brast06G151400.1	Brast03G210100.1	Brast05G260700.1	Brast07G014500.1	Brast04G281700.1	Brast06G065400.1	Brast03G277800.1							Brast03G147100.1		Brast07G010100.1	Brast04G023400.1	Brast05G090400.1	Brast01G184200.1	Brast05G068300.1	Brast06G122800.1	Brast06G125400.1			Brast04G158900.1	Brast05G122700.1	Brast03G045800.1		Brast03G098500.1					Brast01G402400.1		Brast07G101600.1	Brast03G147100.1	
