#Gene	Overall Prediction	TargetP	iPSORT	LOCALIZER	Predotar
evm.model.Ga01G0001	non-organellar	non-organellar	non-organellar	non-organellar	N/A
evm.model.Ga01G0002	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0003	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0004	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0005	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0006	mitochondrial	non-organellar	mitochondrial	mitochondrial	non-organellar
evm.model.Ga01G0007	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0008	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0009	plastid	plastid	plastid	plastid	plastid
evm.model.Ga01G0010	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0011	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0012	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0013	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0014	mitochondrial	non-organellar	mitochondrial	mitochondrial	non-organellar
evm.model.Ga01G0015	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0016	dual	dual	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0017	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0018	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
evm.model.Ga01G0019	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0020	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0021	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0022	mitochondrial	non-organellar	mitochondrial	mitochondrial	non-organellar
evm.model.Ga01G0023	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0024	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
evm.model.Ga01G0025	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
