#Gene	Overall Prediction	TargetP	iPSORT	LOCALIZER	Predotar
Cpallidicaule_CP012907	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012908	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Cpallidicaule_CP012909	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Cpallidicaule_CP012910	plastid	non-organellar	plastid	non-organellar	non-organellar
Cpallidicaule_CP012911	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012912	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012913	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012914	dual	plastid	mitochondrial	non-organellar	non-organellar
Cpallidicaule_CP012915	dual	dual	mitochondrial	plastid	dual
Cpallidicaule_CP012916	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cpallidicaule_CP012917	mitochondrial	mitochondrial	non-organellar	non-organellar	N/A
Cpallidicaule_CP012918	dual	dual	non-organellar	plastid	non-organellar
Cpallidicaule_CP012919	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012920	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Cpallidicaule_CP012921	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012922	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012923	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012924	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012925	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012926	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012927	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012928	plastid	plastid	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012929	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012930	mitochondrial	mitochondrial	mitochondrial	mitochondrial	non-organellar
Cpallidicaule_CP012931	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012932	plastid	plastid	plastid	non-organellar	non-organellar
Cpallidicaule_CP012933	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012934	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012935	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012936	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012937	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012938	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cpallidicaule_CP012939	mitochondrial	non-organellar	non-organellar	mitochondrial	non-organellar
Cpallidicaule_CP012940	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012941	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012942	mitochondrial	non-organellar	non-organellar	mitochondrial	non-organellar
Cpallidicaule_CP012943	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012944	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012945	plastid	non-organellar	plastid	plastid	non-organellar
Cpallidicaule_CP012946	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012947	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012948	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012949	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012950	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cpallidicaule_CP012951	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012952	dual	dual	plastid	plastid	non-organellar
Cpallidicaule_CP012953	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012954	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012955	dual	dual	mitochondrial	mitochondrial	non-organellar
Cpallidicaule_CP012956	dual	dual	plastid	non-organellar	non-organellar
Cpallidicaule_CP012957	plastid	plastid	plastid	non-organellar	N/A
Cpallidicaule_CP012958	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cpallidicaule_CP012959	dual	non-organellar	mitochondrial	plastid	non-organellar
Cpallidicaule_CP012960	dual	dual	mitochondrial	plastid	dual
Cpallidicaule_CP012961	dual	dual	non-organellar	plastid	non-organellar
Cpallidicaule_CP012962	mitochondrial	non-organellar	mitochondrial	non-organellar	mitochondrial
Cpallidicaule_CP012965	plastid	non-organellar	plastid	non-organellar	non-organellar
Cpallidicaule_CP012967	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012968	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012969	plastid	plastid	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012970	plastid	plastid	plastid	plastid	N/A
Cpallidicaule_CP012971	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012972	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cpallidicaule_CP012973	dual	mitochondrial	plastid	mitochondrial	mitochondrial
Cpallidicaule_CP012974	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012975	dual	plastid	mitochondrial	plastid	non-organellar
Cpallidicaule_CP012976	plastid	plastid	plastid	non-organellar	non-organellar
Cpallidicaule_CP012977	mitochondrial	non-organellar	non-organellar	mitochondrial	non-organellar
Cpallidicaule_CP012979	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012981	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012982	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012983	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012984	dual	dual	mitochondrial	dual	mitochondrial
Cpallidicaule_CP012985	plastid	plastid	plastid	plastid	plastid
Cpallidicaule_CP012986	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012987	mitochondrial	mitochondrial	non-organellar	mitochondrial	non-organellar
Cpallidicaule_CP012988	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012989	plastid	non-organellar	plastid	non-organellar	non-organellar
Cpallidicaule_CP012990	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cpallidicaule_CP012991	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
Cpallidicaule_CP012992	plastid	non-organellar	plastid	non-organellar	non-organellar
Cpallidicaule_CP012993	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
