#Gene	Overall Prediction	TargetP	iPSORT	LOCALIZER	Predotar
Csuecicum_BBB00004	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00003	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00005	plastid	plastid	non-organellar	plastid	non-organellar
Csuecicum_BBB00007	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00006	plastid	non-organellar	plastid	non-organellar	non-organellar
Csuecicum_BBB00001	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Csuecicum_BBB00002	dual	dual	mitochondrial	non-organellar	N/A
Csuecicum_BBB00012	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00015	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00011	plastid	plastid	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00017	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00008	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00016	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00010	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00009	dual	dual	plastid	non-organellar	non-organellar
Csuecicum_BBB00014	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00018	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00019	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00013	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00024	plastid	non-organellar	plastid	non-organellar	non-organellar
Csuecicum_BBB00021	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00026	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Csuecicum_BBB00027	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00020	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Csuecicum_BBB00025	plastid	plastid	plastid	plastid	plastid
Csuecicum_BBB00028	dual	dual	mitochondrial	dual	plastid
Csuecicum_BBB00022	plastid	non-organellar	plastid	non-organellar	non-organellar
Csuecicum_BBB00023	plastid	non-organellar	non-organellar	plastid	non-organellar
Csuecicum_BBB00041	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00039	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00036	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00038	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00032	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00034	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00030	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00031	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00040	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00029	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00033	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00037	plastid	plastid	non-organellar	non-organellar	N/A
Csuecicum_BBB00035	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00049	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00050	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Csuecicum_BBB00042	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00043	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00045	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Csuecicum_BBB00044	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
