#Gene	Overall Prediction	TargetP	iPSORT	LOCALIZER	Predotar
HORVU0Hr1G014750	plastid	non-organellar	non-organellar	plastid	non-organellar
HORVU0Hr1G012490	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
HORVU0Hr1G031810	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G022520	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
HORVU0Hr1G001400	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G022770	dual	plastid	mitochondrial	non-organellar	N/A
HORVU0Hr1G017800	plastid	plastid	plastid	plastid	N/A
HORVU0Hr1G039050	mitochondrial	mitochondrial	non-organellar	mitochondrial	mitochondrial
HORVU0Hr1G016190	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
HORVU0Hr1G020980	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G022540	plastid	non-organellar	non-organellar	plastid	N/A
HORVU0Hr1G040540	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G019620	dual	plastid	mitochondrial	plastid	N/A
HORVU0Hr1G017510	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G040000	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G031640	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G032000	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G009560	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G027920	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G006070	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G016630	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G036380	mitochondrial	mitochondrial	non-organellar	mitochondrial	mitochondrial
HORVU0Hr1G016330	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G013950	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G025800	dual	mitochondrial	plastid	non-organellar	N/A
HORVU0Hr1G003020	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G004800	dual	dual	plastid	non-organellar	N/A
HORVU0Hr1G033200	plastid	plastid	plastid	plastid	N/A
HORVU0Hr1G000410	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G015810	dual	mitochondrial	plastid	non-organellar	non-organellar
HORVU0Hr1G021000	dual	dual	mitochondrial	plastid	N/A
HORVU0Hr1G001240	mitochondrial	mitochondrial	mitochondrial	non-organellar	N/A
HORVU0Hr1G026700	dual	dual	mitochondrial	plastid	N/A
HORVU0Hr1G039460	dual	dual	mitochondrial	plastid	N/A
HORVU0Hr1G023870	dual	dual	mitochondrial	non-organellar	N/A
HORVU0Hr1G019670	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G017330	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G024390	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G000990	plastid	plastid	plastid	plastid	N/A
HORVU0Hr1G008950	plastid	non-organellar	plastid	plastid	N/A
HORVU0Hr1G017100	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G007650	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G022480	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G016960	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G016920	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G013890	dual	plastid	mitochondrial	non-organellar	N/A
HORVU0Hr1G027070	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G036390	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G010920	dual	dual	mitochondrial	mitochondrial	N/A
HORVU0Hr1G032710	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G039250	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G000720	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G022280	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G013760	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G015960	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G010000	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G025870	mitochondrial	mitochondrial	non-organellar	non-organellar	N/A
HORVU0Hr1G039670	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G017950	plastid	non-organellar	plastid	non-organellar	non-organellar
HORVU0Hr1G000810	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G015950	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G022240	dual	dual	mitochondrial	plastid	mitochondrial
HORVU0Hr1G038970	plastid	plastid	plastid	non-organellar	non-organellar
HORVU0Hr1G022350	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G032250	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G028950	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G008080	plastid	non-organellar	plastid	non-organellar	non-organellar
HORVU0Hr1G022610	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G017480	dual	dual	mitochondrial	non-organellar	non-organellar
HORVU0Hr1G013220	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G033130	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G036750	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G022060	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G028890	plastid	non-organellar	plastid	non-organellar	N/A
HORVU0Hr1G024880	dual	dual	mitochondrial	plastid	mitochondrial
HORVU0Hr1G034090	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
HORVU0Hr1G038250	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G023050	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G012630	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G003000	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G023980	dual	dual	non-organellar	non-organellar	non-organellar
HORVU0Hr1G009410	dual	dual	plastid	plastid	N/A
HORVU0Hr1G029370	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G005900	plastid	plastid	non-organellar	non-organellar	non-organellar
HORVU0Hr1G021390	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G010340	mitochondrial	mitochondrial	mitochondrial	mitochondrial	non-organellar
HORVU0Hr1G040530	dual	dual	mitochondrial	dual	N/A
HORVU0Hr1G009740	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G026590	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G034320	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G022470	plastid	non-organellar	plastid	non-organellar	N/A
HORVU0Hr1G016930	dual	dual	plastid	plastid	plastid
HORVU0Hr1G025890	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G013200	dual	dual	mitochondrial	non-organellar	N/A
HORVU0Hr1G011310	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G021980	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G018210	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G018030	plastid	plastid	plastid	non-organellar	non-organellar
HORVU0Hr1G005020	dual	mitochondrial	plastid	non-organellar	N/A
HORVU0Hr1G034340	dual	dual	non-organellar	mitochondrial	non-organellar
HORVU0Hr1G020350	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G022830	dual	dual	mitochondrial	mitochondrial	non-organellar
HORVU0Hr1G015390	plastid	non-organellar	plastid	non-organellar	N/A
HORVU0Hr1G037170	mitochondrial	mitochondrial	non-organellar	mitochondrial	N/A
HORVU0Hr1G001390	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G016230	dual	plastid	mitochondrial	plastid	non-organellar
HORVU0Hr1G039990	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G016820	dual	dual	mitochondrial	non-organellar	N/A
HORVU0Hr1G026890	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
HORVU0Hr1G020740	mitochondrial	non-organellar	mitochondrial	non-organellar	N/A
HORVU0Hr1G025390	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G017620	plastid	non-organellar	plastid	non-organellar	non-organellar
HORVU0Hr1G012920	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
HORVU0Hr1G031850	dual	dual	plastid	non-organellar	N/A
HORVU0Hr1G038620	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G015290	non-organellar	non-organellar	non-organellar	non-organellar	N/A
HORVU0Hr1G003340	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G021930	mitochondrial	non-organellar	non-organellar	mitochondrial	non-organellar
HORVU0Hr1G016940	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
HORVU0Hr1G032730	plastid	non-organellar	plastid	non-organellar	non-organellar
HORVU0Hr1G022360	non-organellar	non-organellar	non-organellar	non-organellar	N/A
