Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
Csuecicum_BBB00004	Csuecicum_BBB00006	Csuecicum_BBB00062	Csuecicum_BBB00006	Csuecicum_BBB00062	Csuecicum_BBB00046	Csuecicum_BBB00006	Csuecicum_BBB00062	Csuecicum_BBB00046	Csuecicum_BBB00062	Csuecicum_BBB00073	Csuecicum_BBB00006	Csuecicum_BBB17431	Csuecicum_BBB06148	Csuecicum_BBB04512	Csuecicum_BBB00062	Csuecicum_BBB00062	Csuecicum_BBB15337	Csuecicum_BBB06488	Csuecicum_BBB06435	Csuecicum_BBB14953	Csuecicum_BBB06488	Csuecicum_BBB14685	Csuecicum_BBB06136	Csuecicum_BBB14722	Csuecicum_BBB14455	Csuecicum_BBB01326	Csuecicum_BBB01708	Csuecicum_BBB14722	Csuecicum_BBB00771	Csuecicum_BBB01298	Csuecicum_BBB14863	Csuecicum_BBB17431	Csuecicum_BBB14795	Csuecicum_BBB00107	Csuecicum_BBB00107	Csuecicum_BBB16525	Csuecicum_BBB06148	Csuecicum_BBB00073	Csuecicum_BBB06189	Csuecicum_BBB02928	Csuecicum_BBB19340	Csuecicum_BBB06189	Csuecicum_BBB06310	Csuecicum_BBB14915	Csuecicum_BBB10249	Csuecicum_BBB14835	Csuecicum_BBB14770	Csuecicum_BBB01326	Csuecicum_BBB06412	Csuecicum_BBB14835	Csuecicum_BBB06427	Csuecicum_BBB08009	Csuecicum_BBB15793	Csuecicum_BBB14863	
Csuecicum_BBB00003	Csuecicum_BBB00011	Csuecicum_BBB00073	Csuecicum_BBB00011	Csuecicum_BBB14469	Csuecicum_BBB00062	Csuecicum_BBB00011	Csuecicum_BBB06136	Csuecicum_BBB00055	Csuecicum_BBB14469	Csuecicum_BBB00107	Csuecicum_BBB00011	Csuecicum_BBB18483	Csuecicum_BBB06138		Csuecicum_BBB14469	Csuecicum_BBB14469	Csuecicum_BBB07117	Csuecicum_BBB06435	Csuecicum_BBB15595	Csuecicum_BBB02178	Csuecicum_BBB01704	Csuecicum_BBB16862	Csuecicum_BBB06245	Csuecicum_BBB14455	Csuecicum_BBB06653	Csuecicum_BBB06731	Csuecicum_BBB16955	Csuecicum_BBB02230		Csuecicum_BBB16532	Csuecicum_BBB15012	Csuecicum_BBB18483	Csuecicum_BBB06418	Csuecicum_BBB01365	Csuecicum_BBB01365	Csuecicum_BBB02469	Csuecicum_BBB06138	Csuecicum_BBB06136	Csuecicum_BBB06310	Csuecicum_BBB01179	Csuecicum_BBB19285	Csuecicum_BBB15061	Csuecicum_BBB07077	Csuecicum_BBB08552	Csuecicum_BBB12266	Csuecicum_BBB14834	Csuecicum_BBB16390	Csuecicum_BBB06731	Csuecicum_BBB07489	Csuecicum_BBB14834	Csuecicum_BBB06436	Csuecicum_BBB08010	Csuecicum_BBB16456	Csuecicum_BBB15012	
Csuecicum_BBB00005	Csuecicum_BBB00025	Csuecicum_BBB00107	Csuecicum_BBB00025	Csuecicum_BBB06201	Csuecicum_BBB00055	Csuecicum_BBB00025	Csuecicum_BBB06148	Csuecicum_BBB00084	Csuecicum_BBB06201	Csuecicum_BBB06136	Csuecicum_BBB00025	Csuecicum_BBB19354	Csuecicum_BBB14757		Csuecicum_BBB06201	Csuecicum_BBB06201	Csuecicum_BBB01625	Csuecicum_BBB14685	Csuecicum_BBB17214	Csuecicum_BBB08935	Csuecicum_BBB15578	Csuecicum_BBB08230	Csuecicum_BBB14413	Csuecicum_BBB01298	Csuecicum_BBB07345	Csuecicum_BBB20354	Csuecicum_BBB17160	Csuecicum_BBB02523		Csuecicum_BBB10717	Csuecicum_BBB15689	Csuecicum_BBB19354	Csuecicum_BBB15366	Csuecicum_BBB06718	Csuecicum_BBB06718	Csuecicum_BBB17991	Csuecicum_BBB14757	Csuecicum_BBB14413	Csuecicum_BBB15061	Csuecicum_BBB14246		Csuecicum_BBB15347	Csuecicum_BBB15707	Csuecicum_BBB17390	Csuecicum_BBB05116	Csuecicum_BBB06427	Csuecicum_BBB02020	Csuecicum_BBB20354	Csuecicum_BBB18388	Csuecicum_BBB01708	Csuecicum_BBB07092	Csuecicum_BBB09138	Csuecicum_BBB16980	Csuecicum_BBB15689	
Csuecicum_BBB00007	Csuecicum_BBB00033	Csuecicum_BBB06136	Csuecicum_BBB00033	Csuecicum_BBB06244	Csuecicum_BBB00084	Csuecicum_BBB00033	Csuecicum_BBB06138	Csuecicum_BBB00096	Csuecicum_BBB06244	Csuecicum_BBB06148	Csuecicum_BBB00033	Csuecicum_BBB04202	Csuecicum_BBB15241		Csuecicum_BBB06244	Csuecicum_BBB06244	Csuecicum_BBB06968	Csuecicum_BBB14953	Csuecicum_BBB17239	Csuecicum_BBB02671	Csuecicum_BBB08829	Csuecicum_BBB08875	Csuecicum_BBB14528	Csuecicum_BBB01326	Csuecicum_BBB19383		Csuecicum_BBB11270	Csuecicum_BBB02524			Csuecicum_BBB15585	Csuecicum_BBB04202	Csuecicum_BBB15031	Csuecicum_BBB07125	Csuecicum_BBB07125	Csuecicum_BBB20341	Csuecicum_BBB15241	Csuecicum_BBB14528	Csuecicum_BBB15347			Csuecicum_BBB01703	Csuecicum_BBB07486	Csuecicum_BBB02446	Csuecicum_BBB05114	Csuecicum_BBB06436	Csuecicum_BBB08299		Csuecicum_BBB02630	Csuecicum_BBB16955	Csuecicum_BBB01778	Csuecicum_BBB11720	Csuecicum_BBB08767	Csuecicum_BBB15585	
Csuecicum_BBB00001	Csuecicum_BBB00037	Csuecicum_BBB06148	Csuecicum_BBB00037	Csuecicum_BBB06322	Csuecicum_BBB00096	Csuecicum_BBB00037	Csuecicum_BBB14469	Csuecicum_BBB00109	Csuecicum_BBB06322	Csuecicum_BBB06138	Csuecicum_BBB00037	Csuecicum_BBB14795	Csuecicum_BBB16325		Csuecicum_BBB06322	Csuecicum_BBB06322	Csuecicum_BBB07555	Csuecicum_BBB15595	Csuecicum_BBB08635	Csuecicum_BBB18795	Csuecicum_BBB03216	Csuecicum_BBB10195	Csuecicum_BBB06337	Csuecicum_BBB06653	Csuecicum_BBB20069		Csuecicum_BBB05092	Csuecicum_BBB02604			Csuecicum_BBB07367		Csuecicum_BBB06990	Csuecicum_BBB01746	Csuecicum_BBB01746	Csuecicum_BBB11162	Csuecicum_BBB16325	Csuecicum_BBB14490	Csuecicum_BBB14915			Csuecicum_BBB07173	Csuecicum_BBB16524	Csuecicum_BBB02662	Csuecicum_BBB12826	Csuecicum_BBB01326	Csuecicum_BBB10270		Csuecicum_BBB12133	Csuecicum_BBB17472	Csuecicum_BBB16711		Csuecicum_BBB17821	Csuecicum_BBB07367	
Csuecicum_BBB00002	Csuecicum_BBB00044	Csuecicum_BBB06138	Csuecicum_BBB00044	Csuecicum_BBB06349	Csuecicum_BBB00109	Csuecicum_BBB00044	Csuecicum_BBB06201	Csuecicum_BBB00121	Csuecicum_BBB06349	Csuecicum_BBB06189	Csuecicum_BBB00044	Csuecicum_BBB06418	Csuecicum_BBB08066		Csuecicum_BBB06349	Csuecicum_BBB06349	Csuecicum_BBB07783	Csuecicum_BBB01704	Csuecicum_BBB17761	Csuecicum_BBB18423	Csuecicum_BBB00602	Csuecicum_BBB11054	Csuecicum_BBB14693	Csuecicum_BBB06731	Csuecicum_BBB04619		Csuecicum_BBB13283	Csuecicum_BBB20868			Csuecicum_BBB16188		Csuecicum_BBB00307	Csuecicum_BBB07292	Csuecicum_BBB07292	Csuecicum_BBB11402	Csuecicum_BBB08066	Csuecicum_BBB01358	Csuecicum_BBB01703			Csuecicum_BBB15783	Csuecicum_BBB17081	Csuecicum_BBB19397		Csuecicum_BBB06412	Csuecicum_BBB03608			Csuecicum_BBB20358	Csuecicum_BBB08073		Csuecicum_BBB09807	Csuecicum_BBB16188	
Csuecicum_BBB00012	Csuecicum_BBB00046	Csuecicum_BBB14469	Csuecicum_BBB00046	Csuecicum_BBB06343	Csuecicum_BBB00121	Csuecicum_BBB00046	Csuecicum_BBB06245	Csuecicum_BBB00163	Csuecicum_BBB06343	Csuecicum_BBB14413	Csuecicum_BBB00046	Csuecicum_BBB15366	Csuecicum_BBB17295		Csuecicum_BBB06343	Csuecicum_BBB06343	Csuecicum_BBB02012	Csuecicum_BBB15578	Csuecicum_BBB17868	Csuecicum_BBB11648	Csuecicum_BBB11666	Csuecicum_BBB11719	Csuecicum_BBB06297	Csuecicum_BBB01708	Csuecicum_BBB05515		Csuecicum_BBB06073	Csuecicum_BBB12240			Csuecicum_BBB07492		Csuecicum_BBB08883	Csuecicum_BBB07738	Csuecicum_BBB07738	Csuecicum_BBB04275	Csuecicum_BBB16918	Csuecicum_BBB01373	Csuecicum_BBB07077			Csuecicum_BBB01898	Csuecicum_BBB02405	Csuecicum_BBB03125		Csuecicum_BBB14770	Csuecicum_BBB05515			Csuecicum_BBB05092	Csuecicum_BBB02523		Csuecicum_BBB10551	Csuecicum_BBB07492	
Csuecicum_BBB00015	Csuecicum_BBB00062	Csuecicum_BBB06189	Csuecicum_BBB00055	Csuecicum_BBB01348	Csuecicum_BBB00163	Csuecicum_BBB00062	Csuecicum_BBB06244	Csuecicum_BBB00160	Csuecicum_BBB01348	Csuecicum_BBB06310	Csuecicum_BBB00062	Csuecicum_BBB15031	Csuecicum_BBB17450		Csuecicum_BBB01348	Csuecicum_BBB01348	Csuecicum_BBB08659	Csuecicum_BBB16862	Csuecicum_BBB18234	Csuecicum_BBB01002	Csuecicum_BBB21064	Csuecicum_BBB04778	Csuecicum_BBB01348	Csuecicum_BBB07345			Csuecicum_BBB06074	Csuecicum_BBB21665			Csuecicum_BBB01804		Csuecicum_BBB09891	Csuecicum_BBB16525	Csuecicum_BBB08081	Csuecicum_BBB12576	Csuecicum_BBB17295	Csuecicum_BBB15007	Csuecicum_BBB07173			Csuecicum_BBB07731	Csuecicum_BBB18422	Csuecicum_BBB03163		Csuecicum_BBB06731				Csuecicum_BBB13283	Csuecicum_BBB02524		Csuecicum_BBB10717	Csuecicum_BBB01804	
Csuecicum_BBB00017	Csuecicum_BBB00055	Csuecicum_BBB06201	Csuecicum_BBB00061	Csuecicum_BBB14878	Csuecicum_BBB00160	Csuecicum_BBB00055	Csuecicum_BBB14413	Csuecicum_BBB14297	Csuecicum_BBB14878	Csuecicum_BBB14528	Csuecicum_BBB00055	Csuecicum_BBB06990	Csuecicum_BBB17477		Csuecicum_BBB14878	Csuecicum_BBB14878	Csuecicum_BBB08847	Csuecicum_BBB08230	Csuecicum_BBB09141	Csuecicum_BBB13194	Csuecicum_BBB00999	Csuecicum_BBB05861	Csuecicum_BBB01352	Csuecicum_BBB16532				Csuecicum_BBB13236			Csuecicum_BBB07842		Csuecicum_BBB10479	Csuecicum_BBB08081	Csuecicum_BBB02165	Csuecicum_BBB04797	Csuecicum_BBB17477	Csuecicum_BBB01586	Csuecicum_BBB15783			Csuecicum_BBB17065	Csuecicum_BBB10245	Csuecicum_BBB03325		Csuecicum_BBB01708					Csuecicum_BBB19096		Csuecicum_BBB12437	Csuecicum_BBB07842	
Csuecicum_BBB00008	Csuecicum_BBB00061	Csuecicum_BBB06245	Csuecicum_BBB00084	Csuecicum_BBB15006	Csuecicum_BBB14297	Csuecicum_BBB00061	Csuecicum_BBB14722	Csuecicum_BBB06149	Csuecicum_BBB15006	Csuecicum_BBB14490	Csuecicum_BBB00061	Csuecicum_BBB00307	Csuecicum_BBB18594		Csuecicum_BBB15006	Csuecicum_BBB15006	Csuecicum_BBB02858	Csuecicum_BBB17214	Csuecicum_BBB02711		Csuecicum_BBB01146		Csuecicum_BBB01358	Csuecicum_BBB16955							Csuecicum_BBB16299		Csuecicum_BBB00604	Csuecicum_BBB02165	Csuecicum_BBB02318	Csuecicum_BBB05128	Csuecicum_BBB18774	Csuecicum_BBB15231	Csuecicum_BBB15707			Csuecicum_BBB02410	Csuecicum_BBB03417	Csuecicum_BBB13429		Csuecicum_BBB15793					Csuecicum_BBB04284		Csuecicum_BBB00773	Csuecicum_BBB16299	
