#Gene	Overall Prediction	TargetP	iPSORT	LOCALIZER	Predotar
Gohir.D04G180500.1.p	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gohir.D04G113100.1.p	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gohir.D04G108600.1.p	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gohir.D04G057400.1.p	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gohir.D04G049500.1.p	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gohir.D04G038100.1.p	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gohir.D04G102100.1.p	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gohir.D04G001700.1.p	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gohir.D04G053800.1.p	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gohir.D04G180100.1.p	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gohir.D04G005900.1.p	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gohir.D04G147400.1.p	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gohir.D04G119300.1.p	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gohir.D04G068300.1.p	dual	dual	plastid	non-organellar	non-organellar
Gohir.D04G097200.1.p	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
Gohir.D04G176200.1.p	dual	non-organellar	mitochondrial	non-organellar	plastid
Gohir.D04G181900.1.p	dual	dual	mitochondrial	dual	mitochondrial
Gohir.D04G103900.1.p	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Gohir.D04G140200.1.p	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gohir.D04G018700.1.p	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gohir.D04G064600.1.p	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gohir.D04G151400.1.p	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gohir.D04G024400.1.p	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
Gohir.D04G013800.1.p	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Gohir.D04G011000.1.p	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Gohir.D04G137400.1.p	dual	non-organellar	mitochondrial	plastid	non-organellar
Gohir.D04G185000.1.p	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gohir.D04G145500.1.p	plastid	plastid	plastid	plastid	plastid
