Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
evm.model.Ga01G0001	evm.model.Ga01G0013	evm.model.Ga01G0013	evm.model.Ga01G0022	evm.model.Ga01G2256	evm.model.Ga01G0013	evm.model.Ga01G0064	evm.model.Ga01G0013	evm.model.Ga01G0022	evm.model.Ga01G2256	evm.model.Ga01G0064	evm.model.Ga01G0083	evm.model.Ga01G2604	evm.model.Ga01G2445	evm.model.Ga03G0410	evm.model.Ga01G2256	evm.model.Ga01G2256	evm.model.Ga01G2281	evm.model.Ga01G0013	evm.model.Ga01G1155	evm.model.Ga01G0013	evm.model.Ga02G0314	evm.model.Ga01G1928	evm.model.Ga01G0319	evm.model.Ga01G0416	evm.model.Ga01G2710	evm.model.Ga05G0091	evm.model.Ga01G0713	evm.model.Ga01G0416	evm.model.Ga02G0117	evm.model.Ga07G2043	evm.model.Ga01G0159	evm.model.Ga01G2604	evm.model.Ga01G2097	evm.model.Ga01G0481	evm.model.Ga01G0481	evm.model.Ga01G0953	evm.model.Ga01G0336	evm.model.Ga01G0064	evm.model.Ga01G0240	evm.model.Ga01G0373	evm.model.Ga02G1286	evm.model.Ga01G0240	evm.model.Ga01G1437	evm.model.Ga03G2284	evm.model.Ga07G1993	evm.model.Ga01G2125	evm.model.Ga03G1846	evm.model.Ga05G0091	evm.model.Ga04G0856	evm.model.Ga01G2125	evm.model.Ga03G0695	evm.model.Ga08G1462	evm.model.Ga01G1370	evm.model.Ga01G0159	
evm.model.Ga01G0002	evm.model.Ga01G0022	evm.model.Ga01G0064	evm.model.Ga01G0083	evm.model.Ga01G2281	evm.model.Ga01G0022	evm.model.Ga01G0083	evm.model.Ga01G0159	evm.model.Ga01G0094	evm.model.Ga01G2281	evm.model.Ga01G0159	evm.model.Ga01G0096	evm.model.Ga03G1090	evm.model.Ga01G2659		evm.model.Ga01G2281	evm.model.Ga01G1352	evm.model.Ga01G2754	evm.model.Ga01G0224	evm.model.Ga01G1247	evm.model.Ga01G0224	evm.model.Ga02G1469	evm.model.Ga01G2356	evm.model.Ga01G0330	evm.model.Ga01G2710	evm.model.Ga04G1729	evm.model.Ga11G2321	evm.model.Ga05G2662	evm.model.Ga04G2140		evm.model.Ga10G2417	evm.model.Ga01G1615	evm.model.Ga03G1090	evm.model.Ga01G2664	evm.model.Ga01G0784	evm.model.Ga01G0784	evm.model.Ga03G0628	evm.model.Ga01G2659	evm.model.Ga01G0179	evm.model.Ga01G0373	evm.model.Ga06G1809	evm.model.Ga03G2135	evm.model.Ga01G1965	evm.model.Ga02G1050	evm.model.Ga04G1736	evm.model.Ga11G2286	evm.model.Ga01G1370	evm.model.Ga06G0656	evm.model.Ga11G2321	evm.model.Ga06G1018	evm.model.Ga05G2662	evm.model.Ga03G1402	evm.model.Ga10G0597	evm.model.Ga01G0742	evm.model.Ga01G1615	
evm.model.Ga01G0003	evm.model.Ga01G0064	evm.model.Ga01G0159	evm.model.Ga01G0094	evm.model.Ga01G2754	evm.model.Ga01G0094	evm.model.Ga01G0096	evm.model.Ga01G0224	evm.model.Ga01G0096	evm.model.Ga01G2754	evm.model.Ga01G0179	evm.model.Ga01G0114	evm.model.Ga04G0659	evm.model.Ga01G0841		evm.model.Ga01G2754	evm.model.Ga03G2591	evm.model.Ga02G0488	evm.model.Ga01G1155	evm.model.Ga01G1921	evm.model.Ga02G0791	evm.model.Ga03G1172	evm.model.Ga01G1266	evm.model.Ga01G0338	evm.model.Ga01G0713	evm.model.Ga04G2091	evm.model.Ga12G1255	evm.model.Ga09G0358	evm.model.Ga07G0265		evm.model.Ga11G2335	evm.model.Ga01G0449	evm.model.Ga04G0659	evm.model.Ga03G2359	evm.model.Ga01G0953	evm.model.Ga02G1419	evm.model.Ga03G0878	evm.model.Ga01G0841	evm.model.Ga01G0338	evm.model.Ga01G1965	evm.model.Ga07G0349	evm.model.Ga03G2137	evm.model.Ga02G0823	evm.model.Ga03G2779	evm.model.Ga05G0346	evm.model.Ga11G2287	evm.model.Ga01G0742	evm.model.Ga07G1986	evm.model.Ga12G1255	evm.model.Ga08G2593	evm.model.Ga07G1293	evm.model.Ga04G2140		evm.model.Ga01G0978	evm.model.Ga01G0449	
evm.model.Ga01G0004	evm.model.Ga01G0083	evm.model.Ga01G0179	evm.model.Ga01G0096	evm.model.Ga01G1352	evm.model.Ga01G0096	evm.model.Ga01G0114	evm.model.Ga01G0319	evm.model.Ga01G0158	evm.model.Ga01G1352	evm.model.Ga01G0240	evm.model.Ga01G0115	evm.model.Ga04G1640	evm.model.Ga02G0719		evm.model.Ga01G1352	evm.model.Ga03G2783	evm.model.Ga02G1209	evm.model.Ga01G1247	evm.model.Ga01G2449	evm.model.Ga02G0821	evm.model.Ga03G2569	evm.model.Ga03G2426	evm.model.Ga01G1142	evm.model.Ga02G0117	evm.model.Ga07G1614		evm.model.Ga09G1763	evm.model.Ga08G0821		evm.model.Ga11G1431	evm.model.Ga02G1276	evm.model.Ga04G1640	evm.model.Ga04G0337	evm.model.Ga02G1419	evm.model.Ga03G1435	evm.model.Ga03G1354	evm.model.Ga02G0719	evm.model.Ga01G1168	evm.model.Ga01G1437	evm.model.Ga07G0350	evm.model.Ga03G2747	evm.model.Ga03G1591	evm.model.Ga03G0361	evm.model.Ga05G3517		evm.model.Ga01G0978	evm.model.Ga07G1523		evm.model.Ga09G1691	evm.model.Ga07G0614	evm.model.Ga04G0350		evm.model.Ga01G0990	evm.model.Ga02G1276	
evm.model.Ga01G0005	evm.model.Ga01G0094	evm.model.Ga01G0224	evm.model.Ga01G0114	evm.model.Ga02G0488	evm.model.Ga01G0158	evm.model.Ga01G0115	evm.model.Ga01G0330	evm.model.Ga01G0191	evm.model.Ga02G0488	evm.model.Ga01G0336	evm.model.Ga01G0158	evm.model.Ga06G1327	evm.model.Ga03G1624		evm.model.Ga02G0488	evm.model.Ga03G0273	evm.model.Ga02G1502	evm.model.Ga01G1921	evm.model.Ga02G0872	evm.model.Ga02G1571	evm.model.Ga05G2376	evm.model.Ga04G1166	evm.model.Ga01G1168	evm.model.Ga04G1729	evm.model.Ga08G0208		evm.model.Ga10G0687	evm.model.Ga08G0351			evm.model.Ga03G2187	evm.model.Ga06G1327	evm.model.Ga04G0359	evm.model.Ga03G0628	evm.model.Ga03G1961	evm.model.Ga04G1226	evm.model.Ga03G1624	evm.model.Ga01G1170	evm.model.Ga02G0823			evm.model.Ga04G1372	evm.model.Ga04G1796	evm.model.Ga05G2647		evm.model.Ga01G0990	evm.model.Ga08G0208		evm.model.Ga11G0371	evm.model.Ga09G0358	evm.model.Ga06G1322		evm.model.Ga03G0675	evm.model.Ga03G2187	
evm.model.Ga01G0006	evm.model.Ga01G0096	evm.model.Ga01G0240	evm.model.Ga01G0115	evm.model.Ga02G1209	evm.model.Ga01G0159	evm.model.Ga01G0158	evm.model.Ga01G0338	evm.model.Ga01G0221	evm.model.Ga02G1209	evm.model.Ga01G0338	evm.model.Ga01G0191	evm.model.Ga09G0153	evm.model.Ga03G1027		evm.model.Ga02G1209	evm.model.Ga04G2094	evm.model.Ga03G0014	evm.model.Ga01G1928	evm.model.Ga02G0133	evm.model.Ga04G1639	evm.model.Ga05G2659	evm.model.Ga04G0526	evm.model.Ga01G1170	evm.model.Ga04G2091	evm.model.Ga09G1365		evm.model.Ga10G2374	evm.model.Ga09G0925			evm.model.Ga03G2674	evm.model.Ga09G0153	evm.model.Ga07G1437	evm.model.Ga03G0878	evm.model.Ga03G0478	evm.model.Ga05G3864	evm.model.Ga03G1027	evm.model.Ga01G1971	evm.model.Ga02G1050			evm.model.Ga04G1424	evm.model.Ga05G0853	evm.model.Ga05G1596		evm.model.Ga03G0675	evm.model.Ga09G0306		evm.model.Ga11G1499	evm.model.Ga09G1763	evm.model.Ga06G2321		evm.model.Ga04G1463	evm.model.Ga03G2674	
evm.model.Ga01G0007	evm.model.Ga01G0114	evm.model.Ga01G0319	evm.model.Ga01G0158	evm.model.Ga02G1502	evm.model.Ga01G0191	evm.model.Ga01G0159	evm.model.Ga01G1142	evm.model.Ga01G0225	evm.model.Ga02G1502	evm.model.Ga01G1168	evm.model.Ga01G0221	evm.model.Ga13G1452	evm.model.Ga03G1102		evm.model.Ga02G1502	evm.model.Ga05G0299	evm.model.Ga03G0671	evm.model.Ga01G2356	evm.model.Ga02G1408	evm.model.Ga04G2012	evm.model.Ga05G2660	evm.model.Ga04G0527	evm.model.Ga01G1675	evm.model.Ga04G2140	evm.model.Ga11G0197		evm.model.Ga11G1545	evm.model.Ga10G0117			evm.model.Ga04G0497	evm.model.Ga13G1452	evm.model.Ga07G0546	evm.model.Ga03G1354	evm.model.Ga04G1057	evm.model.Ga05G1375	evm.model.Ga04G0065	evm.model.Ga01G2223	evm.model.Ga02G1286			evm.model.Ga05G0417	evm.model.Ga05G0924	evm.model.Ga05G1791		evm.model.Ga03G0695	evm.model.Ga11G2276		evm.model.Ga12G0280	evm.model.Ga10G0687	evm.model.Ga08G0821		evm.model.Ga05G2295	evm.model.Ga05G0279	
evm.model.Ga01G0008	evm.model.Ga01G0115	evm.model.Ga01G0330	evm.model.Ga01G0191	evm.model.Ga03G0014	evm.model.Ga01G0221	evm.model.Ga01G0179	evm.model.Ga01G1155	evm.model.Ga01G0235	evm.model.Ga03G0014	evm.model.Ga01G1170	evm.model.Ga01G0225	evm.model.Ga01G2097	evm.model.Ga04G0065		evm.model.Ga03G0014	evm.model.Ga05G0321	evm.model.Ga03G1834	evm.model.Ga01G2449	evm.model.Ga03G1551	evm.model.Ga06G2197	evm.model.Ga05G2836	evm.model.Ga05G1027	evm.model.Ga01G1676	evm.model.Ga05G0091			evm.model.Ga11G1079	evm.model.Ga13G0659			evm.model.Ga05G0279		evm.model.Ga07G0564	evm.model.Ga03G1435	evm.model.Ga04G1494	evm.model.Ga05G1717	evm.model.Ga04G1936	evm.model.Ga01G2272	evm.model.Ga03G1591			evm.model.Ga05G3355	evm.model.Ga05G1374	evm.model.Ga06G1435		evm.model.Ga03G1402	evm.model.Ga12G2214			evm.model.Ga10G2449	evm.model.Ga10G2253		evm.model.Ga05G2972	evm.model.Ga05G2374	
evm.model.Ga01G0009	evm.model.Ga01G0158	evm.model.Ga01G0336	evm.model.Ga01G0221	evm.model.Ga03G0671	evm.model.Ga01G0224	evm.model.Ga01G0191	evm.model.Ga01G1168	evm.model.Ga01G0244	evm.model.Ga03G0671	evm.model.Ga01G1615	evm.model.Ga01G0242	evm.model.Ga01G2664	evm.model.Ga04G1936		evm.model.Ga03G0671	evm.model.Ga05G2370	evm.model.Ga03G2395	evm.model.Ga01G1266	evm.model.Ga03G1552	evm.model.Ga08G2866	evm.model.Ga05G0894	evm.model.Ga05G1028	evm.model.Ga01G1962	evm.model.Ga05G2662			evm.model.Ga11G1358	evm.model.Ga13G1859			evm.model.Ga05G2374		evm.model.Ga07G0925	evm.model.Ga03G1961	evm.model.Ga05G2278	evm.model.Ga06G0142	evm.model.Ga05G2935	evm.model.Ga01G0683	evm.model.Ga03G2135			evm.model.Ga05G1260	evm.model.Ga05G1523	evm.model.Ga07G1916		evm.model.Ga03G1846				evm.model.Ga11G1545	evm.model.Ga10G2615		evm.model.Ga05G1945	evm.model.Ga06G1842	
evm.model.Ga01G0010	evm.model.Ga01G0159	evm.model.Ga01G0338	evm.model.Ga01G0225	evm.model.Ga03G1834	evm.model.Ga01G0225	evm.model.Ga01G0221	evm.model.Ga01G1170	evm.model.Ga01G0245	evm.model.Ga03G1834	evm.model.Ga01G0373	evm.model.Ga01G0244	evm.model.Ga03G2359	evm.model.Ga05G2521		evm.model.Ga03G1834	evm.model.Ga05G3000	evm.model.Ga03G2502	evm.model.Ga02G0791	evm.model.Ga03G1693	evm.model.Ga09G1589	evm.model.Ga06G1368	evm.model.Ga06G0724	evm.model.Ga01G1971	evm.model.Ga07G2043				evm.model.Ga14G2071			evm.model.Ga06G1842		evm.model.Ga08G1741	evm.model.Ga03G0478	evm.model.Ga05G2666	evm.model.Ga06G2408	evm.model.Ga05G4259	evm.model.Ga01G0980	evm.model.Ga03G2137			evm.model.Ga10G1402	evm.model.Ga06G1695	evm.model.Ga07G1918		evm.model.Ga04G1463				evm.model.Ga11G1079	evm.model.Ga13G0602		evm.model.Ga07G1456	evm.model.Ga06G2078	
