#Gene	Overall Prediction	TargetP	iPSORT	LOCALIZER	Predotar
TRIDC1BG000010	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1BG000020	dual	dual	mitochondrial	non-organellar	N/A
TRIDC1BG000040	mitochondrial	non-organellar	mitochondrial	non-organellar	N/A
TRIDC1BG000060	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG000070	plastid	non-organellar	plastid	non-organellar	non-organellar
TRIDC1BG000080	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1BG000100	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG000120	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG000130	plastid	non-organellar	plastid	non-organellar	non-organellar
TRIDC1BG000140	plastid	plastid	non-organellar	non-organellar	N/A
TRIDC1BG000160	dual	dual	plastid	plastid	N/A
TRIDC1BG000180	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG000190	dual	dual	mitochondrial	mitochondrial	non-organellar
TRIDC1BG000210	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG000220	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1BG000230	mitochondrial	mitochondrial	mitochondrial	mitochondrial	mitochondrial
TRIDC1BG000240	mitochondrial	non-organellar	mitochondrial	non-organellar	N/A
TRIDC1BG000260	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG000270	mitochondrial	non-organellar	mitochondrial	non-organellar	N/A
TRIDC1BG000280	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1BG000290	plastid	non-organellar	plastid	non-organellar	N/A
TRIDC1BG000300	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1BG000310	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG000340	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG000360	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG000370	dual	dual	plastid	mitochondrial	N/A
TRIDC1BG000380	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1BG000420	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG000430	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG000440	dual	dual	mitochondrial	plastid	N/A
TRIDC1BG000460	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG000470	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG000480	mitochondrial	mitochondrial	non-organellar	mitochondrial	N/A
TRIDC1BG000490	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
TRIDC1BG000500	dual	dual	mitochondrial	mitochondrial	N/A
TRIDC1BG000510	dual	dual	mitochondrial	plastid	N/A
TRIDC1BG000520	dual	dual	plastid	dual	N/A
TRIDC1BG000550	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1BG000570	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1BG000600	mitochondrial	mitochondrial	mitochondrial	non-organellar	N/A
TRIDC1BG000630	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1BG000640	mitochondrial	mitochondrial	mitochondrial	non-organellar	mitochondrial
TRIDC1BG000660	plastid	non-organellar	plastid	plastid	N/A
TRIDC1BG000690	mitochondrial	non-organellar	mitochondrial	non-organellar	N/A
TRIDC1BG000700	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1BG000720	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1BG000730	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG000740	dual	dual	mitochondrial	mitochondrial	mitochondrial
TRIDC1BG000790	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG000800	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1BG000810	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1BG000820	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1BG000830	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG000840	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG000850	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG000860	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
TRIDC1BG000930	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1BG000950	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG000960	mitochondrial	non-organellar	mitochondrial	non-organellar	N/A
TRIDC1BG000970	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG000980	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG000990	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG001000	dual	dual	mitochondrial	non-organellar	N/A
TRIDC1BG001010	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
TRIDC1BG001020	plastid	non-organellar	plastid	non-organellar	N/A
TRIDC1BG001030	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1BG001040	dual	plastid	mitochondrial	plastid	mitochondrial
TRIDC1BG001050	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG001060	plastid	plastid	plastid	non-organellar	N/A
TRIDC1BG001100	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1BG001170	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1BG001190	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG001200	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
TRIDC1BG001220	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1BG001250	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG001280	mitochondrial	mitochondrial	non-organellar	non-organellar	N/A
TRIDC1BG001310	dual	dual	mitochondrial	plastid	N/A
TRIDC1BG001330	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG001370	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG001530	plastid	plastid	plastid	non-organellar	non-organellar
TRIDC1BG001540	plastid	non-organellar	plastid	non-organellar	N/A
TRIDC1BG001550	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG001560	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG001570	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG001580	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG001610	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG001620	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1BG001630	dual	dual	non-organellar	plastid	non-organellar
TRIDC1BG001660	plastid	non-organellar	plastid	non-organellar	non-organellar
TRIDC1BG001690	plastid	non-organellar	plastid	non-organellar	non-organellar
TRIDC1BG001710	plastid	plastid	non-organellar	plastid	plastid
TRIDC1BG001720	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1BG001730	mitochondrial	non-organellar	mitochondrial	mitochondrial	N/A
