Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
TRIDC1BG000010	TRIDC1BG000440	TRIDC1BG001550	TRIDC1BG000440	TRIDC1BG006500	TRIDC1BG000440	TRIDC1BG000440	TRIDC1BG003200	TRIDC1BG000440	TRIDC1BG006500	TRIDC1BG001550	TRIDC1BG000440	TRIDC1BG035620	TRIDC1BG030280	TRIDC3BG014560	TRIDC1BG006500	TRIDC1BG006500	TRIDC1BG056240	TRIDC1BG020500	TRIDC1BG020500	TRIDC1BG042670	TRIDC1BG048020	TRIDC1BG059610	TRIDC1BG003200	TRIDC1BG009570	TRIDC1BG065360	TRIDC5BG028930	TRIDC1BG009570	TRIDC1BG042970	TRIDC2BG033860	TRIDC2BG071140	TRIDC1BG027880		TRIDC1BG035620	TRIDC1BG041580	TRIDC1BG041580	TRIDC2BG050090	TRIDC1BG030280	TRIDC1BG010340	TRIDC1BG001550	TRIDC4BG036710	TRIDC2BG031330	TRIDC1BG001550	TRIDC2BG016680	TRIDC1BG062110	TRIDC2BG008540	TRIDC1BG009570	TRIDC1BG069200	TRIDC5BG028930	TRIDC1BG072670	TRIDC1BG009570	TRIDC1BG042970	TRIDC4BG046640	TRIDC1BG009930	TRIDC1BG027880	
TRIDC1BG000020	TRIDC1BG001550	TRIDC1BG003200	TRIDC1BG001830	TRIDC1BG016160	TRIDC1BG001830	TRIDC1BG001550	TRIDC1BG003210	TRIDC1BG001830	TRIDC1BG016160	TRIDC1BG009570	TRIDC1BG002150	TRIDC1BG073180	TRIDC1BG030750		TRIDC1BG016160	TRIDC1BG016160	TRIDC1BG065450	TRIDC1BG035010	TRIDC1BG035010	TRIDC2BG044780	TRIDC2BG016280	TRIDC1BG005090	TRIDC1BG003210	TRIDC1BG065360	TRIDC1BG037680	TRIDC7BG065090	TRIDC2BG026930	TRIDC1BG042980		TRIDC3BG017510	TRIDC1BG038590		TRIDC1BG073180	TRIDC1BG068890	TRIDC1BG068890	TRIDC2BG091190	TRIDC1BG055590	TRIDC1BG026070	TRIDC1BG018170	TRIDC6BG053390	TRIDC5BG062680	TRIDC1BG018170	TRIDC2BG029290	TRIDC1BG062120	TRIDC2BG008550	TRIDC1BG009930	TRIDC2BG050450	TRIDC7BG065090	TRIDC1BG072070	TRIDC2BG036270	TRIDC1BG042980	TRIDC7BG020110	TRIDC1BG031960	TRIDC1BG038590	
TRIDC1BG000040	TRIDC1BG001830	TRIDC1BG003210	TRIDC1BG002150	TRIDC1BG029190	TRIDC1BG003200	TRIDC1BG002150	TRIDC1BG006270	TRIDC1BG004450	TRIDC1BG029190	TRIDC1BG009930	TRIDC1BG004070	TRIDC2BG045230	TRIDC1BG055280		TRIDC1BG029190	TRIDC1BG029190	TRIDC1BG011530	TRIDC1BG037020	TRIDC1BG037020	TRIDC3BG046470	TRIDC2BG020810	TRIDC1BG022830	TRIDC1BG006270	TRIDC1BG037680	TRIDC2BG039500		TRIDC2BG090760	TRIDC1BG043330		TRIDC4BG037260	TRIDC1BG040910		TRIDC2BG045230	TRIDC2BG050090	TRIDC3BG069300	TRIDC3BG045280	TRIDC2BG082460	TRIDC1BG035220	TRIDC1BG062110			TRIDC2BG026170	TRIDC2BG039350	TRIDC1BG051570	TRIDC2BG008560	TRIDC1BG031960	TRIDC3BG006390		TRIDC4BG026120	TRIDC2BG026930	TRIDC1BG043330		TRIDC1BG003380	TRIDC1BG040910	
TRIDC1BG000060	TRIDC1BG002150	TRIDC1BG006270	TRIDC1BG004070	TRIDC1BG031250	TRIDC1BG003210	TRIDC1BG004070	TRIDC1BG006500	TRIDC1BG010350	TRIDC1BG031250	TRIDC1BG010340	TRIDC1BG004110	TRIDC2BG002420	TRIDC2BG082460		TRIDC1BG031250	TRIDC1BG031250	TRIDC1BG027240	TRIDC1BG048020	TRIDC1BG050960	TRIDC3BG073120	TRIDC2BG046880	TRIDC2BG045550	TRIDC1BG013140	TRIDC1BG042970	TRIDC3BG017910		TRIDC3BG025460	TRIDC1BG052880			TRIDC1BG019030		TRIDC2BG002420	TRIDC2BG091190	TRIDC3BG038650	TRIDC4BG006590	TRIDC2BG055520	TRIDC1BG043610	TRIDC1BG062120			TRIDC2BG049870	TRIDC3BG008100	TRIDC1BG051600	TRIDC2BG008570	TRIDC1BG069200	TRIDC3BG032050		TRIDC4BG037390	TRIDC2BG090760	TRIDC2BG028950		TRIDC1BG024350	TRIDC1BG019030	
TRIDC1BG000070	TRIDC1BG003200	TRIDC1BG006500	TRIDC1BG004110	TRIDC1BG056240	TRIDC1BG004450	TRIDC1BG004110	TRIDC1BG009570	TRIDC1BG010600	TRIDC1BG056240	TRIDC1BG018170	TRIDC1BG004300	TRIDC2BG044580	TRIDC2BG002340		TRIDC1BG056240	TRIDC1BG033150	TRIDC1BG058530	TRIDC1BG050960	TRIDC1BG055220	TRIDC4BG061270	TRIDC2BG054520	TRIDC2BG035450	TRIDC1BG015860	TRIDC1BG042980	TRIDC4BG026820		TRIDC5BG021470	TRIDC4BG012580			TRIDC1BG034100		TRIDC2BG044580	TRIDC3BG069300	TRIDC3BG040330	TRIDC4BG025440	TRIDC2BG080420	TRIDC1BG069820	TRIDC1BG051570			TRIDC2BG058650	TRIDC3BG011750	TRIDC1BG068270	TRIDC2BG008580	TRIDC1BG072670	TRIDC3BG031670		TRIDC5BG083300	TRIDC3BG016980	TRIDC2BG039750		TRIDC2BG071140	TRIDC1BG034100	
TRIDC1BG000080	TRIDC1BG003210	TRIDC1BG009570	TRIDC1BG004300	TRIDC1BG065450	TRIDC1BG006270	TRIDC1BG004300	TRIDC1BG013140	TRIDC1BG011360	TRIDC1BG065450	TRIDC1BG026070	TRIDC1BG004450	TRIDC3BG029780	TRIDC2BG055520		TRIDC1BG065450	TRIDC1BG037100	TRIDC1BG065730	TRIDC1BG055220	TRIDC1BG059540	TRIDC4BG043300	TRIDC2BG067060	TRIDC2BG048500	TRIDC1BG015990	TRIDC1BG043330	TRIDC5BG065600		TRIDC5BG021750	TRIDC6BG048450			TRIDC2BG022560		TRIDC3BG029780	TRIDC3BG038650	TRIDC3BG045640	TRIDC4BG034300	TRIDC2BG084270	TRIDC1BG023890	TRIDC1BG051600			TRIDC3BG070360	TRIDC5BG042550	TRIDC1BG068400	TRIDC5BG028590	TRIDC1BG003380	TRIDC3BG054270		TRIDC7BG030350	TRIDC5BG021470	TRIDC4BG028210		TRIDC3BG025070	TRIDC2BG022560	
TRIDC1BG000100	TRIDC1BG004070	TRIDC1BG009930	TRIDC1BG004450	TRIDC1BG011530	TRIDC1BG006500	TRIDC1BG004450	TRIDC1BG015860	TRIDC1BG011440	TRIDC1BG011530	TRIDC1BG027880	TRIDC1BG010350	TRIDC3BG033830	TRIDC2BG080420		TRIDC1BG011530	TRIDC1BG042090	TRIDC1BG067220	TRIDC1BG059540	TRIDC1BG035430	TRIDC5BG070440	TRIDC2BG087320	TRIDC3BG048400	TRIDC1BG031310	TRIDC1BG052880	TRIDC7BG039140		TRIDC6BG041310	TRIDC6BG060390			TRIDC2BG037250		TRIDC3BG033830	TRIDC3BG040330	TRIDC4BG028430	TRIDC5BG079020	TRIDC3BG029490	TRIDC1BG028340	TRIDC1BG068270			TRIDC3BG081690	TRIDC5BG070520	TRIDC2BG016310	TRIDC5BG028620	TRIDC1BG024350	TRIDC4BG026820			TRIDC5BG021750	TRIDC5BG057220		TRIDC3BG075940	TRIDC2BG037250	
TRIDC1BG000120	TRIDC1BG004110	TRIDC1BG010340	TRIDC1BG010350	TRIDC1BG027240	TRIDC1BG009570	TRIDC1BG009570	TRIDC1BG015990	TRIDC1BG012690	TRIDC1BG027240	TRIDC1BG030280	TRIDC1BG010600	TRIDC3BG050380	TRIDC2BG084270		TRIDC1BG027240	TRIDC1BG068390	TRIDC1BG067970	TRIDC1BG059610	TRIDC1BG061200	TRIDC6BG061820	TRIDC3BG037270	TRIDC3BG049030	TRIDC1BG036220	TRIDC2BG039500	TRIDC7BG063410			TRIDC7BG022300			TRIDC2BG044730		TRIDC3BG050380	TRIDC3BG045280	TRIDC4BG035770	TRIDC5BG062960	TRIDC3BG062860	TRIDC1BG028820	TRIDC1BG068400			TRIDC3BG065080	TRIDC5BG036100	TRIDC2BG031150		TRIDC1BG042970	TRIDC7BG073840			TRIDC5BG043050	TRIDC5BG077490		TRIDC4BG026370	TRIDC2BG079350	
TRIDC1BG000130	TRIDC1BG004300	TRIDC1BG013140	TRIDC1BG010600	TRIDC1BG033150	TRIDC1BG010350	TRIDC1BG009930	TRIDC1BG016160	TRIDC1BG013430	TRIDC1BG033150	TRIDC1BG031960	TRIDC1BG011360	TRIDC4BG039670	TRIDC3BG012590		TRIDC1BG033150	TRIDC2BG017280	TRIDC2BG024200	TRIDC1BG005090	TRIDC2BG021760	TRIDC7BG006120	TRIDC5BG015580	TRIDC3BG044580	TRIDC1BG039520	TRIDC2BG026930				TRIDC7BG022880			TRIDC2BG079350		TRIDC4BG039670	TRIDC3BG045640	TRIDC4BG038030	TRIDC6BG030270	TRIDC3BG077980	TRIDC1BG039020	TRIDC2BG016310			TRIDC4BG012900	TRIDC5BG038470	TRIDC2BG039650		TRIDC1BG042980				TRIDC6BG035690	TRIDC6BG035170		TRIDC4BG044800	TRIDC2BG038810	
TRIDC1BG000140	TRIDC1BG004450	TRIDC1BG015860	TRIDC1BG011360	TRIDC1BG037100	TRIDC1BG010600	TRIDC1BG010340	TRIDC1BG020500	TRIDC1BG015850	TRIDC1BG037100	TRIDC1BG035220	TRIDC1BG011440	TRIDC4BG025550	TRIDC3BG029490		TRIDC1BG037100	TRIDC2BG019560	TRIDC2BG025810	TRIDC1BG022830	TRIDC2BG023200	TRIDC7BG027720	TRIDC5BG063240	TRIDC5BG002490	TRIDC1BG043610	TRIDC2BG033860							TRIDC2BG038810		TRIDC4BG025550	TRIDC4BG006590	TRIDC4BG058000	TRIDC7BG032640	TRIDC3BG061690	TRIDC1BG042470	TRIDC2BG016680			TRIDC4BG016580	TRIDC5BG064090	TRIDC2BG032280		TRIDC1BG043330					TRIDC6BG039540		TRIDC5BG041910	TRIDC2BG039020	
