Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
Ceug_LOC113781021_rna29725	Ceug_LOC113760961_rna5279	Ceug_LOC113760961_rna5279	Ceug_LOC113760964_rna4712	Ceug_LOC113774959_rna22167	Ceug_LOC113760964_rna4712	Ceug_LOC113760961_rna5279	Ceug_LOC113767605_rna16338	Ceug_LOC113760964_rna4712	Ceug_LOC113774959_rna22167	Ceug_LOC113760961_rna5279	Ceug_LOC113760964_rna4712	Ceug_LOC113783575_rna31465	Ceug_LOC113764128_rna8135	Ceug_LOC113779459_rna1654	Ceug_LOC113774959_rna22167	Ceug_LOC113774959_rna22167	Ceug_LOC113754228_rna39772	Ceug_LOC113761037_rna2318	Ceug_LOC113769456_rna14430	Ceug_LOC113751490_rna39245	Ceug_LOC113781460_rna2718	Ceug_LOC113761037_rna2318	Ceug_LOC113769555_rna16822	Ceug_LOC113767605_rna16338	Ceug_LOC113759611_rna10545	Ceug_LOC113751085_rna39489	Ceug_LOC113749536_rna34897	Ceug_LOC113767605_rna16338	Ceug_LOC113778457_rna25203	Ceug_LOC113762363_rna8284	Ceug_LOC113758944_rna44101	Ceug_LOC113783575_rna31465	Ceug_LOC113761689_rna4613	Ceug_LOC113761953_rna4118	Ceug_LOC113761953_rna4118	Ceug_LOC113779781_rna28674	Ceug_LOC113764128_rna8135	Ceug_LOC113760961_rna5279	Ceug_LOC113768191_rna14837	Ceug_LOC113748717_rna34052	Ceug_LOC113769876_rna18702	Ceug_LOC113768191_rna14837	Ceug_LOC113764618_rna11554	Ceug_LOC113773374_rna24509	Ceug_LOC113776705_rna24970	Ceug_LOC113779903_rna29663	Ceug_LOC113762793_rna8842	Ceug_LOC113751085_rna39489	Ceug_LOC113779903_rna29663	Ceug_LOC113749536_rna34897	Ceug_LOC113774880_rna20988	Ceug_LOC113763124_rna5605	Ceug_LOC113762363_rna8284	Ceug_LOC113758944_rna44101	
Ceug_LOC113760963_rna4127	Ceug_LOC113760960_rna5277	Ceug_LOC113760960_rna5277	Ceug_LOC113763734_rna5709	Ceug_LOC113754228_rna39772	Ceug_LOC113767605_rna16338	Ceug_LOC113760960_rna5277	Ceug_LOC113769555_rna16822	Ceug_LOC113781100_rna29599	Ceug_LOC113754228_rna39772	Ceug_LOC113760960_rna5277	Ceug_LOC113763734_rna5709	Ceug_LOC113776194_rna20698	Ceug_LOC113753574_rna37153	Ceug_LOC113752272_rna1168	Ceug_LOC113754228_rna39772	Ceug_LOC113766933_rna11322	Ceug_LOC113753186_rna40087	Ceug_LOC113769456_rna14430	Ceug_LOC113783034_rna31609	Ceug_LOC113779941_rna29170	Ceug_LOC113777775_rna24831	Ceug_LOC113775321_rna3902	Ceug_LOC113768609_rna14943	Ceug_LOC113762363_rna8284	Ceug_LOC113781953_rna1399	Ceug_LOC113753150_rna38169	Ceug_LOC113760531_rna7539	Ceug_LOC113775320_rna21806		Ceug_LOC113767750_rna14451	Ceug_LOC113764794_rna11254	Ceug_LOC113776194_rna20698	Ceug_LOC113768568_rna15283	Ceug_LOC113782799_rna31261	Ceug_LOC113782799_rna31261	Ceug_LOC113767634_rna14566	Ceug_LOC113753574_rna37153	Ceug_LOC113760960_rna5277	Ceug_LOC113779710_rna27619	Ceug_LOC113779443_rna27505	Ceug_LOC113760983_rna6766	Ceug_LOC113779710_rna27619	Ceug_LOC113748732_rna3012	Ceug_LOC113760799_rna2815		Ceug_LOC113762363_rna8284	Ceug_LOC113778668_rna27075	Ceug_LOC113753150_rna38169	Ceug_LOC113775533_rna21348	Ceug_LOC113774881_rna23993	Ceug_LOC113761391_rna6445	Ceug_LOC113753053_rna38632	Ceug_LOC113753989_rna38094	Ceug_LOC113764794_rna11254	
Ceug_LOC113760962_rna9040	Ceug_LOC113760964_rna4712	Ceug_LOC113767605_rna16338	Ceug_LOC113781100_rna29599	Ceug_LOC113766933_rna11322	Ceug_LOC113781100_rna29599	Ceug_LOC113760964_rna4712	Ceug_LOC113768609_rna14943	Ceug_LOC113777783_rna25720	Ceug_LOC113766933_rna11322	Ceug_LOC113782719_rna30789	Ceug_LOC113781100_rna29599	Ceug_LOC113755999_rna41456	Ceug_LOC113749193_rna35663		Ceug_LOC113766933_rna11322	Ceug_LOC113768065_rna15201	Ceug_LOC113774850_rna21473	Ceug_LOC113783034_rna31609	Ceug_LOC113775230_rna21784	Ceug_LOC113764154_rna3301	Ceug_LOC113777172_rna1938	Ceug_LOC113778112_rna26175	Ceug_LOC113780710_rna50	Ceug_LOC113775320_rna21806	Ceug_LOC113765698_rna14006	Ceug_LOC113773657_rna22652	Ceug_LOC113751057_rna39940	Ceug_LOC113768515_rna15794		Ceug_LOC113754302_rna39457	Ceug_LOC113779916_rna29631	Ceug_LOC113755999_rna41456	Ceug_LOC113751758_rna38325	Ceug_LOC113779781_rna28674	Ceug_LOC113760895_rna6181	Ceug_LOC113748883_rna33689	Ceug_LOC113753966_rna36104	Ceug_LOC113782719_rna30789	Ceug_LOC113773374_rna24509	Ceug_LOC113783423_rna31170		Ceug_LOC113768253_rna16742	Ceug_LOC113774550_rna22327	Ceug_LOC113761315_rna5730		Ceug_LOC113762793_rna8842	Ceug_LOC113754238_rna39837	Ceug_LOC113773657_rna22652	Ceug_LOC113761928_rna8696	Ceug_LOC113765508_rna13077	Ceug_LOC113768515_rna15794		Ceug_LOC113752219_rna3969	Ceug_LOC113779916_rna29631	
Ceug_LOC113760967_rna8503	Ceug_LOC113767605_rna16338	Ceug_LOC113769555_rna16822	Ceug_LOC113777785_rna26515	Ceug_LOC113753186_rna40087	Ceug_LOC113769555_rna16822	Ceug_LOC113763734_rna5709	Ceug_LOC113780710_rna50	Ceug_LOC113768602_rna14817	Ceug_LOC113753186_rna40087	Ceug_LOC113758944_rna44101	Ceug_LOC113777785_rna26515	Ceug_LOC113755997_rna41434	Ceug_LOC113753966_rna36104		Ceug_LOC113753186_rna40087	Ceug_LOC113779781_rna28674	Ceug_LOC113751435_rna1349	Ceug_LOC113775230_rna21784	Ceug_LOC113779242_rna29716	Ceug_LOC113758526_rna43731	Ceug_LOC113755214_rna40715	Ceug_LOC113765200_rna13079	Ceug_LOC113782715_rna31313	Ceug_LOC113749536_rna34897	Ceug_LOC113770807_rna17231		Ceug_LOC113764164_rna7537	Ceug_LOC113764947_rna11292			Ceug_LOC113750646_rna3193	Ceug_LOC113755997_rna41434	Ceug_LOC113768039_rna14909	Ceug_LOC113760895_rna6181	Ceug_LOC113765323_rna11905	Ceug_LOC113765710_rna11054	Ceug_LOC113769904_rna20085	Ceug_LOC113769457_rna16804	Ceug_LOC113764618_rna11554			Ceug_LOC113760694_rna1845	Ceug_LOC113749869_rna33777	Ceug_LOC113770603_rna17117		Ceug_LOC113749536_rna34897	Ceug_LOC113753385_rna38736		Ceug_LOC113761022_rna8314	Ceug_LOC113760531_rna7539	Ceug_LOC113762581_rna6460		Ceug_LOC113750873_rna33334	Ceug_LOC113750646_rna3193	
Ceug_LOC113760966_rna10905	Ceug_LOC113763734_rna5709	Ceug_LOC113768609_rna14943	Ceug_LOC113777783_rna25720	Ceug_LOC113774850_rna21473	Ceug_LOC113777783_rna25720	Ceug_LOC113781100_rna29599	Ceug_LOC113782715_rna31313	Ceug_LOC113770835_rna19073	Ceug_LOC113774850_rna21473	Ceug_LOC113768191_rna14837	Ceug_LOC113777783_rna25720	Ceug_LOC113761689_rna4613	Ceug_LOC113769904_rna20085		Ceug_LOC113774850_rna21473	Ceug_LOC113781306_rna30338	Ceug_LOC113773983_rna23594	Ceug_LOC113779242_rna29716	Ceug_LOC113779798_rna30048	Ceug_LOC113774686_rna21786	Ceug_LOC113755213_rna40712	Ceug_LOC113782981_rna32973	Ceug_LOC113753744_rna36761	Ceug_LOC113768515_rna15794	Ceug_LOC113751294_rna36404		Ceug_LOC113773416_rna20835	Ceug_LOC113772587_rna17304			Ceug_LOC113762006_rna3995		Ceug_LOC113779439_rna28155	Ceug_LOC113765323_rna11905	Ceug_LOC113751491_rna39925	Ceug_LOC113751786_rna40119	Ceug_LOC113765972_rna12306	Ceug_LOC113760723_rna6290	Ceug_LOC113768253_rna16742			Ceug_LOC113777850_rna26448	Ceug_LOC113753042_rna37942	Ceug_LOC113761214_rna7500		Ceug_LOC113774881_rna23993	Ceug_LOC113766805_rna11740		Ceug_LOC113763891_rna4278	Ceug_LOC113753478_rna39487	Ceug_LOC113773016_rna20989		Ceug_LOC113780449_rna28753	Ceug_LOC113762006_rna3995	
Ceug_LOC113760965_rna10358	Ceug_LOC113781100_rna29599	Ceug_LOC113780710_rna50	Ceug_LOC113768602_rna14817	Ceug_LOC113768065_rna15201	Ceug_LOC113768609_rna14943	Ceug_LOC113777785_rna26515	Ceug_LOC113758944_rna44101	Ceug_LOC113770836_rna19867	Ceug_LOC113768065_rna15201	Ceug_LOC113761953_rna4118	Ceug_LOC113768602_rna14817	Ceug_LOC113768568_rna15283	Ceug_LOC113765972_rna12306		Ceug_LOC113768065_rna15201	Ceug_LOC113783432_rna31199	Ceug_LOC113768149_rna16309	Ceug_LOC113779798_rna30048	Ceug_LOC113777805_rna24902	Ceug_LOC113759477_rna1879	Ceug_LOC113767754_rna14679	Ceug_LOC113760946_rna8098	Ceug_LOC113754070_rna36105	Ceug_LOC113760531_rna7539	Ceug_LOC113766805_rna11740		Ceug_LOC113768677_rna14525	Ceug_LOC113770829_rna19093			Ceug_LOC113782822_rna32912		Ceug_LOC113779343_rna28151	Ceug_LOC113751491_rna39925	Ceug_LOC113753853_rna40144	Ceug_LOC113779344_rna30578	Ceug_LOC113770654_rna19787	Ceug_LOC113765770_rna11764	Ceug_LOC113760694_rna1845			Ceug_LOC113757804_rna2420	Ceug_LOC113753985_rna38897	Ceug_LOC113776123_rna20658		Ceug_LOC113774880_rna20988	Ceug_LOC113774629_rna21969		Ceug_LOC113764034_rna3988	Ceug_LOC113764164_rna7537	Ceug_LOC113754743_rna9474		Ceug_LOC113772441_rna20016	Ceug_LOC113782822_rna32912	
Ceug_LOC113760969_rna8507	Ceug_LOC113769555_rna16822	Ceug_LOC113782715_rna31313	Ceug_LOC113770835_rna19073	Ceug_LOC113779781_rna28674	Ceug_LOC113768602_rna14817	Ceug_LOC113777783_rna25720	Ceug_LOC113753744_rna36761	Ceug_LOC113776782_rna25884	Ceug_LOC113779781_rna28674	Ceug_LOC113769457_rna16804	Ceug_LOC113770835_rna19073	Ceug_LOC113751758_rna38325	Ceug_LOC113767648_rna14772		Ceug_LOC113779781_rna28674	Ceug_LOC113749116_rna33358	Ceug_LOC113754518_rna36655	Ceug_LOC113777805_rna24902	Ceug_LOC113776074_rna20435	Ceug_LOC113775182_rna1895	Ceug_LOC113765261_rna11233	Ceug_LOC113767701_rna14129	Ceug_LOC113769457_rna16804	Ceug_LOC113759611_rna10545	Ceug_LOC113775432_rna23012		Ceug_LOC113777542_rna26240	Ceug_LOC113748424_rna30953			Ceug_LOC113781597_rna27481		Ceug_LOC113779961_rna30136	Ceug_LOC113753853_rna40144	Ceug_LOC113777774_rna26949	Ceug_LOC113760976_rna6015	Ceug_LOC113769855_rna624	Ceug_LOC113763537_rna6908	Ceug_LOC113748732_rna3012			Ceug_LOC113776449_rna24437	Ceug_LOC113781977_rna31214	Ceug_LOC113751574_rna39010		Ceug_LOC113763124_rna5605	Ceug_LOC113778317_rna24948			Ceug_LOC113773416_rna20835	Ceug_LOC113770840_rna19959		Ceug_LOC113770712_rna19680	Ceug_LOC113781597_rna27481	
Ceug_LOC113760968_rna4082	Ceug_LOC113777785_rna26515	Ceug_LOC113782719_rna30789	Ceug_LOC113770836_rna19867	Ceug_LOC113751435_rna1349	Ceug_LOC113770835_rna19073	Ceug_LOC113768602_rna14817	Ceug_LOC113754070_rna36105	Ceug_LOC113761605_rna3224	Ceug_LOC113751435_rna1349	Ceug_LOC113779710_rna27619	Ceug_LOC113770836_rna19867	Ceug_LOC113768039_rna14909	Ceug_LOC113770654_rna19787		Ceug_LOC113751435_rna1349	Ceug_LOC113752921_rna39516	Ceug_LOC113777928_rna25778	Ceug_LOC113776074_rna20435	Ceug_LOC113758595_rna43790	Ceug_LOC113761670_rna7553	Ceug_LOC113777935_rna25223	Ceug_LOC113775157_rna3744	Ceug_LOC113757907_rna43160	Ceug_LOC113781953_rna1399	Ceug_LOC113751418_rna37737			Ceug_LOC113760521_rna4119			Ceug_LOC113767708_rna14946		Ceug_LOC113759248_rna7335	Ceug_LOC113777774_rna26949	Ceug_LOC113761395_rna8319	Ceug_LOC113777695_rna24979	Ceug_LOC113750226_rna35063	Ceug_LOC113777659_rna1675	Ceug_LOC113760799_rna2815			Ceug_LOC113765152_rna11711	Ceug_LOC113752322_rna3246	Ceug_LOC113755966_rna41409		Ceug_LOC113761391_rna6445	Ceug_LOC113762805_rna10828			Ceug_LOC113778813_rna26650	Ceug_LOC113776374_rna20340		Ceug_LOC113778341_rna2187	Ceug_LOC113774979_rna22034	
Ceug_LOC113781105_rna30142	Ceug_LOC113777783_rna25720	Ceug_LOC113758944_rna44101	Ceug_LOC113776782_rna25884	Ceug_LOC113773983_rna23594	Ceug_LOC113770836_rna19867	Ceug_LOC113770835_rna19073	Ceug_LOC113761037_rna2318	Ceug_LOC113757088_rna42398	Ceug_LOC113773983_rna23594	Ceug_LOC113773374_rna24509	Ceug_LOC113776782_rna25884	Ceug_LOC113779439_rna28155	Ceug_LOC113769855_rna624		Ceug_LOC113773983_rna23594	Ceug_LOC113748946_rna33573	Ceug_LOC113779946_rna1335	Ceug_LOC113758595_rna43790	Ceug_LOC113761638_rna4024	Ceug_LOC113774936_rna22047	Ceug_LOC113753139_rna37215	Ceug_LOC113761554_rna1843	Ceug_LOC113763969_rna10918	Ceug_LOC113751085_rna39489				Ceug_LOC113768732_rna15796			Ceug_LOC113774979_rna22034		Ceug_LOC113779755_rna29875	Ceug_LOC113761395_rna8319	Ceug_LOC113774804_rna24427	Ceug_LOC113770713_rna19978	Ceug_LOC113770428_rna20077	Ceug_LOC113773668_rna22740	Ceug_LOC113774550_rna22327			Ceug_LOC113752991_rna37661	Ceug_LOC113767317_rna16771	Ceug_LOC113770592_rna17828		Ceug_LOC113768515_rna15794	Ceug_LOC113778237_rna24793			Ceug_LOC113777542_rna26240	Ceug_LOC113776370_rna20338		Ceug_LOC113767324_rna14154	Ceug_LOC113760167_rna679	
Ceug_LOC113764879_rna10980	Ceug_LOC113768609_rna14943	Ceug_LOC113753744_rna36761	Ceug_LOC113776789_rna3434	Ceug_LOC113781306_rna30338	Ceug_LOC113776782_rna25884	Ceug_LOC113770836_rna19867	Ceug_LOC113774959_rna22167	Ceug_LOC113757089_rna42397	Ceug_LOC113781306_rna30338	Ceug_LOC113764618_rna11554	Ceug_LOC113776789_rna3434	Ceug_LOC113779343_rna28151	Ceug_LOC113750226_rna35063		Ceug_LOC113781306_rna30338	Ceug_LOC113770206_rna20276	Ceug_LOC113755126_rna40628	Ceug_LOC113761638_rna4024	Ceug_LOC113761068_rna8198	Ceug_LOC113751208_rna40234	Ceug_LOC113774847_rna23114	Ceug_LOC113761828_rna8555	Ceug_LOC113764616_rna11478	Ceug_LOC113765698_rna14006							Ceug_LOC113760167_rna679		Ceug_LOC113779620_rna30130	Ceug_LOC113774804_rna24427	Ceug_LOC113770104_rna19344	Ceug_LOC113770449_rna19506	Ceug_LOC113751663_rna38480	Ceug_LOC113760403_rna4260	Ceug_LOC113749869_rna33777			Ceug_LOC113753537_rna38396	Ceug_LOC113782817_rna31975	Ceug_LOC113779590_rna27625		Ceug_LOC113765508_rna13077					Ceug_LOC113773220_rna20339		Ceug_LOC113766818_rna11004	Ceug_LOC113769877_rna19064	
