Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
Ntom_NP_001289443.1	Ntom_NP_001289444.1	Ntom_XP_009586626.1	Ntom_NP_001289444.1	Ntom_XP_009587667.1	Ntom_NP_001289444.1	Ntom_NP_001289444.1	Ntom_XP_009586626.1	Ntom_NP_001289444.1	Ntom_XP_009587667.1	Ntom_XP_009586919.1	Ntom_NP_001289444.1	Ntom_XP_009587691.1	Ntom_XP_009588402.1	Ntom_XP_009592813.1	Ntom_XP_009587667.1	Ntom_XP_009589191.1	Ntom_XP_009587667.1	Ntom_XP_009586626.1	Ntom_XP_009586626.1	Ntom_XP_009587708.1	Ntom_XP_009587892.1	Ntom_XP_009587132.1	Ntom_XP_009586706.1	Ntom_XP_009586901.1	Ntom_XP_009591168.1	Ntom_XP_009608694.1	Ntom_XP_009600897.2	Ntom_XP_009586901.1	Ntom_XP_009628672.1	Ntom_XP_009596985.1	Ntom_XP_009588089.1	Ntom_XP_009587691.1	Ntom_XP_009588357.1	Ntom_XP_009589348.1	Ntom_XP_009591894.1	Ntom_XP_009589348.1	Ntom_XP_009588402.1	Ntom_XP_009586919.1	Ntom_XP_009587026.1	Ntom_XP_009588754.1	Ntom_XP_009592880.1	Ntom_XP_009588828.1	Ntom_XP_009587026.1	Ntom_XP_009587329.1	Ntom_XP_009595081.1	Ntom_XP_009588078.1	Ntom_XP_009598795.1	Ntom_XP_009608694.1	Ntom_XP_009599122.1	Ntom_XP_009592744.1	Ntom_XP_009591622.1	Ntom_XP_009588078.1	Ntom_XP_009592140.1	Ntom_XP_009588089.1	
Ntom_NP_001289445.1	Ntom_XP_009586621.1	Ntom_XP_009586627.1	Ntom_XP_009586621.1	Ntom_XP_009587668.1	Ntom_XP_009586621.1	Ntom_XP_009586621.1	Ntom_XP_009586627.1	Ntom_XP_009586621.1	Ntom_XP_009587668.1	Ntom_XP_009587026.1	Ntom_XP_009586621.1	Ntom_XP_009588294.1	Ntom_XP_009588403.1	Ntom_XP_009592814.1	Ntom_XP_009587668.1	Ntom_XP_009589391.1	Ntom_XP_009587668.1	Ntom_XP_009586627.1	Ntom_XP_009586627.1	Ntom_XP_009587709.1	Ntom_XP_009587893.1	Ntom_XP_009591524.1	Ntom_XP_009586712.1	Ntom_XP_009586902.1	Ntom_XP_009593230.1	Ntom_XP_009619460.1	Ntom_XP_009608382.1	Ntom_XP_009586902.1		Ntom_XP_009596986.1	Ntom_XP_009588299.1	Ntom_XP_009588294.1	Ntom_XP_009588367.1	Ntom_XP_009591894.1	Ntom_XP_009593521.1	Ntom_XP_009592363.1	Ntom_XP_009588403.1	Ntom_XP_009587231.2	Ntom_XP_009587071.1	Ntom_XP_009588817.1	Ntom_XP_009613230.1	Ntom_XP_009590086.2	Ntom_XP_009587071.1	Ntom_XP_009587514.1	Ntom_XP_009602965.1	Ntom_XP_009591622.1	Ntom_XP_009598916.1	Ntom_XP_009619460.1	Ntom_XP_009601650.1	Ntom_XP_009595697.1	Ntom_XP_009594608.1	Ntom_XP_009624749.1	Ntom_XP_009592550.1	Ntom_XP_009588299.1	
Ntom_NP_001289446.1	Ntom_XP_009586624.1	Ntom_XP_009586628.1	Ntom_XP_009586624.1	Ntom_XP_009588846.2	Ntom_XP_009586624.1	Ntom_XP_009586624.1	Ntom_XP_009586628.1	Ntom_XP_009586624.1	Ntom_XP_009588846.2	Ntom_XP_009587071.1	Ntom_XP_009586624.1	Ntom_XP_009588296.1	Ntom_XP_009588404.1	Ntom_XP_009592815.1	Ntom_XP_009588846.2	Ntom_XP_009591571.1	Ntom_XP_009588846.2	Ntom_XP_009586628.1	Ntom_XP_009586628.1	Ntom_XP_009590496.1	Ntom_XP_009593906.1	Ntom_XP_009595028.1	Ntom_XP_009586718.1	Ntom_XP_009586903.1	Ntom_XP_009595841.1	Ntom_XP_009627611.1	Ntom_XP_009613974.1	Ntom_XP_009586903.1		Ntom_XP_009619393.1	Ntom_XP_009589032.1	Ntom_XP_009588296.1	Ntom_XP_009592687.1	Ntom_XP_009592363.1	Ntom_XP_009593522.1	Ntom_XP_009592771.1	Ntom_XP_009588404.1	Ntom_XP_009587431.1	Ntom_XP_009587329.1	Ntom_XP_009594925.1		Ntom_XP_009597420.1	Ntom_XP_009587811.1	Ntom_XP_009588563.1	Ntom_XP_009609566.1	Ntom_XP_009592140.1	Ntom_XP_009598917.1	Ntom_XP_009627611.1	Ntom_XP_009601815.1	Ntom_XP_009600897.2	Ntom_XP_009597572.1		Ntom_XP_009593399.1	Ntom_XP_009589032.1	
Ntom_NP_001289447.1	Ntom_XP_009586625.1	Ntom_XP_009586629.1	Ntom_XP_009586625.1	Ntom_XP_009589191.1	Ntom_XP_009586625.1	Ntom_XP_009586625.1	Ntom_XP_009586629.1	Ntom_XP_009586625.1	Ntom_XP_009589191.1	Ntom_XP_009587231.2	Ntom_XP_009586625.1	Ntom_XP_009588986.1	Ntom_XP_009588837.1	Ntom_XP_018624124.1	Ntom_XP_009589191.1	Ntom_XP_009591572.1	Ntom_XP_009590931.1	Ntom_XP_009586629.1	Ntom_XP_009586629.1	Ntom_XP_009590906.1	Ntom_XP_009593908.1	Ntom_XP_009596479.1	Ntom_XP_009586725.1	Ntom_XP_009586904.1	Ntom_XP_009608357.1	Ntom_XP_018628493.1	Ntom_XP_009614932.1	Ntom_XP_009586904.1		Ntom_XP_009619394.1	Ntom_XP_009589033.1	Ntom_XP_009588986.1	Ntom_XP_009593077.1	Ntom_XP_009592771.1	Ntom_XP_009594177.1	Ntom_XP_009596045.1	Ntom_XP_009589027.1	Ntom_XP_009587534.1	Ntom_XP_009587514.1	Ntom_XP_018628000.1		Ntom_XP_009599104.1	Ntom_XP_009588187.1	Ntom_XP_009588901.1	Ntom_XP_009625434.1	Ntom_XP_009592550.1	Ntom_XP_009598918.1	Ntom_XP_018628493.1	Ntom_XP_009612911.1	Ntom_XP_009610687.1	Ntom_XP_009602093.2		Ntom_XP_009593400.1	Ntom_XP_009589033.1	
Ntom_NP_001289448.1	Ntom_XP_009586626.1	Ntom_XP_009586630.1	Ntom_XP_009586650.1	Ntom_XP_009589391.1	Ntom_XP_009586626.1	Ntom_XP_009586650.1	Ntom_XP_009586630.1	Ntom_XP_009586650.1	Ntom_XP_009589391.1	Ntom_XP_009587329.1	Ntom_XP_009586650.1	Ntom_XP_009588987.1	Ntom_XP_009589027.1	Ntom_XP_018629179.1	Ntom_XP_009589391.1	Ntom_XP_009591573.1	Ntom_XP_009591021.1	Ntom_XP_009586630.1	Ntom_XP_009586630.1	Ntom_XP_009592972.1	Ntom_XP_009593978.1	Ntom_XP_009598534.1	Ntom_XP_009586731.1	Ntom_XP_009586905.1	Ntom_XP_009608358.1		Ntom_XP_009617335.1	Ntom_XP_009586905.1		Ntom_XP_009619395.1	Ntom_XP_009590918.1	Ntom_XP_009588987.1	Ntom_XP_009608109.1	Ntom_XP_009593521.1	Ntom_XP_009595726.1	Ntom_XP_009603294.1	Ntom_XP_009589028.1	Ntom_XP_009588202.1	Ntom_XP_009587811.1			Ntom_XP_009599173.1	Ntom_XP_009588188.1	Ntom_XP_009590812.1		Ntom_XP_009592744.1	Ntom_XP_009598920.1		Ntom_XP_009617776.1	Ntom_XP_009610688.1	Ntom_XP_009604517.1		Ntom_XP_009594522.1	Ntom_XP_009590918.1	
Ntom_NP_001289449.1	Ntom_XP_009586627.1	Ntom_XP_009586706.1	Ntom_XP_009586651.1	Ntom_XP_009590931.1	Ntom_XP_009586627.1	Ntom_XP_009586715.1	Ntom_XP_009586706.1	Ntom_XP_009586651.1	Ntom_XP_009590931.1	Ntom_XP_009587431.1	Ntom_XP_009586715.1	Ntom_XP_009588988.1	Ntom_XP_009589028.1		Ntom_XP_009590931.1	Ntom_XP_009592349.1	Ntom_XP_009591213.1	Ntom_XP_009587132.1	Ntom_XP_009587224.1	Ntom_XP_009597035.1	Ntom_XP_009595197.1	Ntom_XP_009598864.1	Ntom_XP_009586737.1	Ntom_XP_009589793.1	Ntom_XP_009611935.1		Ntom_XP_009617336.1	Ntom_XP_009589793.1		Ntom_XP_009619396.1	Ntom_XP_009591201.1	Ntom_XP_009588988.1	Ntom_XP_009608864.1	Ntom_XP_009593522.1	Ntom_XP_009597106.2	Ntom_XP_009604350.1	Ntom_XP_009590326.1	Ntom_XP_009589404.1	Ntom_XP_009588187.1			Ntom_XP_009599174.1	Ntom_XP_009588197.1	Ntom_XP_009593856.1		Ntom_XP_009593399.1	Ntom_XP_009607457.1		Ntom_XP_009621232.1	Ntom_XP_009610689.1	Ntom_XP_009604518.1		Ntom_XP_009594523.1	Ntom_XP_009591201.1	
Ntom_NP_001289450.1	Ntom_XP_009586628.1	Ntom_XP_009586712.1	Ntom_XP_009586715.1	Ntom_XP_009591021.1	Ntom_XP_009586628.1	Ntom_XP_009586739.1	Ntom_XP_009586712.1	Ntom_XP_009586715.1	Ntom_XP_009591021.1	Ntom_XP_009587514.1	Ntom_XP_009586739.1	Ntom_XP_009588989.1	Ntom_XP_009590326.1		Ntom_XP_009591021.1	Ntom_XP_009592350.1	Ntom_XP_009592582.1	Ntom_XP_009587224.1	Ntom_XP_009588225.1	Ntom_XP_009598180.1	Ntom_XP_009595843.1	Ntom_XP_009599438.1	Ntom_XP_009586742.1	Ntom_XP_009589794.1	Ntom_XP_009611944.1		Ntom_XP_009623718.1	Ntom_XP_009589794.1		Ntom_XP_009619397.1	Ntom_XP_009592734.1	Ntom_XP_009588989.1	Ntom_XP_009608870.1	Ntom_XP_009594177.1	Ntom_XP_009597415.1	Ntom_XP_009605101.1	Ntom_XP_009591970.1	Ntom_XP_009589920.1	Ntom_XP_009588188.1			Ntom_XP_009600934.1	Ntom_XP_009589108.1	Ntom_XP_009597417.1		Ntom_XP_009593400.1	Ntom_XP_009610480.1		Ntom_XP_009623296.1	Ntom_XP_009613974.1	Ntom_XP_009604584.1		Ntom_XP_009596847.1	Ntom_XP_009592734.1	
Ntom_NP_001289451.1	Ntom_XP_009586629.1	Ntom_XP_009586718.1	Ntom_XP_009586739.1	Ntom_XP_009591213.1	Ntom_XP_009586629.1	Ntom_XP_009586746.1	Ntom_XP_009586718.1	Ntom_XP_009586771.1	Ntom_XP_009591213.1	Ntom_XP_009587534.1	Ntom_XP_009586746.1	Ntom_XP_009613066.1	Ntom_XP_009591970.1		Ntom_XP_009591213.1	Ntom_XP_009592425.1	Ntom_XP_009592583.1	Ntom_XP_009587708.1	Ntom_XP_009588700.1	Ntom_XP_009600006.1	Ntom_XP_009595844.1	Ntom_XP_009602459.1	Ntom_XP_009586748.1	Ntom_XP_009591168.1	Ntom_XP_009614939.1		Ntom_XP_009623912.1	Ntom_XP_009593534.1		Ntom_XP_009624965.1	Ntom_XP_009594560.1	Ntom_XP_009613066.1	Ntom_XP_009615664.1	Ntom_XP_009595726.1	Ntom_XP_009599172.1	Ntom_XP_009605327.1	Ntom_XP_009592201.1	Ntom_XP_009589921.1	Ntom_XP_009588197.1			Ntom_XP_009603412.1	Ntom_XP_009590581.1	Ntom_XP_009597918.1		Ntom_XP_009594522.1	Ntom_XP_009614930.1		Ntom_XP_009629625.1	Ntom_XP_009623718.1	Ntom_XP_009604585.1		Ntom_XP_009602839.1	Ntom_XP_009594560.1	
Ntom_NP_001289452.1	Ntom_XP_009586630.1	Ntom_XP_009586725.1	Ntom_XP_009586746.1	Ntom_XP_009591571.1	Ntom_XP_009586630.1	Ntom_XP_009586771.1	Ntom_XP_009586725.1	Ntom_XP_009586818.1	Ntom_XP_009591571.1	Ntom_XP_009587691.1	Ntom_XP_009586771.1	Ntom_XP_009616596.1	Ntom_XP_009592201.1		Ntom_XP_009591571.1	Ntom_XP_009592426.1	Ntom_XP_009593067.1	Ntom_XP_009587709.1	Ntom_XP_009590541.1	Ntom_XP_009601498.1	Ntom_XP_009596242.1	Ntom_XP_009605422.1	Ntom_XP_009586798.1	Ntom_XP_009593230.1	Ntom_XP_009622396.1		Ntom_XP_018626367.1	Ntom_XP_009596794.1		Ntom_XP_009624966.1	Ntom_XP_009595898.1	Ntom_XP_009616596.1	Ntom_XP_009616024.1	Ntom_XP_009596045.1	Ntom_XP_009601614.1	Ntom_XP_009609838.1	Ntom_XP_009592202.1	Ntom_XP_009590764.1	Ntom_XP_009588563.1			Ntom_XP_009604163.1	Ntom_XP_009592774.1	Ntom_XP_009598574.1		Ntom_XP_009594523.1	Ntom_XP_009614939.1		Ntom_XP_009629626.1	Ntom_XP_009623912.1	Ntom_XP_009605968.1		Ntom_XP_009603349.1	Ntom_XP_009595898.1	
Ntom_NP_001289454.1	Ntom_XP_009586650.1	Ntom_XP_009586731.1	Ntom_XP_009586771.1	Ntom_XP_009591572.1	Ntom_XP_009586650.1	Ntom_XP_009586807.1	Ntom_XP_009586731.1	Ntom_XP_009586886.1	Ntom_XP_009591572.1	Ntom_XP_009587811.1	Ntom_XP_009586807.1	Ntom_XP_009588357.1	Ntom_XP_009592202.1		Ntom_XP_009591572.1	Ntom_XP_009592617.1	Ntom_XP_009593073.1	Ntom_XP_009587892.1	Ntom_XP_009590737.1	Ntom_XP_009602845.1	Ntom_XP_009596474.1	Ntom_XP_009607680.1	Ntom_XP_009587009.1	Ntom_XP_009593534.1	Ntom_XP_009629279.1		Ntom_XP_018628408.1	Ntom_XP_009599588.1		Ntom_XP_009630469.1	Ntom_XP_009598075.1		Ntom_XP_009616895.1	Ntom_XP_009597106.2	Ntom_XP_009601644.1	Ntom_XP_009613808.1	Ntom_XP_009593050.1	Ntom_XP_009590765.1	Ntom_XP_009588754.1			Ntom_XP_009606199.1	Ntom_XP_009601397.1	Ntom_XP_009598575.1		Ntom_XP_009594608.1	Ntom_XP_009623668.1		Ntom_XP_018626629.1	Ntom_XP_018621891.1	Ntom_XP_009612874.1		Ntom_XP_009611396.1	Ntom_XP_009598075.1	
