#Gene	Overall Prediction	TargetP	iPSORT	LOCALIZER	Predotar
Kirkii_Version3_Juiced.00g000010	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000020	dual	dual	plastid	plastid	non-organellar
Kirkii_Version3_Juiced.00g000030	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000040	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000050	plastid	plastid	plastid	plastid	plastid
Kirkii_Version3_Juiced.00g000060	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000070	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000080	plastid	plastid	plastid	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000090	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000100	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000110	dual	dual	mitochondrial	mitochondrial	non-organellar
Kirkii_Version3_Juiced.00g000120	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000130	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000140	mitochondrial	non-organellar	mitochondrial	non-organellar	N/A
Kirkii_Version3_Juiced.00g000150	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000160	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000170	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000180	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000190	mitochondrial	non-organellar	mitochondrial	mitochondrial	mitochondrial
Kirkii_Version3_Juiced.00g000200	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000210	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000220	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000230	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000240	dual	dual	non-organellar	mitochondrial	non-organellar
Kirkii_Version3_Juiced.00g000250	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000260	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000270	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000280	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000290	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000300	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000310	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000320	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000330	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000340	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Kirkii_Version3_Juiced.00g000350	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
