Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
Gj1A128T45.1	Gj1A508T55.1	Gj1X460T29.1	Gj1A508T55.1	Gj9A991T100.1	Gj1A508T55.1	Gj1A508T55.1	Gj1X460T29.1	Gj1A508T55.1	Gj9A991T100.1	Gj7X401T41.1	Gj1A508T55.1	Gj1A512T98.1	Gj9A768T84.1	Gj5P368T15.1	Gj9A991T100.1	Gj9P150T9.1	Gj9A991T100.1	Gj9A232T71.1	Gj9A773T94.1	Gj9E259T6.1	Gj3A297T81.1	Gj9A232T71.1	Gj1X460T29.1	Gj2P375T20.1	Gj2P375T20.1	Gj9A680T109.1	Gj9A75T119.1	Gj9P28T6.1	Gj10A295T86.1	Gj2A405T82.1	Gj5A18T108.1	Gj1A512T98.1	Gj9A616T76.1	Gj1A230T21.1	Gj1A230T21.1	Gj9A548T66.1	Gj9A140T133.1	Gj7X401T41.1	Gj8P391T10.1	Gj9X1008T52.1	Gj7A358T53.1	Gj10A200T95.1	Gj11A437T86.1	Gj8P391T10.1	Gj10A305T64.1	Gj9A1092T63.1	Gj11A425T99.1	Gj9A680T109.1	Gj9A1092T63.1	Gj11P135T2.1	Gj8A248T6.1	Gj11A420T113.1	Gj8A369T48.1	Gj5A18T108.1	
Gj1A166T27.1	Gj1X460T29.1	Gj7P15T3.1	Gj10P256T17.1	Gj9P150T9.1	Gj1X460T29.1	Gj10P256T17.1	Gj7P15T3.1	Gj11A9T8.1	Gj9P150T9.1	Gj8P391T10.1	Gj10P256T17.1	Gj11A114T10.1	Gj9A140T133.1		Gj9P150T9.1	Gj1P28T12.1	Gj9P645T23.1	Gj9A773T94.1	Gj9A224T121.1	Gj9X200T43.1	Gj8A296T60.1	Gj9A12T73.1	Gj7P15T3.1	Gj9P28T6.1	Gj11X126T1.1	Gj4A481T67.1	Gj9A699T129.1	Gj3X306T42.1			Gj9A1087T108.1	Gj11A114T10.1	Gj9A1076T75.1	Gj2A388T104.1	Gj2A388T104.1	Gj7X392T9.1	Gj8P392T12.1	Gj9X1033T69.1	Gj11A437T86.1	Gj1P24T6.1	Gj9P875T19.1	Gj9A262T107.1	Gj1A471T54.1	Gj9A675T60.1		Gj8A369T48.1	Gj3A332T66.1	Gj4A481T67.1	Gj9A295T50.1	Gj9A75T119.1	Gj9X872T27.1	Gj9A1020T75.1	Gj10A296T121.1	Gj9A1087T108.1	
Gj1A20T79.1	Gj10P256T17.1	Gj7X401T41.1	Gj11A9T8.1	Gj1P28T12.1	Gj11A9T8.1	Gj11A9T8.1	Gj9A768T84.1	Gj2A35T104.1	Gj1P28T12.1	Gj1A512T98.1	Gj11A9T8.1	Gj9A616T76.1	Gj8P392T12.1		Gj1P28T12.1	Gj9A832T70.1	Gj7A388T141.1	Gj9E259T6.1	Gj9X919T48.1	Gj9X1065T36.1	Gj9P657T17.1	Gj2P448T6.1	Gj10X298T91.1	Gj11X126T1.1	Gj3A332T66.1	Gj11P395T9.1	Gj10P231T22.1	Gj1P2T14.1			Gj10P91T2.1		Gj9A653T78.1	Gj9A548T66.1	Gj9A200T78.1	Gj10A305T60.1	Gj4A135T44.1	Gj9X816T28.1	Gj10A200T95.1	Gj9X273T45.1		Gj11A351T54.1	Gj8A74T104.1	Gj9X279T45.1		Gj10A296T121.1	Gj9P694T17.1	Gj11P395T9.1	Gj9A87T88.1	Gj10P231T22.1	Gj9P871T15.1		Gj9P153T23.1	Gj10P91T2.1	
Gj1A27T43.1	Gj11A9T8.1	Gj8P391T10.1	Gj2A35T104.1	Gj9P645T23.1	Gj2A35T104.1	Gj2A35T104.1	Gj10X298T91.1	Gj3P287T24.1	Gj9P645T23.1	Gj5A18T108.1	Gj2A35T104.1	Gj9A1076T75.1	Gj4A135T44.1		Gj9P645T23.1	Gj9A8T72.1	Gj2X390T61.1	Gj9X200T43.1	Gj9A832T73.1	Gj9P648T15.1	Gj9A819T117.1	Gj11A364T75.1	Gj5E278T1.1	Gj9A75T119.1	Gj4P74T6.1		Gj9P904T17.1	Gj6P327T11.1			Gj9P854T12.1		Gj9P886T12.1	Gj9A200T78.1	Gj4A450T20.1	Gj9A114T75.1	Gj11A357T45.1	Gj4P507T15.1	Gj9X1008T52.1			Gj1A463T51.1	Gj3X320T39.1	Gj9P5T18.1		Gj11P135T2.1	Gj2X393T23.1		Gj2A405T79.1	Gj10A159T51.1	Gj4X114T5.1		Gj3P261T16.1	Gj9P854T12.1	
Gj1A366T9.1	Gj2A35T104.1	Gj9A768T84.1	Gj3P287T24.1	Gj7A388T141.1	Gj3P287T24.1	Gj3P287T24.1	Gj2P375T20.1	Gj4P441T7.1	Gj7A388T141.1	Gj9A1087T108.1	Gj3P287T24.1	Gj9A653T78.1	Gj8P393T9.1		Gj7A388T141.1	Gj9P796T21.1	Gj11A154T8.1	Gj9A224T121.1	Gj2P396T14.1	Gj9P347T5.1	Gj10A294T101.1	Gj9A715T68.1	Gj7X377T54.1	Gj3A332T66.1	Gj11X358T11.1		Gj8P281T2.1	Gj6P327T14.1			Gj3A347T65.1		Gj9A789T78.1	Gj4A450T20.1	Gj10X287T99.1	Gj9A1054T75.1	Gj6A270T33.1	Gj5X212T2.1	Gj9A262T107.1			Gj3P330T10.1	Gj9A197T168.1	Gj11X432T33.1		Gj8A248T6.1			Gj2A475T68.1	Gj9P904T17.1	Gj2P176T3.1		Gj9A1064T98.1	Gj3A347T65.1	
Gj1A422T44.1	Gj3P287T24.1	Gj1A512T98.1	Gj4A307T13.1	Gj2X390T61.1	Gj4P441T7.1	Gj4A307T13.1	Gj5A18T108.1	Gj6A70T25.1	Gj2X390T61.1	Gj9X1033T69.1	Gj4A307T13.1	Gj9P886T12.1	Gj11A357T45.1		Gj2X390T61.1	Gj2A283T28.1	Gj9X148T95.1	Gj9X919T48.1	Gj6A316T96.1	Gj9A14T99.1	Gj9X155T63.1	Gj4P124T10.1	Gj9P28T5.1	Gj4P74T6.1	Gj7A16T44.1		Gj10A231T124.1	Gj9P1099T16.1			Gj9A84T87.1		Gj9A155T114.1	Gj10X287T99.1	Gj8X373T35.1	Gj9A136T74.1	Gj3P50T5.1	Gj9A685T129.1	Gj1A471T54.1			Gj9A1041T109.1	Gj9A187T80.1	Gj9A56T96.1		Gj11A420T113.1				Gj9A714T66.1	Gj1X353T9.1		Gj9A138T85.1	Gj9A84T87.1	
Gj1A460T127.1	Gj4A307T13.1	Gj10X298T91.1	Gj4P441T7.1	Gj9A832T70.1	Gj6A70T25.1	Gj4P441T7.1	Gj5E278T1.1	Gj9A521T48.1	Gj9A832T70.1	Gj9X816T28.1	Gj4P441T7.1	Gj9A789T78.1	Gj9A245T64.1		Gj9A832T70.1	Gj4X108T5.1	Gj9A717T98.1	Gj9X1065T36.1	Gj10P269T14.1	Gj9A905T86.1	Gj2A2T76.1	Gj9X850T134.1	Gj1X518T30.1	Gj9A699T129.1			Gj9A827T156.1	Gj7P3T7.1			Gj9P272T14.1		Gj9A771T112.1	Gj8X373T35.1	Gj2A345T81.1	Gj9A707T90.1	Gj6A270T34.1	Gj5X391T58.1	Gj11A351T54.1			Gj4A2T76.1	Gj9A825T136.1	Gj7A35T15.1		Gj9X872T27.1				Gj8P281T2.1	Gj9P51T12.1		Gj9A702T118.1	Gj9P272T14.1	
Gj1A48T101.1	Gj4P441T7.1	Gj2P375T20.1	Gj6A70T25.1	Gj9A8T72.1	Gj7P15T3.1	Gj6A70T25.1	Gj7X377T54.1	Gj9A547T36.1	Gj9A8T72.1	Gj4P507T15.1	Gj6A70T25.1	Gj9A155T114.1	Gj3P50T5.1		Gj9A8T72.1	Gj5X109T12.1	Gj11X199T11.1	Gj9A12T73.1	Gj4X412T30.1	Gj9P712T10.1		Gj11A366T80.1	Gj4P507T15.1	Gj10P231T22.1				Gj7X399T53.1			Gj1A12T73.1		Gj9A785T60.1	Gj2A345T81.1	Gj9A124T85.1	Gj9X825T78.1	Gj9A714T62.1	Gj9P28T9.1	Gj8A74T104.1			Gj9A794T79.1	Gj9A1014T60.1	Gj1A15T76.1		Gj9A75T119.1				Gj9A680T110.1	Gj1P2T14.1		Gj11A390T76.1	Gj1A12T73.1	
Gj1A523T88.1	Gj6A70T25.1	Gj5A18T108.1	Gj6P238T7.1	Gj9P796T21.1	Gj9A521T48.1	Gj6P238T7.1	Gj9A1087T108.1	Gj9A575T75.1	Gj9P796T21.1	Gj9A1092T63.1	Gj6P238T7.1	Gj9A771T112.1	Gj9A714T62.1		Gj9P796T21.1	Gj9A981T117.1	Gj3A263T53.1	Gj9A832T73.1	Gj9X683T73.1			Gj2A348T36.1	Gj7X388T121.1	Gj3X306T42.1							Gj1A532T75.1		Gj9A872T109.1	Gj9A124T85.1	Gj9A246T61.1		Gj11P412T19.1	Gj1P248T4.1	Gj3X320T39.1			Gj8A60T51.1	Gj1A376T12.1			Gj11A425T99.1				Gj10A231T124.1	Gj6P327T11.1		Gj2A405T82.1	Gj1A532T75.1	
Gj1A69T59.1	Gj6P238T7.1	Gj5E278T1.1	Gj7A374T102.1	Gj11A154T8.1	Gj9A547T36.1	Gj7A374T102.1	Gj9A232T71.1	Gj9A958T171.1	Gj11A154T8.1	Gj11A437T86.1	Gj7A374T102.1	Gj9A785T60.1	Gj11A337T120.1		Gj11A154T8.1	Gj3A307T120.1	Gj8X371T16.1	Gj2P396T14.1	Gj4P26T4.1			Gj9P223T20.1	Gj9X944T34.1	Gj1P2T14.1							Gj9A295T56.1		Gj9A572T63.1	Gj9A246T61.1	Gj10P121T10.1		Gj1P527T9.1	Gj6P321T15.1	Gj9A197T168.1			Gj9A199T75.1	Gj9A987T39.1			Gj9P871T15.1					Gj6P327T14.1		Gj9A851T72.1	Gj9A295T56.1	
