geneClass	numReps	max_lnL_repNum	max_lnL	median_omegaPatDip	median_omegaPatTet	median_omegaPatLineage	median_omegaMatTet	median_omegaMatDip	median_omegaMatLineage	median_omegaOutgroup	median_omegaPatDipSE	median_omegaPatTetSE	median_omegaPatLineageSE	median_omegaMatTetSE	median_omegaMatDipSE	median_omegaMatLineageSE	median_omegaOutgroupSE	NOT-PatTet	NOT-MatTet	NOT-PatTetSE	NOT-MatTetSE	NOT-deltaCorrected_PatTet	NOT-deltaCorrected_PatTetSE	NOT-deltaCorrected_MatTet	NOT-deltaCorrected_MatTetSE	NOT-corrected_Delta	NOT-corrected_DeltaSE	NOT-ratioCorrected_PatTet	NOT-ratioCorrected_PatTetSE	NOT-ratioCorrected_MatTet	NOT-ratioCorrected_MatTetSE	NOT-corrected_Ratio	NOT-corrected_RatioSE	NOT-correctedRatio_Delta	NOT-correctedRatio_DeltaSE	Diploid-deltaCorrected_PatTet	Diploid-deltaCorrected_PatTetSE	Diploid-deltaCorrected_MatTet	Diploid-deltaCorrected_MatTetSE	Diploid-corrected_Delta	Diploid-corrected_DeltaSE	Diploid-ratioCorrected_PatTet	Diploid-ratioCorrected_PatTetSE	Diploid-ratioCorrected_MatTet	Diploid-ratioCorrected_MatTetSE	Diploid-corrected_Ratio	Diploid-corrected_RatioSE	Diploid-correctedRatio_Delta	Diploid-correctedRatio_DeltaSE
Mitochondria_Enzyme_Complexes	1000	0	-37330.364913	0.186512	0.226284	0.149998	0.0842659	0.14937	0.16808	0.198616	0.075176	0.080436	0.023772	0.019735	0.030768	0.031397	0.015332	0.381959	0.181874	0.009746	0.002684	-0.155675	0.090182	-0.0976081	0.022419	-0.0580669	0.112601	0.592430077574	0.574782696831	0.463320210695	0.614035590437	1.27866228129	7.35430723706	0.129109866878	1.18881828727	0.039772	0.155612	-0.0651041	0.050503	0.1048761	0.206115	1.21324097109	5.49323288133	0.564142063333	1.32340924123	2.15059477027	36.4928467523	0.649098907758	6.81664212256
Mitochondria-targeted_Interacting	1000	0	-94970.842574	0.212143	0.364404	0.167821	0.223213	0.145884	0.154823	0.197887	0.046344	0.07398	0.018239	0.024238	0.018761	0.01985	0.010181	0.381959	0.181874	0.009746	0.002684	-0.017555	0.083726	0.041339	0.026922	-0.058894	0.110648	0.954039569692	0.567888174247	1.22729472052	0.854968601706	0.777351644833	0.72001536486	-0.273255150829	1.42285677595	0.152261	0.120324	0.077329	0.042999	0.074932	0.163323	1.71772813621	4.68223015117	1.5300718379	3.20267343656	1.12264541681	3.7241426963	0.187656298311	7.88490358773
Mitochondria-targeted_Non-interacting	1000	703	-744315.309092	0.227077	0.41105	0.110298	0.184801	0.12972	0.115749	0.149182	0.019386	0.026282	0.004262	0.007089	0.005361	0.00536	0.00299	0.381959	0.181874	0.009746	0.002684	0.029091	0.036028	0.002927	0.009773	0.026164	0.045801	1.07616262478	0.257511867931	1.01609355928	0.298084531031	1.05911765207	0.57328152691	0.060069065507	0.555596398962	0.183973	0.045668	0.055081	0.01245	0.128892	0.058118	1.81017892609	1.74162389645	1.42461455442	1.06786681894	1.27064469506	1.70765701848	0.385564371666	2.80949071538
mt-DNA_RRR	1000	0	-4540.746558	0.191458	0.994586	0.174957	0.226973	0.164943	0.210026	0.137804	0.138128	0.863354	0.063024	0.104979	0.12107	0.095425	0.03378	0.381959	0.181874	0.009746	0.002684	0.612627	0.8731	0.045099	0.107663	0.567528	0.980763	2.60390774926	6.3706771663	1.24796837371	3.30003711438	2.08651741832	13.3152923673	1.35593937555	9.67071428068	0.803128	1.001482	0.06203	0.226049	0.741098	1.227531	5.1947999039	125.241379155	1.37606930879	12.2851853057	3.77510047692	158.601363723	3.8187305951	137.526564461
mt-Mitoribosome-Large_Subunit	1000	91	-13173.683916	0.373929	0.150806	0.309651	0.142896	0.192013	0.240332	0.296996	0.254294	0.093391	0.080186	0.051772	0.059834	0.062343	0.03592	0.381959	0.181874	0.009746	0.002684	-0.231153	0.103137	-0.038978	0.054456	-0.192175	0.157593	0.394822480947	0.650548435235	0.785686794154	1.61523060401	0.502518922151	1.71460969527	-0.390864313207	2.26577903924	-0.223123	0.347685	-0.049117	0.111606	-0.174006	0.459291	0.40330116145	0.963736172708	0.744199611485	2.3030205715	0.541926057507	2.96135467211	-0.340898450034	3.26675674421
mt-Mitoribosome-Small_Subunit	1000	0	-7735.676327	0.0819641	0.109198	0.0764605	0.0700929	0.0837624	0.0450263	0.0971624	0.067347	0.091988	0.025068	0.033595	0.047522	0.022427	0.019503	0.381959	0.181874	0.009746	0.002684	-0.272761	0.101734	-0.1117811	0.036279	-0.1609799	0.138013	0.2858893232	0.635978230155	0.385392634461	1.02767675446	0.741813147517	8.08937918637	-0.0995033112616	1.66365498462	0.0272339	0.159335	-0.0136695	0.081117	0.0409034	0.240452	1.33226619947	31.4856874692	0.83680625197	9.53117128393	1.59208442376	79.4645925889	0.4954599475	41.0168587531
mt-OXPHOS-Complex_III	1000	20	-3754.852074	0.0001	0.854999	0.0830525	0.0684729	0.285059	0.0527793	0.109217	8.1682985	0.541364	0.055049	0.044215	0.168678	0.058682	0.035278	0.381959	0.181874	0.009746	0.002684	0.47304	0.55111	-0.1134011	0.046899	0.5864411	0.598009	2.23845753078	4.04542719179	0.376485368992	1.34818395044	5.94566938093	364.784867869	1.86197216179	5.39361114223	0.854899	8.7096625	-0.2165861	0.212893	1.0714851	8.9225555	8549.99	5.97121644859e+16	0.240206062605	0.663899226467	35594.3971909	1.03489167008e+18	8549.74979394	5.97121644859e+16
mt-OXPHOS-Complex_I	1000	0	-5488.895056	0.522445	0.627328	0.0493361	0.0231713	0.138712	0.24003	0.107688	0.495758	0.77568	0.030999	0.024154	0.078927	0.171877	0.023061	0.381959	0.181874	0.009746	0.002684	0.245369	0.785426	-0.1587027	0.026838	0.4040717	0.812264	1.64239617341	5.49698249764	0.127403037268	0.731527127867	12.891342378	7828.40787928	1.51499313614	6.22850962551	0.104883	1.271438	-0.1155407	0.103081	0.2204237	1.374519	1.20075414637	5.46061832762	0.167046109926	1.36980327704	7.18815988534	2732.10877983	1.03370803644	6.83042160466
mt-OXPHOS-Complex_IV	757	21	-308.674415	0.215652	0.0001	0.191264	0.0001	0.0001	0.0001	0.000101	1955867406.56	1350113563.74	7.931367	17383.963878	135120561.979	59877.814037	156.789663	0.381959	0.181874	0.009746	0.002684	-0.381859	1350113563.75	-0.181774	17383.966562	-0.200085	1350130947.71	0.000261808204546	9254155761.59	0.000549831201821	525542.174882	0.476161053935	3.06114311221e+16	-0.000288022997276	9254681303.77	-0.215552	3305980970.29	0.0	135137945.943	-0.215552	3441118916.23	0.000463710051379	29031097556.6	1.0	1.35137945943e+16	0.000463710051379	31936928425.6	-0.999536289949	1.35138236254e+16
mt-OXPHOS-Complex_V	1000	0	-6817.15585	0.0001	0.415426	0.140357	0.0760415	0.0736799	0.312223	0.260227	4.204071	0.290724	0.061365	0.058287	0.047444	0.167626	0.047068	0.381959	0.181874	0.009746	0.002684	0.033467	0.30047	-0.1058325	0.060971	0.1392995	0.361441	1.08761935182	2.07174686709	0.418099893333	1.77628374179	2.60133850584	80.6131877117	0.669519458483	3.84803060888	0.415326	4.494795	0.0023616	0.105731	0.4129644	4.600526	4154.26	7.25533369244e+15	1.03205216077	20.0454164093	4025.24228709	6.81167809801e+15	4153.22794784	7.25533369244e+15
