Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
Cara_E_LOC113712409_rna67368	Cara_E_LOC113731663_rna18163	Cara_E_LOC113705554_rna5405	Cara_E_LOC113731663_rna18163	Cara_E_LOC113704205_rna58582	Cara_E_LOC113731663_rna18163	Cara_E_LOC113731663_rna18163	Cara_E_LOC113718891_rna77200	Cara_E_LOC113731663_rna18163	Cara_E_LOC113704205_rna58582	Cara_E_LOC113705554_rna5405	Cara_E_LOC113731663_rna18163	Cara_E_LOC113719093_rna75468	Cara_E_LOC113710284_rna65180	Cara_E_LOC113693392_rna4676	Cara_E_LOC113704205_rna58582	Cara_E_LOC113704205_rna58582	Cara_E_LOC113733395_rna14934	Cara_E_LOC113701865_rna53016	Cara_E_LOC113701865_rna53016	Cara_E_LOC113731722_rna18255	Cara_E_LOC113736527_rna25518	Cara_E_LOC113732042_rna18857	Cara_E_LOC113718891_rna77200	Cara_E_LOC113732124_rna19030	Cara_E_LOC113703948_rna5078	Cara_E_LOC113702440_rna52584	Cara_E_LOC113702394_rna54424	Cara_E_LOC113690752_rna4042	Cara_E_LOC113701532_rna53315	Cara_E_LOC113732124_rna19030	Cara_E_LOC113697166_rna3377	Cara_E_LOC113719093_rna75468	Cara_E_LOC113728716_rna18148	Cara_E_LOC113694981_rna46779	Cara_E_LOC113694981_rna46779	Cara_E_LOC113717830_rna75145	Cara_E_LOC113710284_rna65180	Cara_E_LOC113697163_rna48104	Cara_E_LOC113705554_rna5405	Cara_E_LOC113703779_rna55691	Cara_E_LOC113731361_rna17627	Cara_E_LOC113741346_rna33813	Cara_E_LOC113705554_rna5405	Cara_E_LOC113730850_rna16641	Cara_E_LOC113701240_rna53270	Cara_E_LOC113732124_rna19030	Cara_E_LOC113733294_rna21758	Cara_E_LOC113702440_rna52584	Cara_E_LOC113704148_rna57843	Cara_E_LOC113702394_rna54424	Cara_E_LOC113729866_rna14785	Cara_E_LOC113717995_rna77413	Cara_E_LOC113732124_rna19030	Cara_E_LOC113697166_rna3377	
Cara_E_LOC113743385_rna36273	Cara_E_LOC113731667_rna18166	Cara_E_LOC113701240_rna53270	Cara_E_LOC113731667_rna18166	Cara_E_LOC113730857_rna16655	Cara_E_LOC113731667_rna18166	Cara_E_LOC113731667_rna18166	Cara_E_LOC113704205_rna58582	Cara_E_LOC113731667_rna18166	Cara_E_LOC113730857_rna16655	Cara_E_LOC113701240_rna53270	Cara_E_LOC113731667_rna18166	Cara_E_LOC113710507_rna64651	Cara_E_LOC113700810_rna4256	Cara_E_LOC113693382_rna4675	Cara_E_LOC113730857_rna16655	Cara_E_LOC113730857_rna16655	Cara_E_LOC113712258_rna66530	Cara_E_LOC113717693_rna76094	Cara_E_LOC113717693_rna76094	Cara_E_LOC113697025_rna46330	Cara_E_LOC113732889_rna20948	Cara_E_LOC113705719_rna5428	Cara_E_LOC113702202_rna4686	Cara_E_LOC113732128_rna19034	Cara_E_LOC113719593_rna75018	Cara_E_LOC113696387_rna46793	Cara_E_LOC113695796_rna45054	Cara_E_LOC113736591_rna25591		Cara_E_LOC113732128_rna19034	Cara_E_LOC113709369_rna64843	Cara_E_LOC113710507_rna64651	Cara_E_LOC113704064_rna58329	Cara_E_LOC113719514_rna77053	Cara_E_LOC113719514_rna77053	Cara_E_LOC113712811_rna66786	Cara_E_LOC113700810_rna4256	Cara_E_LOC113709563_rna64716	Cara_E_LOC113701240_rna53270	Cara_E_LOC113709724_rna64332	Cara_E_LOC113743416_rna35433	Cara_E_LOC113687856_rna3269	Cara_E_LOC113738242_rna25873	Cara_E_LOC113743767_rna35863		Cara_E_LOC113732128_rna19034	Cara_E_LOC113700430_rna52968	Cara_E_LOC113696387_rna46793	Cara_E_LOC113729958_rna14954	Cara_E_LOC113695796_rna45054	Cara_E_LOC113731286_rna17491	Cara_E_LOC113730780_rna16521	Cara_E_LOC113732128_rna19034	Cara_E_LOC113709369_rna64843	
Cara_E_LOC113687707_rna36900	Cara_E_LOC113688097_rna36178	Cara_E_LOC113718891_rna77200	Cara_E_LOC113688097_rna36178	Cara_E_LOC113711206_rna6395	Cara_E_LOC113688097_rna36178	Cara_E_LOC113688097_rna36178	Cara_E_LOC113702202_rna4686	Cara_E_LOC113688097_rna36178	Cara_E_LOC113711206_rna6395	Cara_E_LOC113732124_rna19030	Cara_E_LOC113688097_rna36178	Cara_E_LOC113694778_rna44933	Cara_E_LOC113717900_rna76647	Cara_E_LOC113704588_rna5250	Cara_E_LOC113711206_rna6395	Cara_E_LOC113711206_rna6395	Cara_E_LOC113703160_rna56320	Cara_E_LOC113731208_rna17351	Cara_E_LOC113731208_rna17351	Cara_E_LOC113719238_rna77950	Cara_E_LOC113743024_rna31603	Cara_E_LOC113719437_rna76866	Cara_E_LOC113742731_rna34090	Cara_E_LOC113703948_rna5078	Cara_E_LOC113695113_rna47303	Cara_E_LOC113696382_rna46784	Cara_E_LOC113713028_rna68019	Cara_E_LOC113695135_rna46060		Cara_E_LOC113702340_rna52551	Cara_E_LOC113710470_rna66130	Cara_E_LOC113694778_rna44933	Cara_E_LOC113731656_rna18152	Cara_E_LOC113695978_rna48753	Cara_E_LOC113695978_rna48753	Cara_E_LOC113730378_rna15727	Cara_E_LOC113696236_rna45271	Cara_E_LOC113711695_rna69136	Cara_E_LOC113738242_rna25873	Cara_E_LOC113710947_rna67217		Cara_E_LOC113701098_rna54193	Cara_E_LOC113742137_rna33841	Cara_E_LOC113703921_rna55808		Cara_E_LOC113733294_rna21758	Cara_E_LOC113717600_rna77535	Cara_E_LOC113696382_rna46784	Cara_E_LOC113732336_rna19441	Cara_E_LOC113701047_rna54921	Cara_E_LOC113732585_rna20229		Cara_E_LOC113702318_rna53311	Cara_E_LOC113710470_rna66130	
Cara_E_LOC113687706_rna36868	Cara_E_LOC113705554_rna5405	Cara_E_LOC113704205_rna58582	Cara_E_LOC113701246_rna52648	Cara_E_LOC113733395_rna14934	Cara_E_LOC113701246_rna52648	Cara_E_LOC113705554_rna5405	Cara_E_LOC113742731_rna34090	Cara_E_LOC113701246_rna52648	Cara_E_LOC113733395_rna14934	Cara_E_LOC113732128_rna19034	Cara_E_LOC113701246_rna52648	Cara_E_LOC113728716_rna18148	Cara_E_LOC113741442_rna32276		Cara_E_LOC113733395_rna14934	Cara_E_LOC113695579_rna46431	Cara_E_LOC113743455_rna37056	Cara_E_LOC113732042_rna18857	Cara_E_LOC113719416_rna77756	Cara_E_LOC113694754_rna46032	Cara_E_LOC113706349_rna5542	Cara_E_LOC113736651_rna27185	Cara_E_LOC113733293_rna21757	Cara_E_LOC113719593_rna75018	Cara_E_LOC113717996_rna76796		Cara_E_LOC113741628_rna31431	Cara_E_LOC113741759_rna33322		Cara_E_LOC113742252_rna31308	Cara_E_LOC113710445_rna66179		Cara_E_LOC113701674_rna53196	Cara_E_LOC113688318_rna36066	Cara_E_LOC113688318_rna36066	Cara_E_LOC113701109_rna53282	Cara_E_LOC113717745_rna77371	Cara_E_LOC113743558_rna35526	Cara_E_LOC113730850_rna16641			Cara_E_LOC113741630_rna31436	Cara_E_LOC113714268_rna6891	Cara_E_LOC113743532_rna36938		Cara_E_LOC113729866_rna14785	Cara_E_LOC113702215_rna53247		Cara_E_LOC113732135_rna19063	Cara_E_LOC113697532_rna48210	Cara_E_LOC113690752_rna4042		Cara_E_LOC113710985_rna67537	Cara_E_LOC113710445_rna66179	
Cara_E_LOC113690411_rna3759	Cara_E_LOC113701240_rna53270	Cara_E_LOC113702202_rna4686	Cara_E_LOC113704661_rna56973	Cara_E_LOC113712258_rna66530	Cara_E_LOC113718891_rna77200	Cara_E_LOC113701240_rna53270	Cara_E_LOC113732124_rna19030	Cara_E_LOC113717842_rna77379	Cara_E_LOC113712258_rna66530	Cara_E_LOC113733294_rna21758	Cara_E_LOC113704661_rna56973	Cara_E_LOC113704064_rna58329	Cara_E_LOC113696236_rna45271		Cara_E_LOC113712258_rna66530	Cara_E_LOC113702486_rna52634	Cara_E_LOC113711937_rna68216	Cara_E_LOC113719416_rna77756	Cara_E_LOC113694581_rna47098	Cara_E_LOC113704218_rna57373	Cara_E_LOC113718729_rna7646	Cara_E_LOC113730518_rna15973	Cara_E_LOC113717105_rna7382	Cara_E_LOC113702394_rna54424	Cara_E_LOC113733089_rna21344		Cara_E_LOC113731717_rna18245	Cara_E_LOC113729858_rna14772		Cara_E_LOC113742678_rna31332	Cara_E_LOC113710444_rna66211		Cara_E_LOC113732878_rna20927	Cara_E_LOC113703820_rna58996	Cara_E_LOC113703820_rna58996	Cara_E_LOC113701276_rna53298	Cara_E_LOC113743530_rna36940	Cara_E_LOC113711901_rna67196	Cara_E_LOC113743767_rna35863			Cara_E_LOC113695950_rna48735	Cara_E_LOC113710984_rna68591	Cara_E_LOC113715630_rna7121		Cara_E_LOC113731286_rna17491	Cara_E_LOC113695913_rna46236		Cara_E_LOC113696078_rna45366	Cara_E_LOC113702442_rna52581	Cara_E_LOC113731296_rna17507		Cara_E_LOC113711841_rna66399	Cara_E_LOC113710444_rna66211	
Cara_E_LOC113687704_rna36802	Cara_E_LOC113701246_rna52648	Cara_E_LOC113742731_rna34090	Cara_E_LOC113717842_rna77379	Cara_E_LOC113695579_rna46431	Cara_E_LOC113717842_rna77379	Cara_E_LOC113701246_rna52648	Cara_E_LOC113732128_rna19034	Cara_E_LOC113718216_rna7569	Cara_E_LOC113695579_rna46431	Cara_E_LOC113697163_rna48104	Cara_E_LOC113717842_rna77379	Cara_E_LOC113731656_rna18152	Cara_E_LOC113710861_rna69234		Cara_E_LOC113695579_rna46431	Cara_E_LOC113717830_rna75145	Cara_E_LOC113730791_rna16537	Cara_E_LOC113694581_rna47098	Cara_E_LOC113719205_rna77811	Cara_E_LOC113742214_rna34068	Cara_E_LOC113712986_rna67956	Cara_E_LOC113742851_rna30857	Cara_E_LOC113731036_rna17003	Cara_E_LOC113690752_rna4042				Cara_E_LOC113696830_rna48296			Cara_E_LOC113688338_rna34621		Cara_E_LOC113719633_rna77239	Cara_E_LOC113717830_rna75145	Cara_E_LOC113710200_rna64436	Cara_E_LOC113738020_rna25307	Cara_E_LOC113710265_rna64775	Cara_E_LOC113696613_rna3272	Cara_E_LOC113742137_rna33841			Cara_E_LOC113704162_rna58834	Cara_E_LOC113712025_rna66924	Cara_E_LOC113743471_rna34597		Cara_E_LOC113700430_rna52968			Cara_E_LOC113729779_rna14626	Cara_E_LOC113713028_rna68019	Cara_E_LOC113729858_rna14772		Cara_E_LOC113708044_rna5848	Cara_E_LOC113688338_rna34621	
Cara_E_LOC113687703_rna36797	Cara_E_LOC113704661_rna56973	Cara_E_LOC113732124_rna19030	Cara_E_LOC113718216_rna7569	Cara_E_LOC113702486_rna52634	Cara_E_LOC113704205_rna58582	Cara_E_LOC113704661_rna56973	Cara_E_LOC113733293_rna21757	Cara_E_LOC113719167_rna77919	Cara_E_LOC113702486_rna52634	Cara_E_LOC113697166_rna3377	Cara_E_LOC113718216_rna7569	Cara_E_LOC113701674_rna53196	Cara_E_LOC113707045_rna5675		Cara_E_LOC113702486_rna52634	Cara_E_LOC113695202_rna47329	Cara_E_LOC113736598_rna27073	Cara_E_LOC113719205_rna77811	Cara_E_LOC113711870_rna66635	Cara_E_LOC113712370_rna6603	Cara_E_LOC113694837_rna47330	Cara_E_LOC113701697_rna54327	Cara_E_LOC113710158_rna64401	Cara_E_LOC113736591_rna25591				Cara_E_LOC113712084_rna68442			Cara_E_LOC113696262_rna46310		Cara_E_LOC113740590_rna31908	Cara_E_LOC113710200_rna64436	Cara_E_LOC113733229_rna21622	Cara_E_LOC113742216_rna31483	Cara_E_LOC113719635_rna76628	Cara_E_LOC113687802_rna35484	Cara_E_LOC113741346_rna33813			Cara_E_LOC113730540_rna16025	Cara_E_LOC113709718_rna64389	Cara_E_LOC113697312_rna48662		Cara_E_LOC113702318_rna53311				Cara_E_LOC113731717_rna18245	Cara_E_LOC113696830_rna48296		Cara_E_LOC113688037_rna36770	Cara_E_LOC113696262_rna46310	
Cara_E_LOC113687702_rna36785	Cara_E_LOC113718891_rna77200	Cara_E_LOC113732128_rna19034	Cara_E_LOC113719167_rna77919	Cara_E_LOC113703160_rna56320	Cara_E_LOC113718216_rna7569	Cara_E_LOC113717842_rna77379	Cara_E_LOC113717105_rna7382	Cara_E_LOC113743460_rna34904	Cara_E_LOC113703160_rna56320	Cara_E_LOC113738242_rna25873	Cara_E_LOC113719167_rna77919	Cara_E_LOC113732878_rna20927	Cara_E_LOC113710265_rna64775		Cara_E_LOC113703160_rna56320	Cara_E_LOC113740579_rna31289	Cara_E_LOC113704440_rna56305	Cara_E_LOC113711870_rna66635	Cara_E_LOC113702258_rna53012	Cara_E_LOC113705911_rna5471	Cara_E_LOC113743016_rna31609	Cara_E_LOC113708890_rna6001	Cara_E_LOC113695050_rna45674	Cara_E_LOC113695135_rna46060				Cara_E_LOC113718638_rna77494			Cara_E_LOC113717909_rna77948		Cara_E_LOC113731519_rna17890	Cara_E_LOC113733229_rna21622	Cara_E_LOC113709530_rna65844	Cara_E_LOC113743388_rna36731	Cara_E_LOC113719524_rna77973	Cara_E_LOC113709653_rna66103	Cara_E_LOC113714268_rna6891			Cara_E_LOC113703329_rna55801	Cara_E_LOC113688232_rna36894	Cara_E_LOC113719243_rna77680		Cara_E_LOC113732585_rna20229				Cara_E_LOC113737462_rna27186	Cara_E_LOC113688264_rna36717		Cara_E_LOC113719174_rna7728	Cara_E_LOC113730025_rna15077	
Cara_E_LOC113690414_rna3788	Cara_E_LOC113717842_rna77379	Cara_E_LOC113733294_rna21758	Cara_E_LOC113743461_rna36019	Cara_E_LOC113743455_rna37056	Cara_E_LOC113719167_rna77919	Cara_E_LOC113718216_rna7569	Cara_E_LOC113697166_rna3377	Cara_E_LOC113688155_rna36183	Cara_E_LOC113743455_rna37056	Cara_E_LOC113730850_rna16641	Cara_E_LOC113743461_rna36019	Cara_E_LOC113719633_rna77239	Cara_E_LOC113719635_rna76628		Cara_E_LOC113743455_rna37056	Cara_E_LOC113688524_rna35137	Cara_E_LOC113709508_rna65293	Cara_E_LOC113705719_rna5428	Cara_E_LOC113712739_rna66357		Cara_E_LOC113700981_rna53323	Cara_E_LOC113708369_rna5905	Cara_E_LOC113736785_rna27454	Cara_E_LOC113702340_rna52551							Cara_E_LOC113730025_rna15077		Cara_E_LOC113705063_rna56346	Cara_E_LOC113709530_rna65844	Cara_E_LOC113728848_rna19179	Cara_E_LOC113704302_rna58875	Cara_E_LOC113688194_rna36849	Cara_E_LOC113702117_rna52748	Cara_E_LOC113710984_rna68591			Cara_E_LOC113717990_rna76735	Cara_E_LOC113710419_rna65401	Cara_E_LOC113702187_rna52717		Cara_E_LOC113702394_rna54424					Cara_E_LOC113712084_rna68442		Cara_E_LOC113688542_rna36433	Cara_E_LOC113695865_rna45299	
Cara_E_LOC113731662_rna18162	Cara_E_LOC113704205_rna58582	Cara_E_LOC113733293_rna21757	Cara_E_LOC113743460_rna34904	Cara_E_LOC113717830_rna75145	Cara_E_LOC113743460_rna34904	Cara_E_LOC113719167_rna77919	Cara_E_LOC113701865_rna53016	Cara_E_LOC113702204_rna53977	Cara_E_LOC113717830_rna75145	Cara_E_LOC113709563_rna64716	Cara_E_LOC113743460_rna34904	Cara_E_LOC113740590_rna31908	Cara_E_LOC113712792_rna68550		Cara_E_LOC113717830_rna75145	Cara_E_LOC113700565_rna4152	Cara_E_LOC113703226_rna58703	Cara_E_LOC113702258_rna53012	Cara_E_LOC113705779_rna5437		Cara_E_LOC113700356_rna53079	Cara_E_LOC113730208_rna15411	Cara_E_LOC113712764_rna68946	Cara_E_LOC113695796_rna45054							Cara_E_LOC113695865_rna45299		Cara_E_LOC113702879_rna58325	Cara_E_LOC113728848_rna19179	Cara_E_LOC113706970_rna5662		Cara_E_LOC113688193_rna36834	Cara_E_LOC113711980_rna68747	Cara_E_LOC113687856_rna3269			Cara_E_LOC113701446_rna54669	Cara_E_LOC113741817_rna31484	Cara_E_LOC113712881_rna69249		Cara_E_LOC113690752_rna4042					Cara_E_LOC113712957_rna68144		Cara_E_LOC113742901_rna30881	Cara_E_LOC113704010_rna58157	
