Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
Nsyl_XP_009757019.1	Nsyl_XP_009757024.1	Nsyl_XP_009757024.1	Nsyl_XP_009757052.1	Nsyl_XP_009757471.1	Nsyl_XP_009757024.1	Nsyl_XP_009757052.1	Nsyl_XP_009757024.1	Nsyl_XP_009757109.1	Nsyl_XP_009757471.1	Nsyl_XP_009757096.1	Nsyl_XP_009757052.1	Nsyl_XP_009758945.1	Nsyl_XP_009758694.1	Nsyl_XP_009765179.1	Nsyl_XP_009757471.1	Nsyl_XP_009757471.1	Nsyl_XP_009757959.1	Nsyl_XP_009757024.1	Nsyl_XP_009757024.1	Nsyl_XP_009757181.1	Nsyl_XP_009758759.1	Nsyl_XP_009757510.1	Nsyl_XP_009757094.1	Nsyl_XP_009758862.1	Nsyl_XP_009763877.1	Nsyl_XP_009764593.1	Nsyl_XP_009758862.1	Nsyl_XP_009761764.1	Nsyl_XP_009761442.1	Nsyl_XP_009761749.1	Nsyl_XP_009757430.1	Nsyl_XP_009758945.1	Nsyl_XP_009758941.1	Nsyl_XP_009758554.1	Nsyl_XP_009758554.1	Nsyl_XP_009761787.1	Nsyl_XP_009758353.1	Nsyl_XP_009757337.1	Nsyl_XP_009757265.1	Nsyl_XP_009760449.1	Nsyl_XP_009769333.1	Nsyl_XP_009757265.1	Nsyl_XP_009759850.1	Nsyl_XP_009758248.1	Nsyl_XP_009758143.1	Nsyl_XP_009757096.1	Nsyl_XP_009757096.1	Nsyl_XP_009764593.1	Nsyl_XP_009757459.1	Nsyl_XP_009758016.1	Nsyl_XP_009759805.1	Nsyl_XP_009763932.1	Nsyl_XP_009760189.1	Nsyl_XP_009757430.1	
Nsyl_XP_009757020.1	Nsyl_XP_009757052.1	Nsyl_XP_009757094.1	Nsyl_XP_009757053.1	Nsyl_XP_009757499.1	Nsyl_XP_009757094.1	Nsyl_XP_009757053.1	Nsyl_XP_009757094.1	Nsyl_XP_009757110.1	Nsyl_XP_009757499.1	Nsyl_XP_009757265.1	Nsyl_XP_009757053.1	Nsyl_XP_009759358.1	Nsyl_XP_009758695.1	Nsyl_XP_009765180.1	Nsyl_XP_009757499.1	Nsyl_XP_009757499.1	Nsyl_XP_009758815.1	Nsyl_XP_009757181.1	Nsyl_XP_009757470.1	Nsyl_XP_009758145.1	Nsyl_XP_009759257.1	Nsyl_XP_009758218.1	Nsyl_XP_009757095.1	Nsyl_XP_009758863.1	Nsyl_XP_009763878.1	Nsyl_XP_009767249.1	Nsyl_XP_009758863.1	Nsyl_XP_009761765.1		Nsyl_XP_009762272.1	Nsyl_XP_009758044.1	Nsyl_XP_009759358.1	Nsyl_XP_009759258.1	Nsyl_XP_009759782.1	Nsyl_XP_009759782.1	Nsyl_XP_009765862.1	Nsyl_XP_009764740.1	Nsyl_XP_009757618.1	Nsyl_XP_009758143.1	Nsyl_XP_009774823.1	Nsyl_XP_009770222.1	Nsyl_XP_009758905.1	Nsyl_XP_009760096.1	Nsyl_XP_009759685.1	Nsyl_XP_009767108.1	Nsyl_XP_009757459.1	Nsyl_XP_009762860.1	Nsyl_XP_009767249.1	Nsyl_XP_009757464.1	Nsyl_XP_009758017.1	Nsyl_XP_009761764.1	Nsyl_XP_009785898.1	Nsyl_XP_009760425.1	Nsyl_XP_009758044.1	
Nsyl_XP_009757021.1	Nsyl_XP_009757053.1	Nsyl_XP_009757095.1	Nsyl_XP_009757109.1	Nsyl_XP_009757500.1	Nsyl_XP_009757095.1	Nsyl_XP_009757096.1	Nsyl_XP_009757095.1	Nsyl_XP_009757153.1	Nsyl_XP_009757500.1	Nsyl_XP_009757337.1	Nsyl_XP_009757109.1	Nsyl_XP_009759359.1	Nsyl_XP_009764740.1	Nsyl_XP_009778783.1	Nsyl_XP_009757500.1	Nsyl_XP_009757500.1	Nsyl_XP_009758816.1	Nsyl_XP_009757470.1	Nsyl_XP_009758542.1	Nsyl_XP_009764119.1	Nsyl_XP_009760679.1	Nsyl_XP_009758669.1	Nsyl_XP_009757171.1	Nsyl_XP_009758864.1	Nsyl_XP_009767414.1	Nsyl_XP_009775223.1	Nsyl_XP_009758864.1	Nsyl_XP_009762061.1		Nsyl_XP_009762273.1	Nsyl_XP_009758045.1	Nsyl_XP_009759359.1	Nsyl_XP_009762360.1	Nsyl_XP_009760216.1	Nsyl_XP_009760216.1	Nsyl_XP_009765864.1	Nsyl_XP_009768757.1	Nsyl_XP_009757878.1	Nsyl_XP_009758248.1	Nsyl_XP_009780695.1	Nsyl_XP_009777087.1	Nsyl_XP_009760875.1	Nsyl_XP_009764524.1	Nsyl_XP_009759927.1	Nsyl_XP_009772497.1	Nsyl_XP_009757464.1	Nsyl_XP_009767563.1	Nsyl_XP_009775223.1	Nsyl_XP_009761599.1	Nsyl_XP_009758862.1	Nsyl_XP_009761765.1		Nsyl_XP_009761350.1	Nsyl_XP_009758045.1	
Nsyl_XP_009757022.1	Nsyl_XP_009757094.1	Nsyl_XP_009757096.1	Nsyl_XP_009757110.1	Nsyl_XP_009757501.1	Nsyl_XP_009757109.1	Nsyl_XP_009757109.1	Nsyl_XP_009757171.1	Nsyl_XP_009757208.1	Nsyl_XP_009757501.1	Nsyl_XP_009757430.1	Nsyl_XP_009757110.1	Nsyl_XP_009762277.1	Nsyl_XP_009768757.1	Nsyl_XP_009788403.1	Nsyl_XP_009757501.1	Nsyl_XP_009757501.1	Nsyl_XP_009758817.1	Nsyl_XP_009757510.1	Nsyl_XP_009759820.1	Nsyl_XP_009770003.1	Nsyl_XP_009767415.1	Nsyl_XP_009759179.1	Nsyl_XP_009757198.1	Nsyl_XP_009758865.1	Nsyl_XP_009767563.1		Nsyl_XP_009758865.1	Nsyl_XP_009763122.1		Nsyl_XP_009789187.1	Nsyl_XP_009758046.1	Nsyl_XP_009762277.1	Nsyl_XP_009769540.1	Nsyl_XP_009760217.1	Nsyl_XP_009760217.1	Nsyl_XP_009776683.1	Nsyl_XP_009769956.1	Nsyl_XP_009758829.1	Nsyl_XP_009758905.1			Nsyl_XP_009760876.1	Nsyl_XP_009769851.1	Nsyl_XP_009764287.1	Nsyl_XP_009774104.1	Nsyl_XP_009758016.1	Nsyl_XP_009767572.1		Nsyl_XP_009767654.1	Nsyl_XP_009758863.1	Nsyl_XP_009775361.1		Nsyl_XP_009761352.1	Nsyl_XP_009758046.1	
Nsyl_XP_009757023.1	Nsyl_XP_009757095.1	Nsyl_XP_009757171.1	Nsyl_XP_009757111.1	Nsyl_XP_009757503.1	Nsyl_XP_009757110.1	Nsyl_XP_009757110.1	Nsyl_XP_009757181.1	Nsyl_XP_009757209.1	Nsyl_XP_009757503.1	Nsyl_XP_009757459.1	Nsyl_XP_009757111.1	Nsyl_XP_009762278.1	Nsyl_XP_009769956.1		Nsyl_XP_009757503.1	Nsyl_XP_009757503.1	Nsyl_XP_009758874.1	Nsyl_XP_009758145.1	Nsyl_XP_009761287.1	Nsyl_XP_009775818.1	Nsyl_XP_009767416.1	Nsyl_XP_009763216.1	Nsyl_XP_009757199.1	Nsyl_XP_009761442.1	Nsyl_XP_009767572.1		Nsyl_XP_009768206.1	Nsyl_XP_009763123.1		Nsyl_XP_009789188.1	Nsyl_XP_009758047.1	Nsyl_XP_009762278.1	Nsyl_XP_009773503.1	Nsyl_XP_009761787.1	Nsyl_XP_009762288.1	Nsyl_XP_009776691.1	Nsyl_XP_009769957.1	Nsyl_XP_009758855.1	Nsyl_XP_009759685.1			Nsyl_XP_009762547.1	Nsyl_XP_009771265.1	Nsyl_XP_009765610.1	Nsyl_XP_009795055.1	Nsyl_XP_009758017.1	Nsyl_XP_009770990.1		Nsyl_XP_009771934.1	Nsyl_XP_009758864.1	Nsyl_XP_009777696.1		Nsyl_XP_009764701.1	Nsyl_XP_009758047.1	
Nsyl_XP_009757025.1	Nsyl_XP_009757096.1	Nsyl_XP_009757181.1	Nsyl_XP_009757153.1	Nsyl_XP_009757504.1	Nsyl_XP_009757153.1	Nsyl_XP_009757111.1	Nsyl_XP_009757198.1	Nsyl_XP_009757252.1	Nsyl_XP_009757504.1	Nsyl_XP_009757464.1	Nsyl_XP_009757175.1	Nsyl_XP_009762279.1	Nsyl_XP_009769957.1		Nsyl_XP_009757504.1	Nsyl_XP_009757504.1	Nsyl_XP_009758875.1	Nsyl_XP_009758218.1	Nsyl_XP_009762882.1	Nsyl_XP_009779334.1	Nsyl_XP_009772810.1	Nsyl_XP_009764483.1	Nsyl_XP_009757200.1	Nsyl_XP_009761749.1	Nsyl_XP_009771005.1		Nsyl_XP_009786136.1	Nsyl_XP_009763126.1		Nsyl_XP_009789189.1	Nsyl_XP_009758048.1	Nsyl_XP_009762279.1	Nsyl_XP_009782460.1	Nsyl_XP_009762288.1	Nsyl_XP_009763488.1	Nsyl_XP_009776818.1	Nsyl_XP_009769958.1	Nsyl_XP_009758856.1	Nsyl_XP_009759850.1			Nsyl_XP_009765822.1	Nsyl_XP_009772436.1	Nsyl_XP_009768511.1	Nsyl_XP_009795056.1	Nsyl_XP_009758862.1	Nsyl_XP_009787271.1		Nsyl_XP_009783017.1	Nsyl_XP_009758865.1	Nsyl_XP_009781279.1		Nsyl_XP_009766957.1	Nsyl_XP_009758048.1	
Nsyl_XP_009757026.1	Nsyl_XP_009757109.1	Nsyl_XP_009757198.1	Nsyl_XP_009757175.1	Nsyl_XP_009757959.1	Nsyl_XP_009757171.1	Nsyl_XP_009757175.1	Nsyl_XP_009757199.1	Nsyl_XP_009757274.1	Nsyl_XP_009757959.1	Nsyl_XP_009757618.1	Nsyl_XP_009757181.1	Nsyl_XP_009775160.1	Nsyl_XP_009769958.1		Nsyl_XP_009757959.1	Nsyl_XP_009758034.1	Nsyl_XP_009759705.1	Nsyl_XP_009758542.1	Nsyl_XP_009763643.1	Nsyl_XP_009781040.1	Nsyl_XP_009772823.1	Nsyl_XP_009765352.1	Nsyl_XP_009757201.1	Nsyl_XP_009761764.1	Nsyl_XP_009776964.1		Nsyl_XP_009789154.1	Nsyl_XP_009763455.1		Nsyl_XP_009789190.1	Nsyl_XP_009759287.1	Nsyl_XP_009775160.1	Nsyl_XP_009783956.1	Nsyl_XP_009763488.1	Nsyl_XP_009765122.1	Nsyl_XP_009778216.1	Nsyl_XP_009771415.1	Nsyl_XP_009758857.1	Nsyl_XP_009759927.1			Nsyl_XP_009767431.1	Nsyl_XP_009773617.1	Nsyl_XP_009770890.1	Nsyl_XP_009800809.1	Nsyl_XP_009758863.1	Nsyl_XP_009787272.1		Nsyl_XP_009785134.1	Nsyl_XP_009759527.1	Nsyl_XP_009781280.1		Nsyl_XP_009771987.1	Nsyl_XP_009759287.1	
Nsyl_XP_009757027.1	Nsyl_XP_009757110.1	Nsyl_XP_009757199.1	Nsyl_XP_009757208.1	Nsyl_XP_009758034.1	Nsyl_XP_009757181.1	Nsyl_XP_009757181.1	Nsyl_XP_009757200.1	Nsyl_XP_009757279.1	Nsyl_XP_009758034.1	Nsyl_XP_009757878.1	Nsyl_XP_009757208.1	Nsyl_XP_009792449.1	Nsyl_XP_009771415.1		Nsyl_XP_009758034.1	Nsyl_XP_009758367.1	Nsyl_XP_009761304.1	Nsyl_XP_009758669.1	Nsyl_XP_009763970.1	Nsyl_XP_009781041.1	Nsyl_XP_009774668.1	Nsyl_XP_009770561.1	Nsyl_XP_009757337.1	Nsyl_XP_009761765.1	Nsyl_XP_009787018.1		Nsyl_XP_009794289.1	Nsyl_XP_009764267.1		Nsyl_XP_009789191.1	Nsyl_XP_009760674.1	Nsyl_XP_009792449.1	Nsyl_XP_009786569.1	Nsyl_XP_009765122.1	Nsyl_XP_009766817.1	Nsyl_XP_009779031.1	Nsyl_XP_009771416.1	Nsyl_XP_009759176.1	Nsyl_XP_009760096.1			Nsyl_XP_009769616.1	Nsyl_XP_009773771.1	Nsyl_XP_009772885.1		Nsyl_XP_009758864.1	Nsyl_XP_009787273.1		Nsyl_XP_009792606.1	Nsyl_XP_009761161.1	Nsyl_XP_009781410.1		Nsyl_XP_009772903.1	Nsyl_XP_009760674.1	
Nsyl_XP_009757028.1	Nsyl_XP_009757111.1	Nsyl_XP_009757200.1	Nsyl_XP_009757209.1	Nsyl_XP_009758367.1	Nsyl_XP_009757198.1	Nsyl_XP_009757208.1	Nsyl_XP_009757201.1	Nsyl_XP_009757284.1	Nsyl_XP_009758367.1	Nsyl_XP_009758016.1	Nsyl_XP_009757209.1	Nsyl_XP_009758941.1	Nsyl_XP_009771416.1		Nsyl_XP_009758367.1	Nsyl_XP_009758368.1	Nsyl_XP_009762696.1	Nsyl_XP_009758759.1	Nsyl_XP_009765540.1	Nsyl_XP_009783210.1	Nsyl_XP_009775052.1	Nsyl_XP_009771567.1	Nsyl_XP_009757542.1	Nsyl_XP_009762061.1	Nsyl_XP_009789087.1		Nsyl_XP_009794954.1	Nsyl_XP_009764268.1		Nsyl_XP_009802706.1	Nsyl_XP_009763006.1		Nsyl_XP_009786570.1	Nsyl_XP_009765862.1	Nsyl_XP_009769893.1	Nsyl_XP_009780335.1	Nsyl_XP_009771976.1	Nsyl_XP_009759530.1	Nsyl_XP_009760449.1			Nsyl_XP_009772888.1	Nsyl_XP_009776684.1	Nsyl_XP_009774551.1		Nsyl_XP_009758865.1	Nsyl_XP_009796720.1		Nsyl_XP_009794385.1	Nsyl_XP_009761162.1	Nsyl_XP_009786180.1		Nsyl_XP_009774047.1	Nsyl_XP_009763006.1	
Nsyl_XP_009757029.1	Nsyl_XP_009757153.1	Nsyl_XP_009757201.1	Nsyl_XP_009757241.1	Nsyl_XP_009758368.1	Nsyl_XP_009757199.1	Nsyl_XP_009757209.1	Nsyl_XP_009757337.1	Nsyl_XP_009757367.1	Nsyl_XP_009758368.1	Nsyl_XP_009758017.1	Nsyl_XP_009757241.1	Nsyl_XP_009759258.1	Nsyl_XP_009771976.1		Nsyl_XP_009758368.1	Nsyl_XP_009761321.1	Nsyl_XP_009762705.1	Nsyl_XP_009759179.1	Nsyl_XP_009765698.1	Nsyl_XP_009793500.1	Nsyl_XP_009784023.1	Nsyl_XP_009772598.1	Nsyl_XP_009757637.1	Nsyl_XP_009762272.1	Nsyl_XP_009792167.1		Nsyl_XP_009804173.1	Nsyl_XP_009764321.1		Nsyl_XP_009802707.1	Nsyl_XP_009763007.1		Nsyl_XP_009792235.1	Nsyl_XP_009765864.1	Nsyl_XP_009769979.1	Nsyl_XP_009789007.1	Nsyl_XP_009772612.1	Nsyl_XP_009759610.1	Nsyl_XP_009760875.1			Nsyl_XP_009773633.1	Nsyl_XP_009776685.1	Nsyl_XP_009775533.1		Nsyl_XP_009759527.1	Nsyl_XP_009796721.1		Nsyl_XP_009794392.1	Nsyl_XP_009774848.1	Nsyl_XP_009786181.1		Nsyl_XP_009774048.1	Nsyl_XP_009763007.1	
