#Gene	Overall Prediction	TargetP	iPSORT	LOCALIZER	Predotar
TRIDC1AG000050	dual	dual	mitochondrial	dual	non-organellar
TRIDC1AG000070	plastid	non-organellar	plastid	non-organellar	N/A
TRIDC1AG000090	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1AG000100	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1AG000120	mitochondrial	non-organellar	mitochondrial	non-organellar	N/A
TRIDC1AG000130	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1AG000150	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1AG000170	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1AG000180	mitochondrial	mitochondrial	non-organellar	non-organellar	N/A
TRIDC1AG000210	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1AG000240	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1AG000250	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1AG000270	plastid	plastid	non-organellar	non-organellar	N/A
TRIDC1AG000290	mitochondrial	non-organellar	non-organellar	mitochondrial	N/A
TRIDC1AG000300	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1AG000310	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1AG000320	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1AG000350	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1AG000360	dual	mitochondrial	plastid	non-organellar	N/A
TRIDC1AG000370	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
TRIDC1AG000390	plastid	plastid	non-organellar	non-organellar	non-organellar
TRIDC1AG000400	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1AG000420	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1AG000430	dual	dual	plastid	non-organellar	N/A
TRIDC1AG000460	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1AG000560	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1AG000590	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1AG000600	dual	mitochondrial	plastid	non-organellar	N/A
TRIDC1AG000610	dual	dual	mitochondrial	mitochondrial	N/A
TRIDC1AG000650	dual	dual	plastid	dual	non-organellar
TRIDC1AG000710	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
TRIDC1AG000770	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1AG000800	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
TRIDC1AG000810	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
TRIDC1AG000820	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1AG000830	plastid	plastid	plastid	non-organellar	non-organellar
TRIDC1AG000840	dual	dual	mitochondrial	non-organellar	N/A
TRIDC1AG000850	plastid	plastid	plastid	plastid	non-organellar
TRIDC1AG000860	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1AG000870	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1AG000880	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TRIDC1AG000930	dual	dual	mitochondrial	mitochondrial	N/A
TRIDC1AG000940	non-organellar	non-organellar	non-organellar	non-organellar	N/A
TRIDC1AG000950	plastid	non-organellar	plastid	non-organellar	non-organellar
TRIDC1AG000970	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
TRIDC1AG001010	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
