Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
Gohir.A11G110500.1.p	Gohir.A11G315100.1.p	Gohir.A11G315100.1.p	Gohir.A11G222400.1.p	Gohir.A11G321400.1.p	Gohir.A11G315100.1.p	Gohir.A11G222400.1.p	Gohir.A11G315100.1.p	Gohir.A11G270300.1.p	Gohir.A11G321400.1.p	Gohir.A11G258800.1.p	Gohir.A11G222400.1.p	Gohir.A02G087400.1.p	Gohir.A11G309400.1.p	Gohir.A02G035400.1.p	Gohir.A11G321400.1.p	Gohir.A11G321400.1.p	Gohir.A11G179400.1.p	Gohir.A11G313700.1.p	Gohir.A11G313700.1.p	Gohir.A11G072200.1.p	Gohir.A11G268400.1.p	Gohir.A11G055200.1.p	Gohir.A11G315100.1.p	Gohir.A11G160700.1.p	Gohir.A05G412000.1.p	Gohir.A11G160700.1.p	Gohir.A11G229100.1.p	Gohir.A10G242100.1.p	Gohir.A02G168300.1.p	Gohir.A11G159700.1.p	Gohir.A11G141700.1.p	Gohir.A02G087400.1.p	Gohir.A11G109100.1.p	Gohir.A11G202300.1.p	Gohir.A11G202300.1.p	Gohir.A11G276900.1.p	Gohir.A11G322000.1.p	Gohir.A11G247300.1.p	Gohir.A11G258800.1.p	Gohir.A06G148300.1.p	Gohir.A03G160900.1.p	Gohir.A11G258800.1.p	Gohir.A11G226800.1.p	Gohir.A11G188100.1.p	Gohir.A11G194500.1.p	Gohir.A11G221400.1.p	Gohir.A11G164200.1.p	Gohir.A11G160700.1.p	Gohir.A11G221400.1.p	Gohir.A11G229100.1.p	Gohir.A02G060400.1.p	Gohir.A10G203300.1.p	Gohir.A02G058800.1.p	Gohir.A11G141700.1.p	
Gohir.A11G024000.1.p	Gohir.A11G222400.1.p	Gohir.A11G273300.1.p	Gohir.A11G164000.1.p	Gohir.A11G179400.1.p	Gohir.A11G273300.1.p	Gohir.A11G164000.1.p	Gohir.A11G273300.1.p	Gohir.A11G090400.1.p	Gohir.A11G179400.1.p	Gohir.A11G109100.1.p	Gohir.A11G164000.1.p	Gohir.A03G021200.1.p	Gohir.A11G322000.1.p		Gohir.A11G179400.1.p	Gohir.A11G165700.1.p	Gohir.A11G201300.1.p	Gohir.A11G055200.1.p	Gohir.A11G048600.1.p	Gohir.A11G063700.1.p	Gohir.A11G210700.1.p	Gohir.A11G054000.1.p	Gohir.A11G273300.1.p	Gohir.A11G229100.1.p	Gohir.A05G380200.1.p	Gohir.A05G008300.1.p	Gohir.A10G067100.1.p	Gohir.A09G076700.1.p		Gohir.A10G063600.1.p	Gohir.A11G237100.1.p	Gohir.A03G021200.1.p	Gohir.A11G294700.1.p	Gohir.A11G017800.1.p	Gohir.A11G017800.1.p	Gohir.A02G074600.1.p	Gohir.A02G090900.1.p	Gohir.A11G214500.1.p	Gohir.A11G194500.1.p	Gohir.A07G028700.1.p	Gohir.A03G214500.1.p	Gohir.A11G146100.1.p	Gohir.A11G146500.1.p	Gohir.A10G069300.1.p	Gohir.A11G163200.1.p	Gohir.A11G160700.1.p	Gohir.A03G137900.1.p	Gohir.A05G008300.1.p	Gohir.A11G301900.1.p	Gohir.A10G195600.1.p	Gohir.A10G079300.1.p	Gohir.A08G123000.1.p	Gohir.A10G096800.1.p	Gohir.A11G237100.1.p	
Gohir.A11G128700.1.p	Gohir.A11G164000.1.p	Gohir.A11G258800.1.p	Gohir.A11G270300.1.p	Gohir.A11G201300.1.p	Gohir.A11G321400.1.p	Gohir.A11G258800.1.p	Gohir.A11G321400.1.p	Gohir.A11G322500.1.p	Gohir.A11G201300.1.p	Gohir.A11G202300.1.p	Gohir.A11G270300.1.p	Gohir.A04G087900.1.p	Gohir.A02G090900.1.p		Gohir.A11G201300.1.p	Gohir.A02G020800.1.p	Gohir.A11G223000.1.p	Gohir.A11G072200.1.p	Gohir.A11G097900.1.p	Gohir.A02G111100.1.p	Gohir.A02G148000.1.p	Gohir.A11G234700.1.p	Gohir.A11G321400.1.p	Gohir.A11G159700.1.p	Gohir.A07G144500.1.p	Gohir.A12G158600.1.p	Gohir.A10G195600.1.p	Gohir.A13G148100.1.p		Gohir.A07G180200.1.p	Gohir.A10G216000.1.p	Gohir.A04G087900.1.p	Gohir.A10G116600.1.p	Gohir.A11G325900.1.p	Gohir.A11G325900.1.p	Gohir.A02G056300.1.p	Gohir.A10G064700.1.p	Gohir.A11G015000.1.p	Gohir.A11G226800.1.p	Gohir.A01G040600.1.p	Gohir.A03G161000.1.p	Gohir.A11G199300.1.p	Gohir.A02G031200.1.p	Gohir.A10G156000.1.p	Gohir.A11G163300.1.p	Gohir.A11G229100.1.p	Gohir.A06G065800.1.p	Gohir.A12G158600.1.p	Gohir.A04G072600.1.p	Gohir.A10G060500.1.p	Gohir.A10G043700.1.p		Gohir.A05G215700.1.p	Gohir.A10G216000.1.p	
Gohir.A11G006700.1.p	Gohir.A11G273300.1.p	Gohir.A11G321400.1.p	Gohir.A11G086600.1.p	Gohir.A11G223000.1.p	Gohir.A11G313700.1.p	Gohir.A11G270300.1.p	Gohir.A11G313700.1.p	Gohir.A11G137000.1.p	Gohir.A11G223000.1.p	Gohir.A11G221400.1.p	Gohir.A11G086600.1.p	Gohir.A05G371600.1.p	Gohir.A02G088200.1.p		Gohir.A11G223000.1.p	Gohir.A10G013900.1.p	Gohir.A11G319600.1.p	Gohir.A11G054000.1.p	Gohir.A11G133900.1.p	Gohir.A02G112400.1.p	Gohir.A10G076700.1.p	Gohir.A11G196900.1.p	Gohir.A11G129000.1.p	Gohir.A02G168300.1.p	Gohir.A08G014500.1.p		Gohir.A05G250400.1.p	Gohir.A13G063900.1.p		Gohir.A08G164400.1.p	Gohir.A10G243100.1.p	Gohir.A05G371600.1.p	Gohir.A10G116300.1.p	Gohir.A11G276900.1.p	Gohir.A02G041200.1.p	Gohir.A10G081300.1.p	Gohir.A10G133700.1.p	Gohir.A11G138700.1.p	Gohir.A11G146100.1.p		Gohir.A01G181900.1.p	Gohir.A02G110900.1.p	Gohir.A02G031400.1.p	Gohir.A10G016700.1.p		Gohir.A11G301900.1.p	Gohir.A07G138500.1.p		Gohir.A06G090600.1.p	Gohir.A03G053500.1.p	Gohir.A04G117700.1.p		Gohir.A05G183200.1.p	Gohir.A10G243100.1.p	
Gohir.A11G138000.1.p	Gohir.A11G258800.1.p	Gohir.A11G313700.1.p	Gohir.A11G323100.1.p	Gohir.A11G165700.1.p	Gohir.A11G129000.1.p	Gohir.A11G109100.1.p	Gohir.A11G129000.1.p	Gohir.A11G044300.1.p	Gohir.A11G165700.1.p	Gohir.A11G160700.1.p	Gohir.A11G323100.1.p	Gohir.A06G112900.1.p	Gohir.A10G068900.1.p		Gohir.A11G165700.1.p	Gohir.A10G054500.1.p	Gohir.A11G124600.1.p	Gohir.A11G268400.1.p	Gohir.A11G313600.1.p	Gohir.A10G160000.1.p	Gohir.A03G116500.1.p	Gohir.A03G070000.1.p	Gohir.A11G149200.1.p	Gohir.A10G242100.1.p			Gohir.A01G067100.1.p	Gohir.A08G070700.1.p			Gohir.A10G140300.1.p	Gohir.A06G112900.1.p	Gohir.A03G056700.1.p	Gohir.A02G074600.1.p	Gohir.A10G109400.1.p	Gohir.A04G035600.1.p	Gohir.A03G121000.1.p	Gohir.A11G143500.1.p	Gohir.A11G188100.1.p			Gohir.A10G067200.1.p	Gohir.A03G216800.1.p	Gohir.A10G235100.1.p		Gohir.A11G164200.1.p	Gohir.A07G174100.1.p		Gohir.A09G148100.1.p	Gohir.A05G250400.1.p	Gohir.A06G112700.1.p		Gohir.A05G277900.1.p	Gohir.A10G140300.1.p	
Gohir.A11G277800.1.p	Gohir.A11G321400.1.p	Gohir.A11G129000.1.p	Gohir.A11G090400.1.p	Gohir.A11G319600.1.p	Gohir.A11G270300.1.p	Gohir.A11G086600.1.p	Gohir.A11G149200.1.p	Gohir.A11G328500.1.p	Gohir.A11G319600.1.p	Gohir.A11G229100.1.p	Gohir.A11G090400.1.p	Gohir.A09G010300.1.p	Gohir.A10G064700.1.p		Gohir.A11G319600.1.p	Gohir.A10G126200.1.p	Gohir.A02G001400.1.p	Gohir.A11G048600.1.p	Gohir.A11G012800.1.p	Gohir.A05G371500.1.p	Gohir.A05G266000.1.p	Gohir.A03G185700.1.p	Gohir.A11G133000.1.p	Gohir.A10G063600.1.p			Gohir.A01G088900.1.p	Gohir.A08G029700.1.p			Gohir.A10G126900.1.p	Gohir.A09G010300.1.p	Gohir.A03G011200.1.p	Gohir.A02G056300.1.p	Gohir.A03G147200.1.p	Gohir.A05G160800.1.p	Gohir.A03G011600.1.p	Gohir.A11G080400.1.p	Gohir.A11G163200.1.p			Gohir.A03G118700.1.p	Gohir.A04G001100.1.p	Gohir.A10G038600.1.p		Gohir.A02G058800.1.p	Gohir.A09G024400.1.p		Gohir.A12G251600.1.p	Gohir.A07G051700.1.p	Gohir.A06G203100.1.p		Gohir.A05G354600.1.p	Gohir.A10G126900.1.p	
Gohir.A11G190900.1.p	Gohir.A11G313700.1.p	Gohir.A11G109100.1.p	Gohir.A11G322500.1.p	Gohir.A11G124600.1.p	Gohir.A11G149200.1.p	Gohir.A11G323100.1.p	Gohir.A11G055200.1.p	Gohir.A11G133200.1.p	Gohir.A11G124600.1.p	Gohir.A11G247300.1.p	Gohir.A11G322500.1.p	Gohir.A13G114900.1.p	Gohir.A10G133700.1.p		Gohir.A11G124600.1.p	Gohir.A10G064800.1.p	Gohir.A02G138400.1.p	Gohir.A11G097900.1.p	Gohir.A11G183200.1.p	Gohir.A05G404700.1.p	Gohir.A05G250100.1.p	Gohir.A03G040000.1.p	Gohir.A11G044400.1.p	Gohir.A10G067100.1.p			Gohir.A09G155500.1.p	Gohir.A08G117200.1.p			Gohir.A03G164100.1.p	Gohir.A13G114900.1.p	Gohir.A03G179200.1.p	Gohir.A02G041200.1.p	Gohir.A03G005000.1.p	Gohir.A05G131800.1.p	Gohir.A04G134500.1.p	Gohir.A11G225400.1.p	Gohir.A11G163300.1.p			Gohir.A03G067300.1.p	Gohir.A04G060200.1.p	Gohir.A03G172800.1.p		Gohir.A02G060400.1.p	Gohir.A08G014500.1.p			Gohir.A07G085400.1.p	Gohir.A13G131900.1.p		Gohir.A07G130500.1.p	Gohir.A03G164100.1.p	
Gohir.A11G105200.1.p	Gohir.A11G129000.1.p	Gohir.A11G149200.1.p	Gohir.A11G137000.1.p	Gohir.A02G001400.1.p	Gohir.A11G090400.1.p	Gohir.A11G090400.1.p	Gohir.A11G133000.1.p	Gohir.A11G064500.1.p	Gohir.A02G001400.1.p	Gohir.A11G141700.1.p	Gohir.A11G137000.1.p	Gohir.A11G109100.1.p	Gohir.A03G029300.1.p		Gohir.A02G001400.1.p	Gohir.A03G041000.1.p	Gohir.A02G058500.1.p	Gohir.A11G234700.1.p	Gohir.A11G308400.1.p	Gohir.A06G180100.1.p	Gohir.A05G250200.1.p	Gohir.A04G099300.1.p	Gohir.A11G040200.1.p	Gohir.A10G195600.1.p			Gohir.A09G028200.1.p				Gohir.A03G208200.1.p		Gohir.A04G118600.1.p	Gohir.A10G109400.1.p	Gohir.A03G104100.1.p	Gohir.A05G339100.1.p	Gohir.A04G004500.1.p	Gohir.A11G247400.1.p	Gohir.A11G146500.1.p			Gohir.A05G039100.1.p	Gohir.A05G131700.1.p	Gohir.A04G050200.1.p		Gohir.A10G096800.1.p	Gohir.A12G075200.1.p			Gohir.A01G088900.1.p	Gohir.A13G034200.1.p		Gohir.A01G093200.1.p	Gohir.A03G208200.1.p	
Gohir.A11G309300.1.p	Gohir.A11G270300.1.p	Gohir.A11G055200.1.p	Gohir.A11G044300.1.p	Gohir.A02G020800.1.p	Gohir.A11G322500.1.p	Gohir.A11G322500.1.p	Gohir.A11G160700.1.p	Gohir.A11G163800.1.p	Gohir.A02G020800.1.p	Gohir.A11G214500.1.p	Gohir.A11G044300.1.p	Gohir.A11G294700.1.p	Gohir.A03G121000.1.p		Gohir.A02G020800.1.p	Gohir.A03G217200.1.p	Gohir.A10G143100.1.p	Gohir.A11G210700.1.p	Gohir.A02G166800.1.p	Gohir.A01G001400.1.p	Gohir.A05G224000.1.p	Gohir.A04G099400.1.p	Gohir.A11G086000.1.p	Gohir.A05G008300.1.p							Gohir.A04G101600.1.p		Gohir.A04G116800.1.p	Gohir.A10G081300.1.p	Gohir.A05G358400.1.p	Gohir.A06G012700.1.p	Gohir.A05G112500.1.p	Gohir.A11G135600.1.p	Gohir.A11G199300.1.p			Gohir.A05G346600.1.p	Gohir.A05G079200.1.p	Gohir.A04G112800.1.p		Gohir.A10G195600.1.p				Gohir.A09G155500.1.p	Gohir.A08G070700.1.p		Gohir.A01G092000.1.p	Gohir.A05G026400.1.p	
Gohir.A11G214200.1.p	Gohir.A11G109100.1.p	Gohir.A11G202300.1.p	Gohir.A11G328500.1.p	Gohir.A02G138400.1.p	Gohir.A11G137000.1.p	Gohir.A11G137000.1.p	Gohir.A11G044400.1.p	Gohir.A11G067300.1.p	Gohir.A02G138400.1.p	Gohir.A11G237100.1.p	Gohir.A11G328500.1.p	Gohir.A10G116600.1.p	Gohir.A03G011600.1.p		Gohir.A02G138400.1.p	Gohir.A03G200700.1.p	Gohir.A10G103500.1.p	Gohir.A11G196900.1.p	Gohir.A10G103600.1.p	Gohir.A01G020500.1.p	Gohir.A05G083000.1.p	Gohir.A05G028600.1.p	Gohir.A11G272100.1.p	Gohir.A05G412000.1.p							Gohir.A05G026400.1.p		Gohir.A07G047400.1.p	Gohir.A03G147200.1.p	Gohir.A05G274800.1.p	Gohir.A06G211100.1.p	Gohir.A05G112600.1.p	Gohir.A11G060800.1.p	Gohir.A02G031200.1.p			Gohir.A05G119300.1.p	Gohir.A05G143600.1.p	Gohir.A05G032800.1.p		Gohir.A10G079300.1.p				Gohir.A09G028200.1.p	Gohir.A08G117200.1.p		Gohir.A01G069800.1.p	Gohir.A05G223700.1.p	
