#Gene	Overall Prediction	TargetP	iPSORT	LOCALIZER	Predotar
Ccan_CDP22090	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ccan_CDP20216	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ccan_CDP20215	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Ccan_CDP22091	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ccan_CDP22092	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ccan_CDP22093	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ccan_CDP20217	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ccan_CDP20218	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ccan_CDP20219	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ccan_CDP20221	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ccan_CDP20223	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ccan_CDP20224	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ccan_CDP20222	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ccan_CDP20220	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ccan_CDP20225	mitochondrial	non-organellar	mitochondrial	non-organellar	N/A
Ccan_CDP20228	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ccan_CDP20226	dual	dual	mitochondrial	non-organellar	N/A
Ccan_CDP20227	plastid	plastid	non-organellar	plastid	non-organellar
Ccan_CDP20229	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Ccan_CDP22094	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ccan_CDP22095	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ccan_CDP20230	plastid	non-organellar	plastid	non-organellar	non-organellar
Ccan_CDP20231	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ccan_CDP22096	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ccan_CDP22097	dual	dual	mitochondrial	non-organellar	non-organellar
Ccan_CDP20232	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ccan_CDP20234	mitochondrial	non-organellar	non-organellar	mitochondrial	non-organellar
Ccan_CDP20233	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ccan_CDP20235	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ccan_CDP20237	mitochondrial	mitochondrial	mitochondrial	mitochondrial	mitochondrial
Ccan_CDP20236	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ccan_CDP22098	non-organellar	non-organellar	non-organellar	non-organellar	N/A
