#Gene	Overall Prediction	TargetP	iPSORT	LOCALIZER	Predotar
Gj1A128T45.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj1A166T27.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj1A20T79.1	plastid	non-organellar	non-organellar	plastid	N/A
Gj1A27T43.1	plastid	plastid	non-organellar	non-organellar	non-organellar
Gj1A366T9.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj1A422T44.1	dual	plastid	mitochondrial	non-organellar	non-organellar
Gj1A460T127.1	dual	dual	mitochondrial	mitochondrial	non-organellar
Gj1A48T101.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj1A508T55.1	dual	dual	plastid	plastid	dual
Gj1A523T88.1	plastid	plastid	non-organellar	non-organellar	non-organellar
Gj1A69T59.1	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Gj1A94T66.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj1P118T1.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj1P18T9.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj1P28T11.1	dual	dual	mitochondrial	mitochondrial	dual
Gj1P393T2.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj1P45T27.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj1P501T3.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj1P52T22.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj1P74T5.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj1X11T55.1	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Gj1X176T20.1	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Gj1X233T3.1	mitochondrial	non-organellar	mitochondrial	non-organellar	N/A
Gj1X292T0.1	mitochondrial	mitochondrial	mitochondrial	non-organellar	N/A
Gj1X370T1.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj1X426T29.1	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Gj1X460T29.1	dual	non-organellar	plastid	non-organellar	mitochondrial
Gj1X491T23.1	mitochondrial	mitochondrial	mitochondrial	mitochondrial	N/A
Gj1X529T37.1	plastid	non-organellar	plastid	non-organellar	N/A
Gj10A106T11.1	plastid	plastid	non-organellar	non-organellar	non-organellar
Gj10A177T24.1	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Gj10A209T40.1	dual	dual	mitochondrial	mitochondrial	mitochondrial
Gj10A244T73.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj10A262T82.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj10A280T85.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj10A291T90.1	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Gj10A303T94.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj10A99T14.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj10P133T5.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj10P205T10.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj10P256T17.1	plastid	non-organellar	plastid	non-organellar	non-organellar
Gj10P285T21.1	dual	dual	mitochondrial	non-organellar	non-organellar
Gj10P5T8.1	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Gj10X131T2.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj10X186T32.1	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Gj10X216T39.1	plastid	non-organellar	plastid	non-organellar	N/A
Gj10X246T43.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj10X280T47.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj10X81T7.1	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Gj11A191T34.1	mitochondrial	mitochondrial	mitochondrial	mitochondrial	mitochondrial
Gj11A241T15.1	mitochondrial	mitochondrial	mitochondrial	mitochondrial	non-organellar
Gj11A288T39.1	dual	dual	mitochondrial	non-organellar	non-organellar
Gj11A318T102.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj11A341T45.1	plastid	plastid	non-organellar	non-organellar	non-organellar
Gj11A361T73.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj11A381T106.1	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Gj11A399T90.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj11A412T105.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj11A425T100.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj11A437T85.1	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Gj11A9T8.1	plastid	plastid	non-organellar	non-organellar	plastid
Gj11P196T3.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj11P274T4.1	plastid	non-organellar	plastid	non-organellar	non-organellar
Gj11P324T10.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj11P366T12.1	dual	dual	plastid	plastid	non-organellar
Gj11P398T10.1	dual	mitochondrial	plastid	non-organellar	non-organellar
Gj11P425T18.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj11P80T3.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj11X149T5.1	plastid	non-organellar	plastid	non-organellar	non-organellar
Gj11X208T2.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj11X25T28.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj11X337T111.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj11X378T24.1	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Gj11X412T50.1	plastid	non-organellar	plastid	non-organellar	non-organellar
Gj11X59T19.1	mitochondrial	mitochondrial	mitochondrial	mitochondrial	N/A
Gj2A132T39.1	plastid	non-organellar	plastid	plastid	non-organellar
Gj2A20T58.1	plastid	non-organellar	non-organellar	plastid	non-organellar
Gj2A307T40.1	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Gj2A342T63.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj2A35T104.1	dual	plastid	mitochondrial	plastid	dual
Gj2A375T87.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj2A387T90.1	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Gj2A401T80.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj2A42T52.1	plastid	non-organellar	plastid	non-organellar	non-organellar
Gj2A456T31.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj2A496T10.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj2A8T22.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj2P12T16.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj2P22T2.1	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
Gj2P321T0.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj2P368T13.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj2P394T19.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj2P436T3.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj2P494T2.1	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
Gj2P80T2.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj2X147T3.1	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Gj2X233T7.1	mitochondrial	mitochondrial	non-organellar	mitochondrial	non-organellar
Gj2X303T11.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj2X346T23.1	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Gj2X390T47.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj2X418T18.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj2X458T10.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj2X500T45.1	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Gj3A107T56.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj3A183T27.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj3A261T59.1	plastid	non-organellar	plastid	non-organellar	non-organellar
Gj3A289T54.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj3A307T115.1	plastid	non-organellar	plastid	non-organellar	N/A
Gj3A321T71.1	dual	mitochondrial	plastid	plastid	non-organellar
Gj3A336T111.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj3A35T106.1	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Gj3A83T32.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj3P103T1.1	plastid	non-organellar	plastid	non-organellar	plastid
Gj3P203T3.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj3P287T24.1	dual	dual	mitochondrial	mitochondrial	non-organellar
Gj3P316T12.1	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Gj3P342T16.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Gj3P60T14.1	plastid	plastid	non-organellar	non-organellar	non-organellar
