Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
Ccan_CDP22090	Ccan_CDP20240	Ccan_CDP20240	Ccan_CDP20257	Ccan_CDP20240	Ccan_CDP20240	Ccan_CDP20253	Ccan_CDP20240	Ccan_CDP20257	Ccan_CDP20240	Ccan_CDP20253	Ccan_CDP20257	Ccan_CDP06521	Ccan_CDP20302	Ccan_CDP08453	Ccan_CDP20240	Ccan_CDP20240	Ccan_CDP20419	Ccan_CDP17713	Ccan_CDP17713	Ccan_CDP06926	Ccan_CDP18882	Ccan_CDP08925	Ccan_CDP20279	Ccan_CDP19978	Ccan_CDP08912	Ccan_CDP02849	Ccan_CDO97486	Ccan_CDP04989	Ccan_CDP01955	Ccan_CDP19978	Ccan_CDP18259	Ccan_CDP06521	Ccan_CDP17063	Ccan_CDP19788	Ccan_CDP07025	Ccan_CDP19788	Ccan_CDP20302	Ccan_CDP20253	Ccan_CDP20690	Ccan_CDP13530	Ccan_CDO97118	Ccan_CDP20690	Ccan_CDP03987	Ccan_CDP03696	Ccan_CDP20139	Ccan_CDP17469	Ccan_CDP08697	Ccan_CDP02849	Ccan_CDP17818	Ccan_CDO97486	Ccan_CDP17469	Ccan_CDO99783	Ccan_CDP17021	Ccan_CDP18259	
Ccan_CDP20216	Ccan_CDP20253	Ccan_CDP20253	Ccan_CDP15750	Ccan_CDP20419	Ccan_CDP20257	Ccan_CDP20257	Ccan_CDP20279	Ccan_CDP20266	Ccan_CDP20419	Ccan_CDP20302	Ccan_CDP15750	Ccan_CDP04187	Ccan_CDP18469	Ccan_CDP08454	Ccan_CDP20419	Ccan_CDP19788	Ccan_CDP18073	Ccan_CDP18153	Ccan_CDP18153	Ccan_CDP04029	Ccan_CDP06961	Ccan_CDP06893	Ccan_CDP20360	Ccan_CDP04989	Ccan_CDO99162	Ccan_CDP02357	Ccan_CDO97488	Ccan_CDO98889		Ccan_CDO97950	Ccan_CDP09051	Ccan_CDP04187	Ccan_CDO97271	Ccan_CDP07025	Ccan_CDP04017	Ccan_CDO99520	Ccan_CDP18469	Ccan_CDP20360	Ccan_CDP20691	Ccan_CDP04403	Ccan_CDP11894	Ccan_CDP20691	Ccan_CDP06878	Ccan_CDO97468		Ccan_CDP17021	Ccan_CDO99162	Ccan_CDP02357	Ccan_CDP04910	Ccan_CDO97488	Ccan_CDP04989	Ccan_CDP00206	Ccan_CDP07118	Ccan_CDP09051	
Ccan_CDP20215	Ccan_CDP20257	Ccan_CDP20279	Ccan_CDP20266	Ccan_CDP18073	Ccan_CDP20266	Ccan_CDP15750	Ccan_CDP20302	Ccan_CDP20284	Ccan_CDP18073	Ccan_CDP20360	Ccan_CDP20266	Ccan_CDP18455	Ccan_CDP21863	Ccan_CDP15589	Ccan_CDP18073	Ccan_CDP09039	Ccan_CDP18519	Ccan_CDP18882	Ccan_CDP19392	Ccan_CDP13894	Ccan_CDP17068	Ccan_CDP09025	Ccan_CDP22212	Ccan_CDO97486	Ccan_CDP16079	Ccan_CDP00493	Ccan_CDO97999	Ccan_CDP15051		Ccan_CDP16206	Ccan_CDP18589	Ccan_CDP18455	Ccan_CDP17181	Ccan_CDP04017	Ccan_CDP09164	Ccan_CDP14041	Ccan_CDP21863	Ccan_CDP22212	Ccan_CDP20139	Ccan_CDP01168		Ccan_CDP03536	Ccan_CDP03826	Ccan_CDO99700		Ccan_CDP07118	Ccan_CDP03283	Ccan_CDP00493	Ccan_CDP05091	Ccan_CDP10033	Ccan_CDP04996		Ccan_CDP13916	Ccan_CDP18589	
Ccan_CDP22091	Ccan_CDP15750	Ccan_CDP20302	Ccan_CDP20284	Ccan_CDP18519	Ccan_CDP20279	Ccan_CDP20266	Ccan_CDP20360	Ccan_CDP20298	Ccan_CDP18519	Ccan_CDP22212	Ccan_CDP20284	Ccan_CDP17063	Ccan_CDP07034		Ccan_CDP18519	Ccan_CDP11073	Ccan_CDP18518	Ccan_CDP19392	Ccan_CDP12525	Ccan_CDP14886	Ccan_CDP17192	Ccan_CDP13863	Ccan_CDP20680	Ccan_CDP08912	Ccan_CDP15261		Ccan_CDP06605	Ccan_CDP16039			Ccan_CDP03949		Ccan_CDP05293	Ccan_CDP09164	Ccan_CDP07633	Ccan_CDP16573	Ccan_CDP11072	Ccan_CDP20623	Ccan_CDP03987			Ccan_CDP06895	Ccan_CDO99040	Ccan_CDP13618		Ccan_CDP04989	Ccan_CDP02579		Ccan_CDP07629	Ccan_CDP17386	Ccan_CDO97060		Ccan_CDO98689	Ccan_CDP03949	
Ccan_CDP22092	Ccan_CDP20266	Ccan_CDP20360	Ccan_CDP20298	Ccan_CDP18518	Ccan_CDP20284	Ccan_CDP20284	Ccan_CDP20419	Ccan_CDP20328	Ccan_CDP18518	Ccan_CDP20623	Ccan_CDP20298	Ccan_CDO97271	Ccan_CDP11072		Ccan_CDP18518	Ccan_CDP09626	Ccan_CDP18517	Ccan_CDP12525	Ccan_CDP20021	Ccan_CDP03229	Ccan_CDO98855	Ccan_CDP00067	Ccan_CDP17497	Ccan_CDO97488			Ccan_CDP19915	Ccan_CDP18720			Ccan_CDP04915		Ccan_CDO97070	Ccan_CDP07633	Ccan_CDP07716	Ccan_CDO98727	Ccan_CDP16534	Ccan_CDP20633	Ccan_CDP06878			Ccan_CDP04004	Ccan_CDO98024	Ccan_CDP17859		Ccan_CDP04996	Ccan_CDP02160		Ccan_CDP06761	Ccan_CDP06605	Ccan_CDO97052		Ccan_CDO98690	Ccan_CDP04915	
Ccan_CDP22093	Ccan_CDP20279	Ccan_CDP20419	Ccan_CDP20299	Ccan_CDP18517	Ccan_CDP20298	Ccan_CDP20298	Ccan_CDP22212	Ccan_CDP22162	Ccan_CDP18517	Ccan_CDP20633	Ccan_CDP20299	Ccan_CDP17181	Ccan_CDP17225		Ccan_CDP18517	Ccan_CDP09197	Ccan_CDP19106	Ccan_CDP20021	Ccan_CDP03802	Ccan_CDP16744	Ccan_CDO98114	Ccan_CDP09388	Ccan_CDP17647	Ccan_CDO98889			Ccan_CDP02087	Ccan_CDP03388			Ccan_CDP09428		Ccan_CDO98275	Ccan_CDP07716	Ccan_CDP08770	Ccan_CDO98023	Ccan_CDO99323	Ccan_CDP20634	Ccan_CDP03536			Ccan_CDP00039	Ccan_CDP12284	Ccan_CDP03108		Ccan_CDP08697	Ccan_CDP02762		Ccan_CDP08205	Ccan_CDP04597	Ccan_CDP15051		Ccan_CDO97754	Ccan_CDP09428	
Ccan_CDP20217	Ccan_CDP20284	Ccan_CDP22212	Ccan_CDP22139	Ccan_CDP19106	Ccan_CDP20302	Ccan_CDP20299	Ccan_CDP20680	Ccan_CDP22167	Ccan_CDP19106	Ccan_CDP20634	Ccan_CDP22139	Ccan_CDP05293	Ccan_CDP16534		Ccan_CDP19106	Ccan_CDP09134	Ccan_CDP20075	Ccan_CDP06926	Ccan_CDP03689	Ccan_CDP02290	Ccan_CDP18635	Ccan_CDP07772	Ccan_CDP20810	Ccan_CDO99162			Ccan_CDP17698	Ccan_CDP04544			Ccan_CDO97317		Ccan_CDO98310	Ccan_CDP08770	Ccan_CDP17822	Ccan_CDP13732	Ccan_CDP12416	Ccan_CDP20648	Ccan_CDP03826			Ccan_CDO98002	Ccan_CDP06131	Ccan_CDP14289		Ccan_CDO97486	Ccan_CDP13185			Ccan_CDP19915	Ccan_CDP13741		Ccan_CDP13711	Ccan_CDO97317	
Ccan_CDP20218	Ccan_CDP20298	Ccan_CDP20623	Ccan_CDP20328	Ccan_CDP19788	Ccan_CDP20328	Ccan_CDP20302	Ccan_CDP17497	Ccan_CDP20374	Ccan_CDP19788	Ccan_CDP20648	Ccan_CDP20328	Ccan_CDO97070	Ccan_CDO99323		Ccan_CDP19788	Ccan_CDP04077	Ccan_CDP14086	Ccan_CDP08925	Ccan_CDP06904	Ccan_CDP04801	Ccan_CDP02656	Ccan_CDP10034	Ccan_CDP21013	Ccan_CDP15051			Ccan_CDP17697				Ccan_CDP05156		Ccan_CDO98460	Ccan_CDP17822	Ccan_CDP09365	Ccan_CDP05950	Ccan_CDO97962	Ccan_CDP19546	Ccan_CDP06895			Ccan_CDP12275	Ccan_CDP03055	Ccan_CDP06495		Ccan_CDO97060				Ccan_CDP02356	Ccan_CDP10618		Ccan_CDP05843	Ccan_CDP05156	
Ccan_CDP20219	Ccan_CDP20299	Ccan_CDP20633	Ccan_CDP22162	Ccan_CDP20075	Ccan_CDP20360	Ccan_CDP22139	Ccan_CDP17647	Ccan_CDP20404	Ccan_CDP20075	Ccan_CDP20690	Ccan_CDP22162	Ccan_CDO98275	Ccan_CDO98483		Ccan_CDP20075	Ccan_CDP07637	Ccan_CDP17197	Ccan_CDP06961	Ccan_CDP09007	Ccan_CDP18988	Ccan_CDP01937	Ccan_CDO97742	Ccan_CDP21031	Ccan_CDO97950							Ccan_CDP00066		Ccan_CDP02722	Ccan_CDO99520	Ccan_CDP07719	Ccan_CDP16686	Ccan_CDP05771	Ccan_CDP12492	Ccan_CDP03696			Ccan_CDO98001	Ccan_CDP17606	Ccan_CDP02430		Ccan_CDP13916				Ccan_CDP17698	Ccan_CDP09548		Ccan_CDP16206	Ccan_CDP00066	
Ccan_CDP20221	Ccan_CDP20302	Ccan_CDP20634	Ccan_CDP22167	Ccan_CDP09039	Ccan_CDP22162	Ccan_CDP20328	Ccan_CDP17713	Ccan_CDP20474	Ccan_CDP09039	Ccan_CDP20691	Ccan_CDP22167	Ccan_CDO98310	Ccan_CDO98175		Ccan_CDP09039	Ccan_CDO99687	Ccan_CDP09306	Ccan_CDP17068	Ccan_CDP05129		Ccan_CDP02085	Ccan_CDP03199	Ccan_CDP21048	Ccan_CDO97999							Ccan_CDP14668		Ccan_CDP08336	Ccan_CDP09365	Ccan_CDO96762	Ccan_CDP02782	Ccan_CDP13617	Ccan_CDP19809	Ccan_CDP04004			Ccan_CDO98229	Ccan_CDP04367	Ccan_CDP13453		Ccan_CDO97052				Ccan_CDP17697	Ccan_CDP16008		Ccan_CDP01958	Ccan_CDP14668	
