Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
Cquinoa_AUR62002649	Cquinoa_AUR62002662	Cquinoa_AUR62002686	Cquinoa_AUR62002662	Cquinoa_AUR62002807	Cquinoa_AUR62002662	Cquinoa_AUR62002662	Cquinoa_AUR62002753	Cquinoa_AUR62002662	Cquinoa_AUR62002807	Cquinoa_AUR62002686	Cquinoa_AUR62002662	Cquinoa_AUR62040776	Cquinoa_AUR62032179	Cquinoa_AUR62032263	Cquinoa_AUR62002807	Cquinoa_AUR62002958	Cquinoa_AUR62002807	Cquinoa_AUR62002760	Cquinoa_AUR62006451	Cquinoa_AUR62006180	Cquinoa_AUR62003145	Cquinoa_AUR62002760	Cquinoa_AUR62003048	Cquinoa_AUR62002753	Cquinoa_AUR62002753	Cquinoa_AUR62003041	Cquinoa_AUR62024783	Cquinoa_AUR62006007	Cquinoa_AUR62004116	Cquinoa_AUR62023166	Cquinoa_AUR62002803	Cquinoa_AUR62040776	Cquinoa_AUR62002909	Cquinoa_AUR62002860	Cquinoa_AUR62002860	Cquinoa_AUR62010386	Cquinoa_AUR62005721	Cquinoa_AUR62003048	Cquinoa_AUR62002782	Cquinoa_AUR62031529	Cquinoa_AUR62033720	Cquinoa_AUR62002782	Cquinoa_AUR62003053	Cquinoa_AUR62027587	Cquinoa_AUR62042566	Cquinoa_AUR62002686	Cquinoa_AUR62005411	Cquinoa_AUR62003041	Cquinoa_AUR62006149	Cquinoa_AUR62038130	Cquinoa_AUR62002686	Cquinoa_AUR62002759	Cquinoa_AUR62002956	Cquinoa_AUR62002803	
Cquinoa_AUR62002650	Cquinoa_AUR62002682	Cquinoa_AUR62002753	Cquinoa_AUR62002682	Cquinoa_AUR62002958	Cquinoa_AUR62002682	Cquinoa_AUR62002682	Cquinoa_AUR62002760	Cquinoa_AUR62002682	Cquinoa_AUR62002958	Cquinoa_AUR62002759	Cquinoa_AUR62002682	Cquinoa_AUR62037670	Cquinoa_AUR62044451	Cquinoa_AUR62011949	Cquinoa_AUR62002958	Cquinoa_AUR62006089	Cquinoa_AUR62012884	Cquinoa_AUR62003145	Cquinoa_AUR62032483	Cquinoa_AUR62023375	Cquinoa_AUR62025834	Cquinoa_AUR62003295	Cquinoa_AUR62003098	Cquinoa_AUR62003041	Cquinoa_AUR62025829	Cquinoa_AUR62023140	Cquinoa_AUR62025794	Cquinoa_AUR62013212	Cquinoa_AUR62007631	Cquinoa_AUR62023880	Cquinoa_AUR62038368	Cquinoa_AUR62037670	Cquinoa_AUR62032494	Cquinoa_AUR62006005	Cquinoa_AUR62006005	Cquinoa_AUR62030017	Cquinoa_AUR62005735	Cquinoa_AUR62003098	Cquinoa_AUR62003053	Cquinoa_AUR62005671	Cquinoa_AUR62033874	Cquinoa_AUR62005658	Cquinoa_AUR62013057	Cquinoa_AUR62005536	Cquinoa_AUR62035539	Cquinoa_AUR62002759	Cquinoa_AUR62023285	Cquinoa_AUR62023140	Cquinoa_AUR62024839	Cquinoa_AUR62025794	Cquinoa_AUR62006007	Cquinoa_AUR62018459	Cquinoa_AUR62041166	Cquinoa_AUR62038368	
Cquinoa_AUR62002651	Cquinoa_AUR62002686	Cquinoa_AUR62002759	Cquinoa_AUR62002688	Cquinoa_AUR62006089	Cquinoa_AUR62002688	Cquinoa_AUR62002686	Cquinoa_AUR62002803	Cquinoa_AUR62002688	Cquinoa_AUR62006089	Cquinoa_AUR62002782	Cquinoa_AUR62002688	Cquinoa_AUR62042410	Cquinoa_AUR62025821		Cquinoa_AUR62006089	Cquinoa_AUR62033800	Cquinoa_AUR62012893	Cquinoa_AUR62003295	Cquinoa_AUR62005586	Cquinoa_AUR62013781	Cquinoa_AUR62022705	Cquinoa_AUR62010500	Cquinoa_AUR62003111	Cquinoa_AUR62006007	Cquinoa_AUR62030203	Cquinoa_AUR62028361	Cquinoa_AUR62038110	Cquinoa_AUR62035531		Cquinoa_AUR62038021	Cquinoa_AUR62012953	Cquinoa_AUR62042410	Cquinoa_AUR62035047	Cquinoa_AUR62023093	Cquinoa_AUR62023093	Cquinoa_AUR62019873	Cquinoa_AUR62044451	Cquinoa_AUR62003321	Cquinoa_AUR62042566	Cquinoa_AUR62021944	Cquinoa_AUR62040093	Cquinoa_AUR62005819	Cquinoa_AUR62010064	Cquinoa_AUR62019996	Cquinoa_AUR62023310	Cquinoa_AUR62002956	Cquinoa_AUR62013632	Cquinoa_AUR62028361	Cquinoa_AUR62014506	Cquinoa_AUR62025919	Cquinoa_AUR62006269	Cquinoa_AUR62018485	Cquinoa_AUR62013887	Cquinoa_AUR62012953	
Cquinoa_AUR62002652	Cquinoa_AUR62002688	Cquinoa_AUR62002760	Cquinoa_AUR62002700	Cquinoa_AUR62012884	Cquinoa_AUR62002700	Cquinoa_AUR62002688	Cquinoa_AUR62002807	Cquinoa_AUR62002700	Cquinoa_AUR62012884	Cquinoa_AUR62002803	Cquinoa_AUR62002700	Cquinoa_AUR62041363	Cquinoa_AUR62014305		Cquinoa_AUR62012884	Cquinoa_AUR62023043	Cquinoa_AUR62013095	Cquinoa_AUR62006180	Cquinoa_AUR62032630	Cquinoa_AUR62024869	Cquinoa_AUR62000138	Cquinoa_AUR62021565	Cquinoa_AUR62003304	Cquinoa_AUR62013212	Cquinoa_AUR62001018	Cquinoa_AUR62007849	Cquinoa_AUR62031873	Cquinoa_AUR62010216		Cquinoa_AUR62009488	Cquinoa_AUR62013197	Cquinoa_AUR62041363	Cquinoa_AUR62023207	Cquinoa_AUR62010386	Cquinoa_AUR62034964	Cquinoa_AUR62014523	Cquinoa_AUR62025821	Cquinoa_AUR62006107	Cquinoa_AUR62013057	Cquinoa_AUR62012407	Cquinoa_AUR62025154	Cquinoa_AUR62010844	Cquinoa_AUR62040811	Cquinoa_AUR62030254	Cquinoa_AUR62023308	Cquinoa_AUR62003041	Cquinoa_AUR62028324	Cquinoa_AUR62007849	Cquinoa_AUR62040209	Cquinoa_AUR62038110	Cquinoa_AUR62032474	Cquinoa_AUR62020935	Cquinoa_AUR62029962	Cquinoa_AUR62013197	
Cquinoa_AUR62002653	Cquinoa_AUR62002700	Cquinoa_AUR62002782	Cquinoa_AUR62002705	Cquinoa_AUR62012893	Cquinoa_AUR62002705	Cquinoa_AUR62002700	Cquinoa_AUR62002958	Cquinoa_AUR62002705	Cquinoa_AUR62012893	Cquinoa_AUR62002860	Cquinoa_AUR62002705	Cquinoa_AUR62027735	Cquinoa_AUR62023576		Cquinoa_AUR62012893	Cquinoa_AUR62023116	Cquinoa_AUR62033752	Cquinoa_AUR62006451	Cquinoa_AUR62010388	Cquinoa_AUR62037821	Cquinoa_AUR62000394	Cquinoa_AUR62018793	Cquinoa_AUR62006176	Cquinoa_AUR62035531	Cquinoa_AUR62029546	Cquinoa_AUR62009459	Cquinoa_AUR62022701	Cquinoa_AUR62023431		Cquinoa_AUR62022292	Cquinoa_AUR62013238	Cquinoa_AUR62027735	Cquinoa_AUR62010522	Cquinoa_AUR62034964	Cquinoa_AUR62034219	Cquinoa_AUR62023618	Cquinoa_AUR62014305	Cquinoa_AUR62006176	Cquinoa_AUR62027587	Cquinoa_AUR62012710		Cquinoa_AUR62019843	Cquinoa_AUR62038135	Cquinoa_AUR62032252	Cquinoa_AUR62023307	Cquinoa_AUR62006007	Cquinoa_AUR62013340	Cquinoa_AUR62009459	Cquinoa_AUR62019340	Cquinoa_AUR62022701	Cquinoa_AUR62035531	Cquinoa_AUR62020960	Cquinoa_AUR62024915	Cquinoa_AUR62013238	
Cquinoa_AUR62002655	Cquinoa_AUR62002705	Cquinoa_AUR62002803	Cquinoa_AUR62002707	Cquinoa_AUR62013095	Cquinoa_AUR62002707	Cquinoa_AUR62002705	Cquinoa_AUR62003041	Cquinoa_AUR62002707	Cquinoa_AUR62013095	Cquinoa_AUR62002909	Cquinoa_AUR62002707	Cquinoa_AUR62018912	Cquinoa_AUR62013396		Cquinoa_AUR62013095	Cquinoa_AUR62005503	Cquinoa_AUR62005434	Cquinoa_AUR62032483	Cquinoa_AUR62042233	Cquinoa_AUR62037753	Cquinoa_AUR62000754	Cquinoa_AUR62007208	Cquinoa_AUR62006326	Cquinoa_AUR62023140	Cquinoa_AUR62037179	Cquinoa_AUR62025360	Cquinoa_AUR62022700	Cquinoa_AUR62041195			Cquinoa_AUR62032217	Cquinoa_AUR62018912	Cquinoa_AUR62010525	Cquinoa_AUR62034219	Cquinoa_AUR62023332	Cquinoa_AUR62008980	Cquinoa_AUR62023576	Cquinoa_AUR62042568	Cquinoa_AUR62033720	Cquinoa_AUR62028884		Cquinoa_AUR62015635	Cquinoa_AUR62028300	Cquinoa_AUR62022575	Cquinoa_AUR62008991	Cquinoa_AUR62006149	Cquinoa_AUR62009017	Cquinoa_AUR62025360	Cquinoa_AUR62040456	Cquinoa_AUR62022700	Cquinoa_AUR62041195	Cquinoa_AUR62020959	Cquinoa_AUR62025599	Cquinoa_AUR62031552	
Cquinoa_AUR62002654	Cquinoa_AUR62002707	Cquinoa_AUR62002807	Cquinoa_AUR62002713	Cquinoa_AUR62033752	Cquinoa_AUR62002713	Cquinoa_AUR62002707	Cquinoa_AUR62003048	Cquinoa_AUR62002713	Cquinoa_AUR62033752	Cquinoa_AUR62002956	Cquinoa_AUR62002713	Cquinoa_AUR62033019	Cquinoa_AUR62013398		Cquinoa_AUR62033752	Cquinoa_AUR62010386	Cquinoa_AUR62005687	Cquinoa_AUR62005586	Cquinoa_AUR62013622	Cquinoa_AUR62035137	Cquinoa_AUR62003964	Cquinoa_AUR62039719	Cquinoa_AUR62042574	Cquinoa_AUR62023166	Cquinoa_AUR62029055		Cquinoa_AUR62003631	Cquinoa_AUR62013723			Cquinoa_AUR62031552	Cquinoa_AUR62033019	Cquinoa_AUR62013283	Cquinoa_AUR62023332	Cquinoa_AUR62023363	Cquinoa_AUR62007009	Cquinoa_AUR62031953	Cquinoa_AUR62039460	Cquinoa_AUR62035539			Cquinoa_AUR62013436	Cquinoa_AUR62015875	Cquinoa_AUR62022613	Cquinoa_AUR62008993	Cquinoa_AUR62006269	Cquinoa_AUR62029546		Cquinoa_AUR62041992	Cquinoa_AUR62003631	Cquinoa_AUR62019911		Cquinoa_AUR62024570	Cquinoa_AUR62009961	
Cquinoa_AUR62002656	Cquinoa_AUR62002713	Cquinoa_AUR62002860	Cquinoa_AUR62002715	Cquinoa_AUR62033800	Cquinoa_AUR62002715	Cquinoa_AUR62002713	Cquinoa_AUR62003098	Cquinoa_AUR62002715	Cquinoa_AUR62033800	Cquinoa_AUR62003041	Cquinoa_AUR62002715	Cquinoa_AUR62002909	Cquinoa_AUR62036939		Cquinoa_AUR62033800	Cquinoa_AUR62023429	Cquinoa_AUR62010099	Cquinoa_AUR62032630	Cquinoa_AUR62038855	Cquinoa_AUR62031027	Cquinoa_AUR62007647	Cquinoa_AUR62036269	Cquinoa_AUR62043158	Cquinoa_AUR62010216	Cquinoa_AUR62033381		Cquinoa_AUR62025547	Cquinoa_AUR62039653			Cquinoa_AUR62009961		Cquinoa_AUR62038089	Cquinoa_AUR62023363	Cquinoa_AUR62013792	Cquinoa_AUR62036421	Cquinoa_AUR62034097	Cquinoa_AUR62039491	Cquinoa_AUR62031529			Cquinoa_AUR62021654	Cquinoa_AUR62021663	Cquinoa_AUR62041844	Cquinoa_AUR62008994	Cquinoa_AUR62041166	Cquinoa_AUR62003982		Cquinoa_AUR62038029	Cquinoa_AUR62009818	Cquinoa_AUR62023569		Cquinoa_AUR62011736	Cquinoa_AUR62010207	
Cquinoa_AUR62002657	Cquinoa_AUR62002715	Cquinoa_AUR62002909	Cquinoa_AUR62002730	Cquinoa_AUR62023043	Cquinoa_AUR62002753	Cquinoa_AUR62002715	Cquinoa_AUR62003111	Cquinoa_AUR62002770	Cquinoa_AUR62023043	Cquinoa_AUR62003053	Cquinoa_AUR62002730	Cquinoa_AUR62032494	Cquinoa_AUR62032259		Cquinoa_AUR62023043	Cquinoa_AUR62013725	Cquinoa_AUR62010767	Cquinoa_AUR62010388	Cquinoa_AUR62025859	Cquinoa_AUR62021363	Cquinoa_AUR62007965	Cquinoa_AUR62027167	Cquinoa_AUR62038376	Cquinoa_AUR62023431	Cquinoa_AUR62015155		Cquinoa_AUR62041598	Cquinoa_AUR62021530			Cquinoa_AUR62010207		Cquinoa_AUR62018844	Cquinoa_AUR62013792	Cquinoa_AUR62028378	Cquinoa_AUR62036427	Cquinoa_AUR62023806	Cquinoa_AUR62013066	Cquinoa_AUR62005536			Cquinoa_AUR62028621	Cquinoa_AUR62008851	Cquinoa_AUR62011936	Cquinoa_AUR62018154	Cquinoa_AUR62032474	Cquinoa_AUR62014072		Cquinoa_AUR62009211	Cquinoa_AUR62025547	Cquinoa_AUR62030143		Cquinoa_AUR62036465	Cquinoa_AUR62010256	
Cquinoa_AUR62002658	Cquinoa_AUR62002730	Cquinoa_AUR62002956	Cquinoa_AUR62002731	Cquinoa_AUR62023116	Cquinoa_AUR62002760	Cquinoa_AUR62002730	Cquinoa_AUR62003145	Cquinoa_AUR62002773	Cquinoa_AUR62023116	Cquinoa_AUR62003048	Cquinoa_AUR62002731	Cquinoa_AUR62035047	Cquinoa_AUR62031953		Cquinoa_AUR62023116	Cquinoa_AUR62019890	Cquinoa_AUR62023305	Cquinoa_AUR62010500	Cquinoa_AUR62031745	Cquinoa_AUR62033275	Cquinoa_AUR62019318	Cquinoa_AUR62014124	Cquinoa_AUR62039467	Cquinoa_AUR62041195	Cquinoa_AUR62017609		Cquinoa_AUR62017940	Cquinoa_AUR62035620			Cquinoa_AUR62010256		Cquinoa_AUR62007162	Cquinoa_AUR62028378	Cquinoa_AUR62019945	Cquinoa_AUR62019472	Cquinoa_AUR62029049	Cquinoa_AUR62013191	Cquinoa_AUR62005658			Cquinoa_AUR62031872	Cquinoa_AUR62018252	Cquinoa_AUR62000091		Cquinoa_AUR62035531	Cquinoa_AUR62011146		Cquinoa_AUR62032380	Cquinoa_AUR62015103	Cquinoa_AUR62037039		Cquinoa_AUR62004114	Cquinoa_AUR62044762	
