#Gene	Overall Prediction	TargetP	iPSORT	LOCALIZER	Predotar
Ceug_LOC113781021_rna29725	dual	dual	mitochondrial	non-organellar	non-organellar
Ceug_LOC113760963_rna4127	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113760962_rna9040	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113760961_rna5279	plastid	plastid	non-organellar	plastid	non-organellar
Ceug_LOC113760960_rna5277	plastid	non-organellar	plastid	plastid	non-organellar
Ceug_LOC113760967_rna8503	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113760966_rna10905	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113760965_rna10358	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113760964_rna4712	dual	dual	mitochondrial	mitochondrial	dual
Ceug_LOC113760969_rna8507	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113760968_rna4082	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113781105_rna30142	plastid	plastid	plastid	non-organellar	non-organellar
Ceug_LOC113764879_rna10980	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113775929_rna23006	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113775928_rna20563	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113767609_rna16105	dual	dual	non-organellar	plastid	non-organellar
Ceug_LOC113775925_rna22262	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113775924_rna22930	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113767605_rna16338	mitochondrial	non-organellar	mitochondrial	mitochondrial	non-organellar
Ceug_LOC113767604_rna16341	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113775921_rna21550	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113775920_rna22823	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113775923_rna22645	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113767600_rna14649	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113763738_rna10156	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113763737_rna5612	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113763736_rna7078	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113763735_rna5320	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113763734_rna5709	plastid	plastid	plastid	plastid	plastid
Ceug_LOC113781100_rna29599	dual	dual	mitochondrial	dual	mitochondrial
Ceug_LOC113763731_rna4957	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113763730_rna4566	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113769559_rna1033	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113769558_rna15562	plastid	non-organellar	plastid	non-organellar	non-organellar
Ceug_LOC113769551_rna1032	dual	dual	non-organellar	mitochondrial	non-organellar
Ceug_LOC113769550_rna16719	dual	dual	mitochondrial	plastid	non-organellar
Ceug_LOC113769555_rna16822	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Ceug_LOC113769557_rna14896	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Ceug_LOC113769556_rna14661	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113781102_rna1818	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113776456_rna24593	mitochondrial	mitochondrial	mitochondrial	non-organellar	mitochondrial
Ceug_LOC113761159_rna5735	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113761158_rna5581	plastid	non-organellar	plastid	non-organellar	non-organellar
Ceug_LOC113757767_rna43026	plastid	plastid	non-organellar	non-organellar	non-organellar
Ceug_LOC113777789_rna25417	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113777788_rna26083	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113777787_rna26692	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113777786_rna26517	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113777785_rna26515	plastid	plastid	plastid	plastid	plastid
Ceug_LOC113777784_rna3771	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Ceug_LOC113777783_rna25720	dual	dual	plastid	plastid	plastid
Ceug_LOC113777782_rna25495	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113777781_rna25625	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113777780_rna25161	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113774324_rna24280	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Ceug_LOC113774325_rna3379	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
