#Gene	Overall Prediction	TargetP	iPSORT	LOCALIZER	Predotar
TuG1812G0100000533	plastid	non-organellar	plastid	non-organellar	non-organellar
TuG1812G0100000532	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TuG1812G0100000531	dual	dual	mitochondrial	mitochondrial	N/A
TuG1812G0100000548	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TuG1812G0100000530	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
TuG1812G0100000549	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
TuG1812G0100000550	mitochondrial	non-organellar	mitochondrial	mitochondrial	non-organellar
TuG1812G0100000551	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TuG1812G0100000552	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TuG1812G0100000553	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TuG1812G0100001340	dual	dual	mitochondrial	plastid	N/A
TuG1812G0100001341	plastid	plastid	non-organellar	plastid	non-organellar
TuG1812G0100001342	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
TuG1812G0100001343	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
TuG1812G0100000528	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TuG1812G0100000527	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TuG1812G0100000526	dual	dual	mitochondrial	dual	dual
TuG1812G0100000525	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TuG1812G0100000524	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TuG1812G0100000523	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
TuG1812G0100000522	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TuG1812G0100000013	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TuG1812G0100000014	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TuG1812G0100000015	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
TuG1812G0100000016	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
TuG1812G0100000017	plastid	non-organellar	plastid	non-organellar	non-organellar
