#Gene	Overall Prediction	TargetP	iPSORT	LOCALIZER	Predotar
Cara_E_LOC113712409_rna67368	dual	dual	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113743385_rna36273	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113687707_rna36900	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113687706_rna36868	plastid	plastid	plastid	non-organellar	non-organellar
Cara_E_LOC113690411_rna3759	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113687704_rna36802	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113687703_rna36797	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113687702_rna36785	plastid	plastid	plastid	non-organellar	non-organellar
Cara_E_LOC113690414_rna3788	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113731662_rna18162	plastid	non-organellar	plastid	non-organellar	non-organellar
Cara_E_LOC113731663_rna18163	dual	dual	mitochondrial	plastid	plastid
Cara_E_LOC113731661_rna18161	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113731667_rna18166	plastid	plastid	non-organellar	non-organellar	non-organellar
Cara_E_LOC113731664_rna18164	plastid	non-organellar	plastid	non-organellar	non-organellar
Cara_E_LOC113688093_rna35660	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113731669_rna18169	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113688090_rna35521	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113688091_rna36668	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113688096_rna36155	dual	dual	mitochondrial	dual	mitochondrial
Cara_E_LOC113688097_rna36178	dual	dual	mitochondrial	mitochondrial	mitochondrial
Cara_E_LOC113712403_rna67507	mitochondrial	non-organellar	non-organellar	mitochondrial	non-organellar
Cara_E_LOC113712402_rna67505	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113742593_rna32224	mitochondrial	mitochondrial	mitochondrial	mitochondrial	non-organellar
Cara_E_LOC113737549_rna27339	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113737548_rna27338	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113737545_rna27337	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113737544_rna27336	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113737541_rna27335	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113737540_rna27328	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113687705_rna36824	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113742598_rna33867	dual	dual	mitochondrial	dual	mitochondrial
Cara_E_LOC113703912_rna5070	plastid	plastid	non-organellar	non-organellar	non-organellar
Cara_E_LOC113687700_rna36766	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113703914_rna58819	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113705554_rna5405	dual	dual	plastid	plastid	plastid
Cara_E_LOC113710300_rna65654	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113701249_rna53346	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113701248_rna4383	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113701242_rna53565	plastid	plastid	non-organellar	non-organellar	non-organellar
Cara_E_LOC113701241_rna4382	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113701240_rna53270	plastid	plastid	plastid	plastid	plastid
Cara_E_LOC113701247_rna54389	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113701246_rna52648	dual	dual	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113701245_rna55397	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113701244_rna55599	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113704661_rna56973	mitochondrial	mitochondrial	non-organellar	mitochondrial	non-organellar
Cara_E_LOC113704666_rna56985	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113704664_rna56982	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113704665_rna56984	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113717846_rna77349	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
Cara_E_LOC113718891_rna77200	mitochondrial	mitochondrial	mitochondrial	mitochondrial	non-organellar
Cara_E_LOC113717844_rna77709	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113717842_rna77379	dual	dual	plastid	plastid	plastid
Cara_E_LOC113704204_rna58583	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113704205_rna58582	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113704206_rna55758	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113704200_rna58958	dual	dual	non-organellar	non-organellar	non-organellar
Cara_E_LOC113704202_rna58957	plastid	non-organellar	plastid	non-organellar	non-organellar
Cara_E_LOC113704203_rna55681	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113718897_rna77665	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113704208_rna57648	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113704209_rna58971	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113718218_rna75602	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113718219_rna75603	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113718216_rna7569	dual	dual	mitochondrial	mitochondrial	mitochondrial
Cara_E_LOC113718217_rna75600	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113718214_rna77454	mitochondrial	mitochondrial	non-organellar	mitochondrial	non-organellar
Cara_E_LOC113718215_rna75599	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113718212_rna75594	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113718213_rna75595	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113718210_rna75592	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113718211_rna75593	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113707950_rna5833	plastid	plastid	plastid	non-organellar	non-organellar
Cara_E_LOC113742388_rna31385	dual	dual	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113719168_rna77550	plastid	non-organellar	plastid	non-organellar	non-organellar
Cara_E_LOC113719167_rna77919	dual	dual	plastid	plastid	non-organellar
Cara_E_LOC113719166_rna77918	dual	plastid	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113719165_rna7727	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113695219_rna46416	plastid	non-organellar	plastid	non-organellar	non-organellar
Cara_E_LOC113719163_rna77923	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113719162_rna77913	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113719161_rna77911	plastid	plastid	non-organellar	non-organellar	non-organellar
Cara_E_LOC113719160_rna7724	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113743461_rna36019	plastid	plastid	plastid	plastid	plastid
Cara_E_LOC113743460_rna34904	plastid	plastid	non-organellar	non-organellar	non-organellar
Cara_E_LOC113743463_rna36611	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113688158_rna35586	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113743464_rna34977	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113743466_rna35998	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
Cara_E_LOC113743469_rna35749	mitochondrial	mitochondrial	mitochondrial	non-organellar	mitochondrial
Cara_E_LOC113688152_rna36874	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113688151_rna34730	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113688150_rna35125	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113688157_rna3590	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113688156_rna36258	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113688155_rna36183	dual	mitochondrial	mitochondrial	plastid	non-organellar
Cara_E_LOC113688154_rna36484	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113730279_rna15562	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113730272_rna15546	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113730273_rna15549	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113730270_rna15542	plastid	plastid	plastid	plastid	non-organellar
Cara_E_LOC113730271_rna15544	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
Cara_E_LOC113730276_rna15553	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113730277_rna15561	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113730274_rna15548	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113730275_rna15552	plastid	non-organellar	non-organellar	plastid	non-organellar
Cara_E_LOC113702206_rna55404	dual	dual	non-organellar	mitochondrial	non-organellar
Cara_E_LOC113702207_rna52979	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113702204_rna53977	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113702205_rna53936	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113702202_rna4686	dual	dual	mitochondrial	mitochondrial	mitochondrial
Cara_E_LOC113702203_rna53487	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113702200_rna53706	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113702201_rna53488	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113702208_rna54420	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113702209_rna53757	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113742733_rna34080	plastid	non-organellar	plastid	non-organellar	non-organellar
Cara_E_LOC113742730_rna33972	dual	mitochondrial	plastid	non-organellar	plastid
Cara_E_LOC113742731_rna34090	plastid	plastid	non-organellar	non-organellar	non-organellar
Cara_E_LOC113742736_rna31103	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113742737_rna31806	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113742734_rna31757	plastid	non-organellar	plastid	non-organellar	non-organellar
Cara_E_LOC113742735_rna31870	plastid	plastid	plastid	plastid	non-organellar
Cara_E_LOC113704987_rna58360	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113704986_rna58355	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113742738_rna32928	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
Cara_E_LOC113704984_rna58318	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113704983_rna58309	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113704982_rna58293	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113704981_rna5321	plastid	non-organellar	non-organellar	plastid	non-organellar
Cara_E_LOC113704980_rna58292	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113702970_rna55805	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113697440_rna45177	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113697443_rna47039	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113697442_rna48008	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113697445_rna47087	dual	non-organellar	mitochondrial	plastid	non-organellar
Cara_E_LOC113697444_rna45624	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113697447_rna48060	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113702977_rna57954	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113702978_rna57611	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113702979_rna55960	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113709805_rna64914	plastid	non-organellar	plastid	non-organellar	non-organellar
Cara_E_LOC113693536_rna4733	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113732124_rna19030	dual	dual	plastid	plastid	dual
Cara_E_LOC113732125_rna19027	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113732127_rna19031	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113732120_rna19019	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113732121_rna19021	plastid	plastid	plastid	plastid	non-organellar
Cara_E_LOC113732122_rna19024	plastid	plastid	plastid	plastid	non-organellar
Cara_E_LOC113732123_rna19022	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113732128_rna19034	dual	dual	mitochondrial	plastid	non-organellar
Cara_E_LOC113732129_rna19037	mitochondrial	mitochondrial	mitochondrial	mitochondrial	mitochondrial
Cara_E_LOC113700190_rna4071	dual	dual	plastid	plastid	plastid
Cara_E_LOC113696312_rna46434	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113696313_rna46437	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113696310_rna46433	mitochondrial	non-organellar	non-organellar	mitochondrial	non-organellar
Cara_E_LOC113705619_rna5415	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_E_LOC113696314_rna7350	mitochondrial	non-organellar	non-organellar	mitochondrial	non-organellar
Cara_E_LOC113696315_rna46440	dual	dual	plastid	plastid	non-organellar
Cara_E_LOC113705614_rna5413	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cara_E_LOC113696319_rna46444	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
