Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
Kirkii_Version3_Juiced.00g000010	Kirkii_Version3_Juiced.00g000190	Kirkii_Version3_Juiced.00g000680	Kirkii_Version3_Juiced.00g000190	Kirkii_Version3_Juiced.00g004690	Kirkii_Version3_Juiced.00g000190	Kirkii_Version3_Juiced.00g000480	Kirkii_Version3_Juiced.00g001740	Kirkii_Version3_Juiced.00g000190	Kirkii_Version3_Juiced.00g004690	Kirkii_Version3_Juiced.00g000680	Kirkii_Version3_Juiced.00g000480	Kirkii_Version3_Juiced.00g035360	Kirkii_Version3_Juiced.00g008750	Kirkii_Version3_Juiced.00g057090	Kirkii_Version3_Juiced.00g004690	Kirkii_Version3_Juiced.00g055540	Kirkii_Version3_Juiced.00g004690	Kirkii_Version3_Juiced.00g002440	Kirkii_Version3_Juiced.00g019300	Kirkii_Version3_Juiced.00g002440	Kirkii_Version3_Juiced.00g090780	Kirkii_Version3_Juiced.00g014370	Kirkii_Version3_Juiced.00g003370	Kirkii_Version3_Juiced.00g007350	Kirkii_Version3_Juiced.00g051980	Kirkii_Version3_Juiced.00g304050	Kirkii_Version3_Juiced.00g007350	Kirkii_Version3_Juiced.00g040020	Kirkii_Version3_Juiced.00g148260	Kirkii_Version3_Juiced.00g175330	Kirkii_Version3_Juiced.00g001740	Kirkii_Version3_Juiced.00g035360	Kirkii_Version3_Juiced.00g031810	Kirkii_Version3_Juiced.00g004840	Kirkii_Version3_Juiced.00g004840	Kirkii_Version3_Juiced.00g026890	Kirkii_Version3_Juiced.00g008750	Kirkii_Version3_Juiced.00g000680	Kirkii_Version3_Juiced.00g002580	Kirkii_Version3_Juiced.00g003870	Kirkii_Version3_Juiced.00g021850	Kirkii_Version3_Juiced.00g002580	Kirkii_Version3_Juiced.00g013350	Kirkii_Version3_Juiced.00g019410	Kirkii_Version3_Juiced.00g176110	Kirkii_Version3_Juiced.00g007610	Kirkii_Version3_Juiced.00g071940	Kirkii_Version3_Juiced.00g304050	Kirkii_Version3_Juiced.00g037080	Kirkii_Version3_Juiced.00g190040	Kirkii_Version3_Juiced.00g031910	Kirkii_Version3_Juiced.00g212190	Kirkii_Version3_Juiced.00g007610	Kirkii_Version3_Juiced.00g001740	
Kirkii_Version3_Juiced.00g000020	Kirkii_Version3_Juiced.00g000480	Kirkii_Version3_Juiced.00g001740	Kirkii_Version3_Juiced.00g000480	Kirkii_Version3_Juiced.00g012890	Kirkii_Version3_Juiced.00g000480	Kirkii_Version3_Juiced.00g000680	Kirkii_Version3_Juiced.00g002440	Kirkii_Version3_Juiced.00g000480	Kirkii_Version3_Juiced.00g012890	Kirkii_Version3_Juiced.00g001740	Kirkii_Version3_Juiced.00g000850	Kirkii_Version3_Juiced.00g049430	Kirkii_Version3_Juiced.00g029340	Kirkii_Version3_Juiced.00g057100	Kirkii_Version3_Juiced.00g012890	Kirkii_Version3_Juiced.00g079300	Kirkii_Version3_Juiced.00g012890	Kirkii_Version3_Juiced.00g014370	Kirkii_Version3_Juiced.00g022900	Kirkii_Version3_Juiced.00g141400	Kirkii_Version3_Juiced.00g106850	Kirkii_Version3_Juiced.00g034120	Kirkii_Version3_Juiced.00g003480	Kirkii_Version3_Juiced.00g040020	Kirkii_Version3_Juiced.00g152950	Kirkii_Version3_Juiced.00g341210	Kirkii_Version3_Juiced.00g230120	Kirkii_Version3_Juiced.00g147210		Kirkii_Version3_Juiced.00g278200	Kirkii_Version3_Juiced.00g004450	Kirkii_Version3_Juiced.00g049430	Kirkii_Version3_Juiced.00g032040	Kirkii_Version3_Juiced.00g008150	Kirkii_Version3_Juiced.00g008150	Kirkii_Version3_Juiced.00g059820	Kirkii_Version3_Juiced.00g029340	Kirkii_Version3_Juiced.00g001990	Kirkii_Version3_Juiced.00g003870	Kirkii_Version3_Juiced.00g162450	Kirkii_Version3_Juiced.00g074660	Kirkii_Version3_Juiced.00g043180	Kirkii_Version3_Juiced.00g018710	Kirkii_Version3_Juiced.00g027070	Kirkii_Version3_Juiced.00g304340	Kirkii_Version3_Juiced.00g013860	Kirkii_Version3_Juiced.00g133980	Kirkii_Version3_Juiced.00g341210	Kirkii_Version3_Juiced.00g222620	Kirkii_Version3_Juiced.00g230120	Kirkii_Version3_Juiced.00g060330	Kirkii_Version3_Juiced.00g260220	Kirkii_Version3_Juiced.00g013860	Kirkii_Version3_Juiced.00g004450	
Kirkii_Version3_Juiced.00g000030	Kirkii_Version3_Juiced.00g000680	Kirkii_Version3_Juiced.00g001990	Kirkii_Version3_Juiced.00g000850	Kirkii_Version3_Juiced.00g023990	Kirkii_Version3_Juiced.00g000960	Kirkii_Version3_Juiced.00g000850	Kirkii_Version3_Juiced.00g003370	Kirkii_Version3_Juiced.00g000960	Kirkii_Version3_Juiced.00g023990	Kirkii_Version3_Juiced.00g001990	Kirkii_Version3_Juiced.00g001240	Kirkii_Version3_Juiced.00g140390	Kirkii_Version3_Juiced.00g040780		Kirkii_Version3_Juiced.00g023990	Kirkii_Version3_Juiced.00g080950	Kirkii_Version3_Juiced.00g023990	Kirkii_Version3_Juiced.00g019300	Kirkii_Version3_Juiced.00g043620	Kirkii_Version3_Juiced.00g225450	Kirkii_Version3_Juiced.00g109840	Kirkii_Version3_Juiced.00g034130	Kirkii_Version3_Juiced.00g003520	Kirkii_Version3_Juiced.00g051980	Kirkii_Version3_Juiced.00g179780		Kirkii_Version3_Juiced.00g244180	Kirkii_Version3_Juiced.00g193720		Kirkii_Version3_Juiced.00g303940	Kirkii_Version3_Juiced.00g016180	Kirkii_Version3_Juiced.00g140390	Kirkii_Version3_Juiced.00g045120	Kirkii_Version3_Juiced.00g023040	Kirkii_Version3_Juiced.00g023040	Kirkii_Version3_Juiced.00g067720	Kirkii_Version3_Juiced.00g040780	Kirkii_Version3_Juiced.00g003520	Kirkii_Version3_Juiced.00g013350	Kirkii_Version3_Juiced.00g192890	Kirkii_Version3_Juiced.00g074670	Kirkii_Version3_Juiced.00g069850	Kirkii_Version3_Juiced.00g056540	Kirkii_Version3_Juiced.00g027080	Kirkii_Version3_Juiced.00g304350	Kirkii_Version3_Juiced.00g031910	Kirkii_Version3_Juiced.00g176070		Kirkii_Version3_Juiced.00g243440	Kirkii_Version3_Juiced.00g244180	Kirkii_Version3_Juiced.00g140350		Kirkii_Version3_Juiced.00g060190	Kirkii_Version3_Juiced.00g016180	
Kirkii_Version3_Juiced.00g000040	Kirkii_Version3_Juiced.00g000850	Kirkii_Version3_Juiced.00g002440	Kirkii_Version3_Juiced.00g000960	Kirkii_Version3_Juiced.00g033070	Kirkii_Version3_Juiced.00g001240	Kirkii_Version3_Juiced.00g001240	Kirkii_Version3_Juiced.00g003480	Kirkii_Version3_Juiced.00g001240	Kirkii_Version3_Juiced.00g033070	Kirkii_Version3_Juiced.00g002580	Kirkii_Version3_Juiced.00g001260	Kirkii_Version3_Juiced.00g153810	Kirkii_Version3_Juiced.00g048440		Kirkii_Version3_Juiced.00g033070	Kirkii_Version3_Juiced.00g084460	Kirkii_Version3_Juiced.00g033070	Kirkii_Version3_Juiced.00g022900	Kirkii_Version3_Juiced.00g069530	Kirkii_Version3_Juiced.00g227670	Kirkii_Version3_Juiced.00g150300	Kirkii_Version3_Juiced.00g092270	Kirkii_Version3_Juiced.00g008280	Kirkii_Version3_Juiced.00g147210	Kirkii_Version3_Juiced.00g240450		Kirkii_Version3_Juiced.00g261290	Kirkii_Version3_Juiced.00g200460		Kirkii_Version3_Juiced.00g303950	Kirkii_Version3_Juiced.00g021740	Kirkii_Version3_Juiced.00g153810	Kirkii_Version3_Juiced.00g050510	Kirkii_Version3_Juiced.00g026890	Kirkii_Version3_Juiced.00g057840	Kirkii_Version3_Juiced.00g096470	Kirkii_Version3_Juiced.00g050470	Kirkii_Version3_Juiced.00g007060	Kirkii_Version3_Juiced.00g018710	Kirkii_Version3_Juiced.00g192900	Kirkii_Version3_Juiced.00g080540	Kirkii_Version3_Juiced.00g085610	Kirkii_Version3_Juiced.00g080900	Kirkii_Version3_Juiced.00g032460		Kirkii_Version3_Juiced.00g037080	Kirkii_Version3_Juiced.00g180560		Kirkii_Version3_Juiced.00g312460	Kirkii_Version3_Juiced.00g261290	Kirkii_Version3_Juiced.00g147210		Kirkii_Version3_Juiced.00g102420	Kirkii_Version3_Juiced.00g021740	
Kirkii_Version3_Juiced.00g000050	Kirkii_Version3_Juiced.00g000960	Kirkii_Version3_Juiced.00g002580	Kirkii_Version3_Juiced.00g001240	Kirkii_Version3_Juiced.00g046750	Kirkii_Version3_Juiced.00g001740	Kirkii_Version3_Juiced.00g001260	Kirkii_Version3_Juiced.00g003520	Kirkii_Version3_Juiced.00g001790	Kirkii_Version3_Juiced.00g046750	Kirkii_Version3_Juiced.00g003520	Kirkii_Version3_Juiced.00g001270	Kirkii_Version3_Juiced.00g031810	Kirkii_Version3_Juiced.00g050470		Kirkii_Version3_Juiced.00g046750	Kirkii_Version3_Juiced.00g084630	Kirkii_Version3_Juiced.00g046750	Kirkii_Version3_Juiced.00g034120	Kirkii_Version3_Juiced.00g069540	Kirkii_Version3_Juiced.00g275700	Kirkii_Version3_Juiced.00g166330	Kirkii_Version3_Juiced.00g166840	Kirkii_Version3_Juiced.00g008290	Kirkii_Version3_Juiced.00g148260	Kirkii_Version3_Juiced.00g267470		Kirkii_Version3_Juiced.00g277750	Kirkii_Version3_Juiced.00g205020		Kirkii_Version3_Juiced.00g312870	Kirkii_Version3_Juiced.00g033880		Kirkii_Version3_Juiced.00g050520	Kirkii_Version3_Juiced.00g057840	Kirkii_Version3_Juiced.00g073000	Kirkii_Version3_Juiced.00g121720	Kirkii_Version3_Juiced.00g070100	Kirkii_Version3_Juiced.00g010120	Kirkii_Version3_Juiced.00g019410			Kirkii_Version3_Juiced.00g095180	Kirkii_Version3_Juiced.00g090310	Kirkii_Version3_Juiced.00g076120		Kirkii_Version3_Juiced.00g060190	Kirkii_Version3_Juiced.00g229630		Kirkii_Version3_Juiced.00g323720	Kirkii_Version3_Juiced.00g278580	Kirkii_Version3_Juiced.00g156190		Kirkii_Version3_Juiced.00g106090	Kirkii_Version3_Juiced.00g075010	
Kirkii_Version3_Juiced.00g000060	Kirkii_Version3_Juiced.00g001240	Kirkii_Version3_Juiced.00g003370	Kirkii_Version3_Juiced.00g001260	Kirkii_Version3_Juiced.00g052820	Kirkii_Version3_Juiced.00g001790	Kirkii_Version3_Juiced.00g001270	Kirkii_Version3_Juiced.00g004450	Kirkii_Version3_Juiced.00g002410	Kirkii_Version3_Juiced.00g052820	Kirkii_Version3_Juiced.00g003870	Kirkii_Version3_Juiced.00g001290	Kirkii_Version3_Juiced.00g032040	Kirkii_Version3_Juiced.00g065300		Kirkii_Version3_Juiced.00g052820	Kirkii_Version3_Juiced.00g092630	Kirkii_Version3_Juiced.00g052820	Kirkii_Version3_Juiced.00g034130	Kirkii_Version3_Juiced.00g070550	Kirkii_Version3_Juiced.00g292730	Kirkii_Version3_Juiced.00g181610	Kirkii_Version3_Juiced.00g188250	Kirkii_Version3_Juiced.00g011740	Kirkii_Version3_Juiced.00g152950	Kirkii_Version3_Juiced.00g325530		Kirkii_Version3_Juiced.00g312320	Kirkii_Version3_Juiced.00g211410			Kirkii_Version3_Juiced.00g075010		Kirkii_Version3_Juiced.00g076780	Kirkii_Version3_Juiced.00g059820	Kirkii_Version3_Juiced.00g091140	Kirkii_Version3_Juiced.00g127590	Kirkii_Version3_Juiced.00g070110	Kirkii_Version3_Juiced.00g011740	Kirkii_Version3_Juiced.00g021850			Kirkii_Version3_Juiced.00g116750	Kirkii_Version3_Juiced.00g091210	Kirkii_Version3_Juiced.00g084890		Kirkii_Version3_Juiced.00g060330	Kirkii_Version3_Juiced.00g267470		Kirkii_Version3_Juiced.00g330410	Kirkii_Version3_Juiced.00g312320	Kirkii_Version3_Juiced.00g205020		Kirkii_Version3_Juiced.00g155400	Kirkii_Version3_Juiced.00g079850	
Kirkii_Version3_Juiced.00g000070	Kirkii_Version3_Juiced.00g001260	Kirkii_Version3_Juiced.00g003480	Kirkii_Version3_Juiced.00g001270	Kirkii_Version3_Juiced.00g055540	Kirkii_Version3_Juiced.00g002410	Kirkii_Version3_Juiced.00g001290	Kirkii_Version3_Juiced.00g004690	Kirkii_Version3_Juiced.00g002620	Kirkii_Version3_Juiced.00g055540	Kirkii_Version3_Juiced.00g004450	Kirkii_Version3_Juiced.00g001790	Kirkii_Version3_Juiced.00g045120	Kirkii_Version3_Juiced.00g070100		Kirkii_Version3_Juiced.00g055540	Kirkii_Version3_Juiced.00g106800	Kirkii_Version3_Juiced.00g060160	Kirkii_Version3_Juiced.00g043620	Kirkii_Version3_Juiced.00g078620	Kirkii_Version3_Juiced.00g293670	Kirkii_Version3_Juiced.00g211730	Kirkii_Version3_Juiced.00g199090	Kirkii_Version3_Juiced.00g011830	Kirkii_Version3_Juiced.00g175330			Kirkii_Version3_Juiced.00g313550	Kirkii_Version3_Juiced.00g236420			Kirkii_Version3_Juiced.00g079850		Kirkii_Version3_Juiced.00g181590	Kirkii_Version3_Juiced.00g067720	Kirkii_Version3_Juiced.00g099670	Kirkii_Version3_Juiced.00g156970	Kirkii_Version3_Juiced.00g094240	Kirkii_Version3_Juiced.00g012060	Kirkii_Version3_Juiced.00g027070			Kirkii_Version3_Juiced.00g140720	Kirkii_Version3_Juiced.00g096460	Kirkii_Version3_Juiced.00g098960		Kirkii_Version3_Juiced.00g071940	Kirkii_Version3_Juiced.00g304390			Kirkii_Version3_Juiced.00g313550	Kirkii_Version3_Juiced.00g211410		Kirkii_Version3_Juiced.00g181350	Kirkii_Version3_Juiced.00g084220	
Kirkii_Version3_Juiced.00g000080	Kirkii_Version3_Juiced.00g001270	Kirkii_Version3_Juiced.00g003520	Kirkii_Version3_Juiced.00g001290	Kirkii_Version3_Juiced.00g060160	Kirkii_Version3_Juiced.00g002440	Kirkii_Version3_Juiced.00g001740	Kirkii_Version3_Juiced.00g007350	Kirkii_Version3_Juiced.00g002630	Kirkii_Version3_Juiced.00g060160	Kirkii_Version3_Juiced.00g004840	Kirkii_Version3_Juiced.00g001840	Kirkii_Version3_Juiced.00g050510	Kirkii_Version3_Juiced.00g070110		Kirkii_Version3_Juiced.00g060160	Kirkii_Version3_Juiced.00g113020	Kirkii_Version3_Juiced.00g071820	Kirkii_Version3_Juiced.00g069530	Kirkii_Version3_Juiced.00g090410		Kirkii_Version3_Juiced.00g276920	Kirkii_Version3_Juiced.00g203480	Kirkii_Version3_Juiced.00g012060	Kirkii_Version3_Juiced.00g179780			Kirkii_Version3_Juiced.00g313560	Kirkii_Version3_Juiced.00g255260			Kirkii_Version3_Juiced.00g084220		Kirkii_Version3_Juiced.00g187250	Kirkii_Version3_Juiced.00g073000	Kirkii_Version3_Juiced.00g103430	Kirkii_Version3_Juiced.00g167380	Kirkii_Version3_Juiced.00g094250	Kirkii_Version3_Juiced.00g012080	Kirkii_Version3_Juiced.00g027080			Kirkii_Version3_Juiced.00g155820	Kirkii_Version3_Juiced.00g098270	Kirkii_Version3_Juiced.00g100960		Kirkii_Version3_Juiced.00g102420	Kirkii_Version3_Juiced.00g350850			Kirkii_Version3_Juiced.00g313560	Kirkii_Version3_Juiced.00g277220		Kirkii_Version3_Juiced.00g273010	Kirkii_Version3_Juiced.00g106830	
Kirkii_Version3_Juiced.00g000090	Kirkii_Version3_Juiced.00g001290	Kirkii_Version3_Juiced.00g003870	Kirkii_Version3_Juiced.00g001790	Kirkii_Version3_Juiced.00g071820	Kirkii_Version3_Juiced.00g002620	Kirkii_Version3_Juiced.00g001790	Kirkii_Version3_Juiced.00g008280	Kirkii_Version3_Juiced.00g003160	Kirkii_Version3_Juiced.00g071820	Kirkii_Version3_Juiced.00g007060	Kirkii_Version3_Juiced.00g002410	Kirkii_Version3_Juiced.00g050520	Kirkii_Version3_Juiced.00g094240		Kirkii_Version3_Juiced.00g071820	Kirkii_Version3_Juiced.00g127220	Kirkii_Version3_Juiced.00g077180	Kirkii_Version3_Juiced.00g069540	Kirkii_Version3_Juiced.00g100120		Kirkii_Version3_Juiced.00g308990	Kirkii_Version3_Juiced.00g213940	Kirkii_Version3_Juiced.00g012080	Kirkii_Version3_Juiced.00g193720				Kirkii_Version3_Juiced.00g365650			Kirkii_Version3_Juiced.00g106830		Kirkii_Version3_Juiced.00g190580	Kirkii_Version3_Juiced.00g091140	Kirkii_Version3_Juiced.00g105870	Kirkii_Version3_Juiced.00g231280	Kirkii_Version3_Juiced.00g094260	Kirkii_Version3_Juiced.00g018110	Kirkii_Version3_Juiced.00g032460			Kirkii_Version3_Juiced.00g168670	Kirkii_Version3_Juiced.00g126070	Kirkii_Version3_Juiced.00g109720		Kirkii_Version3_Juiced.00g106090					Kirkii_Version3_Juiced.00g280340		Kirkii_Version3_Juiced.00g274970	Kirkii_Version3_Juiced.00g136740	
Kirkii_Version3_Juiced.00g000100	Kirkii_Version3_Juiced.00g001740	Kirkii_Version3_Juiced.00g004450	Kirkii_Version3_Juiced.00g001840	Kirkii_Version3_Juiced.00g077180	Kirkii_Version3_Juiced.00g002630	Kirkii_Version3_Juiced.00g001840	Kirkii_Version3_Juiced.00g008290	Kirkii_Version3_Juiced.00g003170	Kirkii_Version3_Juiced.00g077180	Kirkii_Version3_Juiced.00g007610	Kirkii_Version3_Juiced.00g002620	Kirkii_Version3_Juiced.00g076780	Kirkii_Version3_Juiced.00g094250		Kirkii_Version3_Juiced.00g077180	Kirkii_Version3_Juiced.00g130990	Kirkii_Version3_Juiced.00g078310	Kirkii_Version3_Juiced.00g070550	Kirkii_Version3_Juiced.00g136540		Kirkii_Version3_Juiced.00g362310	Kirkii_Version3_Juiced.00g291680	Kirkii_Version3_Juiced.00g013370	Kirkii_Version3_Juiced.00g200460				Kirkii_Version3_Juiced.00g378430			Kirkii_Version3_Juiced.00g136740		Kirkii_Version3_Juiced.00g214520	Kirkii_Version3_Juiced.00g096470	Kirkii_Version3_Juiced.00g109870	Kirkii_Version3_Juiced.00g331950	Kirkii_Version3_Juiced.00g112480	Kirkii_Version3_Juiced.00g020380	Kirkii_Version3_Juiced.00g043180			Kirkii_Version3_Juiced.00g177690	Kirkii_Version3_Juiced.00g152430	Kirkii_Version3_Juiced.00g152880		Kirkii_Version3_Juiced.00g133980					Kirkii_Version3_Juiced.00g362640		Kirkii_Version3_Juiced.00g306050	Kirkii_Version3_Juiced.00g159700	
