#Gene	Overall Prediction	TargetP	iPSORT	LOCALIZER	Predotar
Cquinoa_AUR62002649	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002650	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002651	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002652	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002653	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002655	mitochondrial	mitochondrial	non-organellar	non-organellar	N/A
Cquinoa_AUR62002654	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002656	dual	dual	mitochondrial	mitochondrial	N/A
Cquinoa_AUR62002657	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002658	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002660	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002659	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002661	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002662	dual	dual	mitochondrial	dual	mitochondrial
Cquinoa_AUR62002663	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002667	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002664	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002666	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002665	plastid	plastid	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002670	plastid	non-organellar	non-organellar	non-organellar	plastid
Cquinoa_AUR62002668	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002669	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002671	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002672	mitochondrial	mitochondrial	non-organellar	mitochondrial	non-organellar
Cquinoa_AUR62002673	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002674	dual	mitochondrial	plastid	non-organellar	non-organellar
Cquinoa_AUR62002675	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002676	plastid	non-organellar	non-organellar	plastid	non-organellar
Cquinoa_AUR62002677	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002678	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002679	plastid	non-organellar	plastid	non-organellar	non-organellar
Cquinoa_AUR62002680	plastid	non-organellar	plastid	non-organellar	non-organellar
Cquinoa_AUR62002681	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002682	dual	dual	mitochondrial	dual	mitochondrial
Cquinoa_AUR62002683	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002686	plastid	plastid	plastid	plastid	non-organellar
Cquinoa_AUR62002684	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002685	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002690	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002687	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002688	dual	dual	mitochondrial	mitochondrial	non-organellar
Cquinoa_AUR62002689	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002691	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002692	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002693	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Cquinoa_AUR62002694	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002695	dual	plastid	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002696	dual	mitochondrial	plastid	non-organellar	N/A
Cquinoa_AUR62002698	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002699	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002697	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002701	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002700	dual	mitochondrial	mitochondrial	mitochondrial	plastid
Cquinoa_AUR62002702	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002703	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002706	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002705	dual	mitochondrial	plastid	non-organellar	non-organellar
Cquinoa_AUR62002704	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002707	dual	mitochondrial	mitochondrial	plastid	non-organellar
Cquinoa_AUR62002709	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Cquinoa_AUR62002708	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002710	dual	dual	plastid	mitochondrial	mitochondrial
Cquinoa_AUR62002711	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002712	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002713	dual	dual	mitochondrial	non-organellar	non-organellar
Cquinoa_AUR62002714	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cquinoa_AUR62002715	dual	dual	plastid	plastid	plastid
