#Gene	Overall Prediction	TargetP	iPSORT	LOCALIZER	Predotar
Brahy.S06G0096400.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0232800.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0189400.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0170300.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0124600.1	plastid	non-organellar	plastid	plastid	non-organellar
Brahy.S06G0215800.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0237300.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0055100.1	dual	dual	mitochondrial	plastid	non-organellar
Brahy.S06G0020100.1	plastid	non-organellar	non-organellar	plastid	non-organellar
Brahy.S06G0070700.1	mitochondrial	non-organellar	non-organellar	mitochondrial	non-organellar
Brahy.S06G0208200.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0120100.1	dual	dual	plastid	non-organellar	non-organellar
Brahy.S06G0165400.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0269400.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0187000.1	mitochondrial	non-organellar	non-organellar	mitochondrial	non-organellar
Brahy.S06G0132300.1	dual	dual	mitochondrial	mitochondrial	mitochondrial
Brahy.S06G0132100.1	plastid	non-organellar	plastid	plastid	non-organellar
Brahy.S06G0005700.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0243100.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0160000.1	plastid	plastid	plastid	plastid	plastid
Brahy.S06G0012300.1	dual	dual	mitochondrial	mitochondrial	non-organellar
Brahy.S06G0038200.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0218400.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0046300.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0178100.1	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Brahy.S06G0123500.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0110900.1	plastid	non-organellar	plastid	non-organellar	non-organellar
Brahy.S06G0196000.1	dual	dual	plastid	non-organellar	non-organellar
Brahy.S06G0232300.1	dual	dual	plastid	mitochondrial	non-organellar
Brahy.S06G0105000.1	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Brahy.S06G0162000.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0123200.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0185500.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0014200.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0104100.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0034000.1	dual	dual	mitochondrial	mitochondrial	mitochondrial
Brahy.S06G0034500.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0266700.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0141900.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0204100.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0047700.1	dual	dual	mitochondrial	non-organellar	mitochondrial
Brahy.S06G0222100.1	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Brahy.S06G0137500.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0178800.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0155200.1	dual	dual	non-organellar	non-organellar	non-organellar
Brahy.S06G0021600.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0261600.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0066400.1	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Brahy.S06G0005200.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0048800.1	plastid	non-organellar	plastid	non-organellar	non-organellar
Brahy.S06G0038400.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.S06G0231500.1	mitochondrial	mitochondrial	mitochondrial	mitochondrial	non-organellar
Brahy.S06G0239200.1	plastid	plastid	plastid	plastid	non-organellar
Brahy.S06G0101300.1	dual	dual	mitochondrial	mitochondrial	mitochondrial
Brahy.S06G0082600.1	plastid	plastid	plastid	plastid	non-organellar
Brahy.S06G0250700.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
