#Gene	Overall Prediction	TargetP	iPSORT	LOCALIZER	Predotar
Cara_C_LOC113743383_rna2727	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Cara_C_LOC113717169_rna73723	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113717168_rna73350	plastid	non-organellar	non-organellar	plastid	non-organellar
Cara_C_LOC113717165_rna72135	dual	dual	mitochondrial	plastid	plastid
Cara_C_LOC113717164_rna72620	plastid	plastid	non-organellar	non-organellar	non-organellar
Cara_C_LOC113717167_rna72516	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113689135_rna37571	dual	plastid	plastid	dual	non-organellar
Cara_C_LOC113717161_rna74516	dual	dual	non-organellar	mitochondrial	mitochondrial
Cara_C_LOC113717160_rna74522	dual	dual	mitochondrial	non-organellar	non-organellar
Cara_C_LOC113717163_rna73548	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113717162_rna73730	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113698220_rna49731	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113706328_rna61685	plastid	plastid	non-organellar	non-organellar	non-organellar
Cara_C_LOC113698222_rna51961	dual	dual	non-organellar	plastid	non-organellar
Cara_C_LOC113698223_rna50433	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113716579_rna72087	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113716578_rna73572	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113698226_rna51072	plastid	plastid	plastid	plastid	plastid
Cara_C_LOC113698227_rna52132	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113706857_rna59920	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113716574_rna73270	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113706323_rna59848	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113706322_rna59847	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113716571_rna73409	dual	dual	mitochondrial	mitochondrial	non-organellar
Cara_C_LOC113713655_rna69519	plastid	plastid	non-organellar	non-organellar	non-organellar
Cara_C_LOC113716573_rna73827	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cara_C_LOC113716572_rna72289	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113689947_rna38479	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cara_C_LOC113689946_rna37243	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113689945_rna38891	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113690410_rna38845	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113689943_rna37206	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113689942_rna38336	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113692488_rna43587	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113693581_rna42038	dual	dual	plastid	non-organellar	non-organellar
Cara_C_LOC113692486_rna40900	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113723945_rna10315	plastid	non-organellar	plastid	non-organellar	non-organellar
Cara_C_LOC113728226_rna14610	dual	mitochondrial	mitochondrial	plastid	non-organellar
Cara_C_LOC113723947_rna10361	mitochondrial	mitochondrial	mitochondrial	mitochondrial	mitochondrial
Cara_C_LOC113723940_rna1128	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cara_C_LOC113723941_rna10300	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113723942_rna10301	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cara_C_LOC113723943_rna10302	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113736942_rna580	dual	dual	mitochondrial	non-organellar	non-organellar
Cara_C_LOC113736636_rna482	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113713651_rna69366	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113714394_rna69374	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113739415_rna29837	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113693584_rna40981	plastid	non-organellar	plastid	non-organellar	non-organellar
Cara_C_LOC113731668_rna2503	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113739416_rna29565	dual	dual	mitochondrial	dual	non-organellar
Cara_C_LOC113739411_rna29839	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113739410_rna30448	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113739413_rna30645	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Cara_C_LOC113739412_rna29634	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Cara_C_LOC113688892_rna38263	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
