Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
TuG1812G0100000533	TuG1812G0100000526	TuG1812G0100000188	TuG1812G0100000526	TuG1812G0100000188	TuG1812G0100000526	TuG1812G0100000526	TuG1812G0100000188	TuG1812G0100000526	TuG1812G0100000188	TuG1812G0100000031	TuG1812G0100000526	TuG1812G0100002375	TuG1812G0100001934	TuG1812G0300000993	TuG1812G0100000188	TuG1812G0100000188	TuG1812G0100000840	TuG1812G0100001442	TuG1812G0100001442	TuG1812G0100002917	TuG1812G0200001132	TuG1812G0100000508	TuG1812G0100000285	TuG1812G0100000713	TuG1812G0100002531	TuG1812G0500001965	TuG1812G0100000713	TuG1812G0100002979			TuG1812G0100001242		TuG1812G0100002375	TuG1812G0100000031	TuG1812G0100000031	TuG1812G0200006337	TuG1812G0100002055	TuG1812G0100001568	TuG1812G0100001268	TuG1812G0400002439	TuG1812G0200002199	TuG1812G0100001268	TuG1812G0100004307	TuG1812G0100004087	TuG1812G0200000676	TuG1812G0100000713	TuG1812G0200003688	TuG1812G0500001965	TuG1812G0100004699	TuG1812G0100000713	TuG1812G0100001031	TuG1812G0400003093	TuG1812G0100000729	TuG1812G0100001242	
TuG1812G0100000532	TuG1812G0100000188	TuG1812G0100000031	TuG1812G0100000036	TuG1812G0100000576	TuG1812G0100000188	TuG1812G0100000031	TuG1812G0100000285	TuG1812G0100000036	TuG1812G0100000576	TuG1812G0100000713	TuG1812G0100000036	TuG1812G0100004791	TuG1812G0100002055		TuG1812G0100000576	TuG1812G0100000576	TuG1812G0100003908	TuG1812G0100000508	TuG1812G0100002485	TuG1812G0100003885	TuG1812G0200001447	TuG1812G0100001743	TuG1812G0100004700	TuG1812G0100002979	TuG1812G0100004268		TuG1812G0200006319	TuG1812G0100003523			TuG1812G0100002087		TuG1812G0100004791	TuG1812G0100002828	TuG1812G0100002828	TuG1812G0300003143	TuG1812G0200004106	TuG1812G0100001968	TuG1812G0100004087		TuG1812G0500004317	TuG1812G0200001426	TuG1812G0200001267	TuG1812G0200001129	TuG1812G0200000675	TuG1812G0100000729	TuG1812G0300002390		TuG1812G0400002489	TuG1812G0200006319	TuG1812G0100002979		TuG1812G0100002071	TuG1812G0100002087	
TuG1812G0100000531	TuG1812G0100000031	TuG1812G0100000285	TuG1812G0100000225	TuG1812G0100000840	TuG1812G0100000036	TuG1812G0100000036	TuG1812G0100000576	TuG1812G0100003664	TuG1812G0100000840	TuG1812G0100000729	TuG1812G0100000225	TuG1812G0200003337	TuG1812G0200004106		TuG1812G0100000840	TuG1812G0100001202	TuG1812G0100004275	TuG1812G0100002485	TuG1812G0100002357	TuG1812G0200003247	TuG1812G0200003488	TuG1812G0100003953	TuG1812G0100000924	TuG1812G0100002531	TuG1812G0200002749		TuG1812G0300001790	TuG1812G0600003672			TuG1812G0100001714		TuG1812G0200003337	TuG1812G0300003718	TuG1812G0300003718	TuG1812G0400002168	TuG1812G0700001025	TuG1812G0100001898	TuG1812G0100004307			TuG1812G0200001863	TuG1812G0200002046	TuG1812G0200002628	TuG1812G0200000674	TuG1812G0100004699	TuG1812G0300002583		TuG1812G0400001753	TuG1812G0300001159	TuG1812G0200001998		TuG1812G0100001451	TuG1812G0100001714	
TuG1812G0100000548	TuG1812G0100000036	TuG1812G0100000576	TuG1812G0100003664	TuG1812G0100001202	TuG1812G0100003664	TuG1812G0100000225	TuG1812G0100000713	TuG1812G0100003658	TuG1812G0100001202	TuG1812G0100004699	TuG1812G0100003664	TuG1812G0200003094	TuG1812G0100003686		TuG1812G0100001202	TuG1812G0100002871	TuG1812G0200000708	TuG1812G0100002357	TuG1812G0600002183	TuG1812G0300004907	TuG1812G0500004282	TuG1812G0200003302	TuG1812G0100001097	TuG1812G0100003523	TuG1812G0300001215		TuG1812G0500001333	TuG1812G0400000778			TuG1812G0100002733		TuG1812G0200003094	TuG1812G0200006337	TuG1812G0300002842	TuG1812G0400001578	TuG1812G0300005238	TuG1812G0100001849	TuG1812G0200000676			TuG1812G0200004381	TuG1812G0200002765	TuG1812G0200002264	TuG1812G0200000673	TuG1812G0100001031	TuG1812G0500001966		TuG1812G0400000391	TuG1812G0500001333	TuG1812G0500003939		TuG1812G0300005094	TuG1812G0100002733	
TuG1812G0100000530	TuG1812G0100000225	TuG1812G0100000713	TuG1812G0100003658	TuG1812G0100002871	TuG1812G0100003658	TuG1812G0100003664	TuG1812G0100000840	TuG1812G0100000155	TuG1812G0100002871	TuG1812G0100001031	TuG1812G0100000048	TuG1812G0300002152	TuG1812G0200000238		TuG1812G0100002871	TuG1812G0300002876	TuG1812G0200001787	TuG1812G0100002917	TuG1812G0100003680	TuG1812G0400002892	TuG1812G0200004886	TuG1812G0200002783	TuG1812G0100001112	TuG1812G0100004268	TuG1812G0400001761		TuG1812G0500001230	TuG1812G0600002994			TuG1812G0100002594		TuG1812G0300002152	TuG1812G0300002842	TuG1812G0300003182	TuG1812G0400003765	TuG1812G0300004191	TuG1812G0100002344	TuG1812G0200000675			TuG1812G0300004759	TuG1812G0200001584	TuG1812G0200002757	TuG1812G0200000668	TuG1812G0100002979	TuG1812G0300002397		TuG1812G0700002946	TuG1812G0500001230	TuG1812G0500004469		TuG1812G0300001711	TuG1812G0100002594	
TuG1812G0100000549	TuG1812G0100003664	TuG1812G0100000840	TuG1812G0100000155	TuG1812G0300002876	TuG1812G0100000285	TuG1812G0100000048	TuG1812G0100004700	TuG1812G0100000048	TuG1812G0300002876	TuG1812G0100001268	TuG1812G0100000419	TuG1812G0300002268	TuG1812G0300000858		TuG1812G0300002876	TuG1812G0100001789	TuG1812G0200001706	TuG1812G0600002183	TuG1812G0200001500	TuG1812G0500004758	TuG1812G0200006171	TuG1812G0300003102	TuG1812G0100001117	TuG1812G0200002749	TuG1812G0500004483		TuG1812G0500001334	TuG1812G0700002584			TuG1812G0200005784		TuG1812G0300002268	TuG1812G0300003182	TuG1812G0300002714	TuG1812G0400000368	TuG1812G0300004294	TuG1812G0100002617	TuG1812G0200000674			TuG1812G0400000795	TuG1812G0300000544	TuG1812G0200002738	TuG1812G0200000686	TuG1812G0100002071	TuG1812G0400001761			TuG1812G0500002906	TuG1812G0600002106		TuG1812G0400003003	TuG1812G0200005784	
TuG1812G0100000550	TuG1812G0100003658	TuG1812G0100000729	TuG1812G0100000048	TuG1812G0100001789	TuG1812G0100000155	TuG1812G0100000419	TuG1812G0100000924	TuG1812G0100000419	TuG1812G0100001789	TuG1812G0100001242	TuG1812G0100000417	TuG1812G0300002269	TuG1812G0300005238		TuG1812G0100001789	TuG1812G0100001870	TuG1812G0200003191	TuG1812G0100003680	TuG1812G0700005834		TuG1812G0300002330	TuG1812G0300003415	TuG1812G0100002767	TuG1812G0200006319			TuG1812G0600002505	TuG1812G0700002636			TuG1812G0200002611		TuG1812G0300002269	TuG1812G0300003143	TuG1812G0300004963	TuG1812G0600001722	TuG1812G0400003891	TuG1812G0100002897	TuG1812G0200000673			TuG1812G0400001043	TuG1812G0500002440	TuG1812G0200003755	TuG1812G0500001978	TuG1812G0100001451				TuG1812G0500001334	TuG1812G0600002300		TuG1812G0400001808	TuG1812G0200002611	
TuG1812G0100000551	TuG1812G0100000285	TuG1812G0100004699	TuG1812G0100000419	TuG1812G0100001870	TuG1812G0100000048	TuG1812G0100000417	TuG1812G0100001097	TuG1812G0100000417	TuG1812G0100001870	TuG1812G0100001568	TuG1812G0100000618	TuG1812G0300003478	TuG1812G0300002739		TuG1812G0100001870	TuG1812G0100001869	TuG1812G0200005859	TuG1812G0100001743	TuG1812G0200002396		TuG1812G0500001011	TuG1812G0600000942	TuG1812G0100003146	TuG1812G0300001215							TuG1812G0200003012		TuG1812G0300003478	TuG1812G0300002714	TuG1812G0400003966	TuG1812G0700000189	TuG1812G0400002758	TuG1812G0100004621	TuG1812G0200000668			TuG1812G0500001538	TuG1812G0500002642	TuG1812G0200002461	TuG1812G0500001981	TuG1812G0200001998				TuG1812G0600002076			TuG1812G0600003160	TuG1812G0200003012	
TuG1812G0100000552	TuG1812G0100000155	TuG1812G0100004700	TuG1812G0100000417	TuG1812G0100001869	TuG1812G0100000419	TuG1812G0100000618	TuG1812G0100001112	TuG1812G0100000618	TuG1812G0100001869	TuG1812G0100002979	TuG1812G0100000448	TuG1812G0400002126	TuG1812G0300004191		TuG1812G0100001869	TuG1812G0100002492	TuG1812G0200004818	TuG1812G0100003953	TuG1812G0200001532		TuG1812G0700000503	TuG1812G0600003035	TuG1812G0100001586	TuG1812G0300001790							TuG1812G0200002622		TuG1812G0400002126	TuG1812G0300004963	TuG1812G0400002869		TuG1812G0400001728	TuG1812G0200001515	TuG1812G0200000686			TuG1812G0500002594	TuG1812G0500002933	TuG1812G0300003586		TuG1812G0500003939							TuG1812G0700001351	TuG1812G0200002622	
TuG1812G0100000553	TuG1812G0100000048	TuG1812G0100000924	TuG1812G0100000618	TuG1812G0100002492	TuG1812G0100000417	TuG1812G0100000448	TuG1812G0100001117	TuG1812G0100000491	TuG1812G0100002492	TuG1812G0100002087	TuG1812G0100000491	TuG1812G0400001879	TuG1812G0300004294		TuG1812G0100002492	TuG1812G0300001670	TuG1812G0200002460	TuG1812G0100003885	TuG1812G0200003203		TuG1812G0700004139	TuG1812G0700005777	TuG1812G0100001785	TuG1812G0600003672							TuG1812G0200002312		TuG1812G0400001879	TuG1812G0400003966	TuG1812G0400002521		TuG1812G0500004031	TuG1812G0200001971	TuG1812G0200001129			TuG1812G0600002397	TuG1812G0500004375	TuG1812G0400000874		TuG1812G0200003688							TuG1812G0700005683	TuG1812G0200002312	
