#Gene	Overall Prediction	TargetP	iPSORT	LOCALIZER	Predotar
Brahy.D05G0149200.1	dual	dual	mitochondrial	non-organellar	non-organellar
Brahy.D05G0035200.1	plastid	non-organellar	plastid	non-organellar	non-organellar
Brahy.D05G0369600.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0367400.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0270100.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0046800.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0161400.1	plastid	non-organellar	non-organellar	plastid	non-organellar
Brahy.D05G0226900.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0091500.1	plastid	plastid	non-organellar	non-organellar	non-organellar
Brahy.D05G0104000.1	dual	dual	mitochondrial	mitochondrial	mitochondrial
Brahy.D05G0268400.1	dual	dual	mitochondrial	mitochondrial	N/A
Brahy.D05G0283800.1	dual	non-organellar	mitochondrial	plastid	non-organellar
Brahy.D05G0059300.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0002900.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0305100.1	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
Brahy.D05G0056900.1	dual	mitochondrial	plastid	mitochondrial	non-organellar
Brahy.D05G0054400.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0340100.1	dual	dual	mitochondrial	mitochondrial	mitochondrial
Brahy.D05G0252100.1	plastid	plastid	non-organellar	non-organellar	non-organellar
Brahy.D05G0305600.1	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Brahy.D05G0312300.1	plastid	non-organellar	plastid	non-organellar	non-organellar
Brahy.D05G0172100.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0207700.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0308700.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0216600.1	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Brahy.D05G0259000.1	dual	dual	plastid	plastid	plastid
Brahy.D05G0261800.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0188700.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0287100.1	plastid	plastid	non-organellar	non-organellar	N/A
Brahy.D05G0093700.1	dual	dual	mitochondrial	dual	non-organellar
Brahy.D05G0223300.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0115500.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0235600.1	dual	plastid	mitochondrial	non-organellar	non-organellar
Brahy.D05G0093600.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0347600.1	plastid	non-organellar	plastid	non-organellar	N/A
Brahy.D05G0137100.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0021900.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0361200.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0155600.1	dual	dual	mitochondrial	mitochondrial	mitochondrial
Brahy.D05G0272500.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0007500.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0171900.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0303700.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0268600.1	plastid	plastid	non-organellar	non-organellar	plastid
Brahy.D05G0355200.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0083600.1	plastid	non-organellar	plastid	non-organellar	non-organellar
Brahy.D05G0219500.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0116600.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0090900.1	plastid	non-organellar	plastid	non-organellar	non-organellar
Brahy.D05G0066700.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0202600.1	dual	plastid	mitochondrial	plastid	non-organellar
Brahy.D05G0276000.1	dual	dual	mitochondrial	dual	dual
Brahy.D05G0091900.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0204700.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0275900.1	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
Brahy.D05G0284700.1	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
Brahy.D05G0243900.1	plastid	plastid	non-organellar	non-organellar	non-organellar
Brahy.D05G0194800.1	dual	dual	non-organellar	non-organellar	non-organellar
Brahy.D05G0122400.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0288600.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0124100.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0238300.1	mitochondrial	non-organellar	non-organellar	mitochondrial	non-organellar
Brahy.D05G0319200.1	dual	dual	non-organellar	non-organellar	non-organellar
Brahy.D05G0001500.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0291700.1	plastid	non-organellar	non-organellar	plastid	non-organellar
Brahy.D05G0333900.1	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Brahy.D05G0149700.1	dual	mitochondrial	plastid	non-organellar	N/A
