#Gene	Overall Prediction	TargetP	iPSORT	LOCALIZER	Predotar
Spo00001	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00002	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00003	dual	dual	mitochondrial	plastid	plastid
Spo00004	plastid	plastid	plastid	non-organellar	non-organellar
Spo00005	plastid	non-organellar	plastid	non-organellar	non-organellar
Spo00006	dual	plastid	mitochondrial	plastid	non-organellar
Spo00007	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00008	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Spo00009	dual	dual	non-organellar	non-organellar	non-organellar
Spo00010	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00011	plastid	plastid	plastid	plastid	non-organellar
Spo00012	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00013	dual	dual	plastid	plastid	non-organellar
Spo00014	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Spo00015	dual	dual	plastid	plastid	plastid
Spo00016	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Spo00017	dual	dual	mitochondrial	mitochondrial	non-organellar
Spo00018	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00019	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00020	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00021	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00022	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00023	dual	dual	mitochondrial	mitochondrial	mitochondrial
Spo00024	plastid	plastid	non-organellar	non-organellar	plastid
Spo00025	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00026	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00027	dual	dual	plastid	plastid	plastid
Spo00028	dual	mitochondrial	plastid	non-organellar	non-organellar
Spo00029	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00030	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00031	dual	dual	non-organellar	non-organellar	non-organellar
Spo00032	dual	dual	mitochondrial	non-organellar	non-organellar
Spo00033	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00034	plastid	plastid	plastid	plastid	plastid
Spo00035	dual	dual	mitochondrial	non-organellar	non-organellar
Spo00039	dual	plastid	mitochondrial	plastid	plastid
Spo00041	dual	dual	mitochondrial	plastid	non-organellar
Spo00042	mitochondrial	mitochondrial	mitochondrial	non-organellar	non-organellar
Spo00043	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00044	dual	plastid	mitochondrial	plastid	non-organellar
Spo00045	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00047	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00048	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00049	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00050	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00051	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00052	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00053	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00054	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00055	plastid	plastid	non-organellar	non-organellar	non-organellar
Spo00056	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00059	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Spo00060	dual	non-organellar	non-organellar	dual	non-organellar
Spo00061	plastid	non-organellar	plastid	plastid	non-organellar
Spo00062	plastid	plastid	plastid	plastid	non-organellar
Spo00063	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00064	dual	dual	plastid	plastid	plastid
Spo00065	plastid	non-organellar	plastid	non-organellar	non-organellar
Spo00066	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00067	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00070	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00071	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00072	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00073	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00075	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00076	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00077	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00078	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00079	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00080	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00081	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Spo00082	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Spo00083	mitochondrial	non-organellar	mitochondrial	non-organellar	mitochondrial
Spo00084	mitochondrial	mitochondrial	non-organellar	non-organellar	non-organellar
Spo00085	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00086	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00087	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Spo00088	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00089	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Spo00090	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00091	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Spo00092	dual	plastid	mitochondrial	non-organellar	non-organellar
Spo00093	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00094	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00095	dual	dual	mitochondrial	mitochondrial	mitochondrial
Spo00096	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00097	non-organellar	non-organellar	non-organellar	non-organellar	N/A
Spo00098	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00099	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00100	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00102	plastid	non-organellar	non-organellar	plastid	non-organellar
Spo00103	dual	mitochondrial	plastid	non-organellar	non-organellar
Spo00104	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00105	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00106	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00107	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00108	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00109	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
Spo00110	dual	dual	mitochondrial	plastid	plastid
Spo00111	dual	dual	non-organellar	dual	mitochondrial
Spo00114	mitochondrial	non-organellar	mitochondrial	non-organellar	non-organellar
Spo00115	non-organellar	non-organellar	non-organellar	non-organellar	non-organellar
