Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
Cpallidicaule_CP012907	Cpallidicaule_CP012915	Cpallidicaule_CP012925	Cpallidicaule_CP012915	Cpallidicaule_CP013189	Cpallidicaule_CP012915	Cpallidicaule_CP012915	Cpallidicaule_CP012925	Cpallidicaule_CP012915	Cpallidicaule_CP013189	Cpallidicaule_CP012981	Cpallidicaule_CP012915	Cpallidicaule_CP014255	Cpallidicaule_CP014213	Cpallidicaule_CP002608	Cpallidicaule_CP013189	Cpallidicaule_CP016492	Cpallidicaule_CP013189	Cpallidicaule_CP013086	Cpallidicaule_CP013693	Cpallidicaule_CP013086	Cpallidicaule_CP014317	Cpallidicaule_CP010645	Cpallidicaule_CP012925	Cpallidicaule_CP013890	Cpallidicaule_CP014904	Cpallidicaule_CP017043	Cpallidicaule_CP015325	Cpallidicaule_CP013890	Cpallidicaule_CP005437	Cpallidicaule_CP014625	Cpallidicaule_CP012981	Cpallidicaule_CP014255	Cpallidicaule_CP017134	Cpallidicaule_CP013438	Cpallidicaule_CP013438	Cpallidicaule_CP013652	Cpallidicaule_CP015354	Cpallidicaule_CP013098	Cpallidicaule_CP013108	Cpallidicaule_CP017637	Cpallidicaule_CP013496	Cpallidicaule_CP014170	Cpallidicaule_CP013108	Cpallidicaule_CP015006	Cpallidicaule_CP016067	Cpallidicaule_CP013222	Cpallidicaule_CP014847	Cpallidicaule_CP017043	Cpallidicaule_CP014619	Cpallidicaule_CP015325	Cpallidicaule_CP015345	Cpallidicaule_CP010479	Cpallidicaule_CP013222	Cpallidicaule_CP012981	
Cpallidicaule_CP012908	Cpallidicaule_CP012925	Cpallidicaule_CP012973	Cpallidicaule_CP012928	Cpallidicaule_CP013628	Cpallidicaule_CP012925	Cpallidicaule_CP012928	Cpallidicaule_CP012973	Cpallidicaule_CP012956	Cpallidicaule_CP013628	Cpallidicaule_CP013098	Cpallidicaule_CP012928	Cpallidicaule_CP016181	Cpallidicaule_CP014215		Cpallidicaule_CP013628	Cpallidicaule_CP016621	Cpallidicaule_CP013628	Cpallidicaule_CP013693	Cpallidicaule_CP013722	Cpallidicaule_CP014685	Cpallidicaule_CP015320	Cpallidicaule_CP000109	Cpallidicaule_CP012973	Cpallidicaule_CP014625	Cpallidicaule_CP010689	Cpallidicaule_CP004169	Cpallidicaule_CP015326	Cpallidicaule_CP014736		Cpallidicaule_CP017077	Cpallidicaule_CP014319	Cpallidicaule_CP016181	Cpallidicaule_CP011361	Cpallidicaule_CP013652	Cpallidicaule_CP014610	Cpallidicaule_CP015397	Cpallidicaule_CP016655	Cpallidicaule_CP013141	Cpallidicaule_CP013496	Cpallidicaule_CP003057	Cpallidicaule_CP020643	Cpallidicaule_CP014391	Cpallidicaule_CP016216	Cpallidicaule_CP015049	Cpallidicaule_CP017198	Cpallidicaule_CP013353	Cpallidicaule_CP017174	Cpallidicaule_CP004169	Cpallidicaule_CP015566	Cpallidicaule_CP015326	Cpallidicaule_CP012238	Cpallidicaule_CP010500	Cpallidicaule_CP013353	Cpallidicaule_CP014319	
Cpallidicaule_CP012909	Cpallidicaule_CP012928	Cpallidicaule_CP012981	Cpallidicaule_CP012956	Cpallidicaule_CP013780	Cpallidicaule_CP012956	Cpallidicaule_CP012956	Cpallidicaule_CP012981	Cpallidicaule_CP012959	Cpallidicaule_CP013780	Cpallidicaule_CP013108	Cpallidicaule_CP012956	Cpallidicaule_CP001437	Cpallidicaule_CP015354		Cpallidicaule_CP013780	Cpallidicaule_CP016934	Cpallidicaule_CP013780	Cpallidicaule_CP013722	Cpallidicaule_CP013851	Cpallidicaule_CP015611	Cpallidicaule_CP010789	Cpallidicaule_CP000114	Cpallidicaule_CP012987	Cpallidicaule_CP014736	Cpallidicaule_CP008930	Cpallidicaule_CP007205	Cpallidicaule_CP016488	Cpallidicaule_CP010373		Cpallidicaule_CP021051	Cpallidicaule_CP014658	Cpallidicaule_CP001437	Cpallidicaule_CP012700	Cpallidicaule_CP014610	Cpallidicaule_CP014643	Cpallidicaule_CP017214	Cpallidicaule_CP010632	Cpallidicaule_CP013205	Cpallidicaule_CP014170	Cpallidicaule_CP005665		Cpallidicaule_CP015318	Cpallidicaule_CP016782	Cpallidicaule_CP015601	Cpallidicaule_CP017199	Cpallidicaule_CP014619	Cpallidicaule_CP001791	Cpallidicaule_CP007205	Cpallidicaule_CP016786	Cpallidicaule_CP016488	Cpallidicaule_CP007988	Cpallidicaule_CP004488	Cpallidicaule_CP014625	Cpallidicaule_CP014658	
Cpallidicaule_CP012910	Cpallidicaule_CP012956	Cpallidicaule_CP012987	Cpallidicaule_CP012959	Cpallidicaule_CP014228	Cpallidicaule_CP012959	Cpallidicaule_CP012959	Cpallidicaule_CP012987	Cpallidicaule_CP012961	Cpallidicaule_CP014228	Cpallidicaule_CP013141	Cpallidicaule_CP012959	Cpallidicaule_CP006711	Cpallidicaule_CP016655		Cpallidicaule_CP014228	Cpallidicaule_CP017017	Cpallidicaule_CP014228	Cpallidicaule_CP013851	Cpallidicaule_CP014858	Cpallidicaule_CP015693	Cpallidicaule_CP008007	Cpallidicaule_CP000948	Cpallidicaule_CP013141	Cpallidicaule_CP014904	Cpallidicaule_CP001791		Cpallidicaule_CP001412	Cpallidicaule_CP010893			Cpallidicaule_CP016134	Cpallidicaule_CP006711	Cpallidicaule_CP012701	Cpallidicaule_CP014643	Cpallidicaule_CP014674	Cpallidicaule_CP017441	Cpallidicaule_CP010642	Cpallidicaule_CP013227	Cpallidicaule_CP014391			Cpallidicaule_CP016330	Cpallidicaule_CP010408	Cpallidicaule_CP007951	Cpallidicaule_CP017201	Cpallidicaule_CP014625	Cpallidicaule_CP003330		Cpallidicaule_CP012414	Cpallidicaule_CP011223	Cpallidicaule_CP009131		Cpallidicaule_CP015657	Cpallidicaule_CP016134	
Cpallidicaule_CP012911	Cpallidicaule_CP012959	Cpallidicaule_CP013086	Cpallidicaule_CP012961	Cpallidicaule_CP015087	Cpallidicaule_CP012961	Cpallidicaule_CP012961	Cpallidicaule_CP013086	Cpallidicaule_CP012984	Cpallidicaule_CP015087	Cpallidicaule_CP013205	Cpallidicaule_CP012961	Cpallidicaule_CP017134	Cpallidicaule_CP010632		Cpallidicaule_CP015087	Cpallidicaule_CP017441	Cpallidicaule_CP015087	Cpallidicaule_CP014317	Cpallidicaule_CP014945	Cpallidicaule_CP016215	Cpallidicaule_CP008257	Cpallidicaule_CP001216	Cpallidicaule_CP013147	Cpallidicaule_CP015325	Cpallidicaule_CP006462		Cpallidicaule_CP004947	Cpallidicaule_CP012238			Cpallidicaule_CP016172		Cpallidicaule_CP008255	Cpallidicaule_CP014674	Cpallidicaule_CP015043	Cpallidicaule_CP011529	Cpallidicaule_CP011761	Cpallidicaule_CP013391	Cpallidicaule_CP015006			Cpallidicaule_CP016734	Cpallidicaule_CP008192	Cpallidicaule_CP008000	Cpallidicaule_CP009149	Cpallidicaule_CP014847	Cpallidicaule_CP005296		Cpallidicaule_CP018731	Cpallidicaule_CP001412	Cpallidicaule_CP010224		Cpallidicaule_CP011592	Cpallidicaule_CP016172	
Cpallidicaule_CP012912	Cpallidicaule_CP012961	Cpallidicaule_CP013098	Cpallidicaule_CP012970	Cpallidicaule_CP015226	Cpallidicaule_CP012973	Cpallidicaule_CP012970	Cpallidicaule_CP013141	Cpallidicaule_CP012990	Cpallidicaule_CP015226	Cpallidicaule_CP013222	Cpallidicaule_CP012970	Cpallidicaule_CP011361	Cpallidicaule_CP010642		Cpallidicaule_CP015226	Cpallidicaule_CP010393	Cpallidicaule_CP015226	Cpallidicaule_CP014685	Cpallidicaule_CP015166	Cpallidicaule_CP002299	Cpallidicaule_CP008627	Cpallidicaule_CP002017	Cpallidicaule_CP013205	Cpallidicaule_CP015326	Cpallidicaule_CP020175		Cpallidicaule_CP006571	Cpallidicaule_CP009131			Cpallidicaule_CP016305		Cpallidicaule_CP008638	Cpallidicaule_CP015043	Cpallidicaule_CP015338	Cpallidicaule_CP009706	Cpallidicaule_CP011843	Cpallidicaule_CP013425	Cpallidicaule_CP015049			Cpallidicaule_CP011059	Cpallidicaule_CP010155	Cpallidicaule_CP002621		Cpallidicaule_CP015325	Cpallidicaule_CP007168			Cpallidicaule_CP001682	Cpallidicaule_CP000507		Cpallidicaule_CP009876	Cpallidicaule_CP016305	
Cpallidicaule_CP012913	Cpallidicaule_CP012970	Cpallidicaule_CP013108	Cpallidicaule_CP012984	Cpallidicaule_CP015912	Cpallidicaule_CP012981	Cpallidicaule_CP012981	Cpallidicaule_CP013147	Cpallidicaule_CP012991	Cpallidicaule_CP015912	Cpallidicaule_CP013227	Cpallidicaule_CP012984	Cpallidicaule_CP012700	Cpallidicaule_CP010717		Cpallidicaule_CP015912	Cpallidicaule_CP010401	Cpallidicaule_CP015912	Cpallidicaule_CP014858	Cpallidicaule_CP015811	Cpallidicaule_CP003672	Cpallidicaule_CP004300	Cpallidicaule_CP004475	Cpallidicaule_CP013220	Cpallidicaule_CP016488			Cpallidicaule_CP021159	Cpallidicaule_CP001294			Cpallidicaule_CP016788		Cpallidicaule_CP000064	Cpallidicaule_CP015338	Cpallidicaule_CP016473	Cpallidicaule_CP010233	Cpallidicaule_CP009288	Cpallidicaule_CP014110	Cpallidicaule_CP015318			Cpallidicaule_CP009925	Cpallidicaule_CP002146	Cpallidicaule_CP003203		Cpallidicaule_CP015326	Cpallidicaule_CP007339			Cpallidicaule_CP004947	Cpallidicaule_CP001294		Cpallidicaule_CP010273	Cpallidicaule_CP016788	
Cpallidicaule_CP012914	Cpallidicaule_CP012973	Cpallidicaule_CP013141	Cpallidicaule_CP012985	Cpallidicaule_CP016089	Cpallidicaule_CP012984	Cpallidicaule_CP012984	Cpallidicaule_CP013189	Cpallidicaule_CP012995	Cpallidicaule_CP016089	Cpallidicaule_CP013353	Cpallidicaule_CP012985	Cpallidicaule_CP012701	Cpallidicaule_CP011761		Cpallidicaule_CP016089	Cpallidicaule_CP011482	Cpallidicaule_CP016089	Cpallidicaule_CP014945	Cpallidicaule_CP016115	Cpallidicaule_CP018054	Cpallidicaule_CP005281	Cpallidicaule_CP004610	Cpallidicaule_CP013227	Cpallidicaule_CP017043				Cpallidicaule_CP001984			Cpallidicaule_CP017663		Cpallidicaule_CP000332	Cpallidicaule_CP015397	Cpallidicaule_CP016994	Cpallidicaule_CP000544	Cpallidicaule_CP009427	Cpallidicaule_CP014499	Cpallidicaule_CP015601			Cpallidicaule_CP000583	Cpallidicaule_CP004182	Cpallidicaule_CP004846		Cpallidicaule_CP015345				Cpallidicaule_CP020065	Cpallidicaule_CP003771		Cpallidicaule_CP010305	Cpallidicaule_CP017663	
Cpallidicaule_CP012916	Cpallidicaule_CP012981	Cpallidicaule_CP013147	Cpallidicaule_CP012990	Cpallidicaule_CP016096	Cpallidicaule_CP012987	Cpallidicaule_CP012985	Cpallidicaule_CP013205	Cpallidicaule_CP013037	Cpallidicaule_CP016096	Cpallidicaule_CP013391	Cpallidicaule_CP012995	Cpallidicaule_CP008255	Cpallidicaule_CP011843		Cpallidicaule_CP016096	Cpallidicaule_CP011906	Cpallidicaule_CP016096	Cpallidicaule_CP015166	Cpallidicaule_CP016159	Cpallidicaule_CP007676	Cpallidicaule_CP005453	Cpallidicaule_CP006809	Cpallidicaule_CP013391	Cpallidicaule_CP017077				Cpallidicaule_CP021820			Cpallidicaule_CP010956		Cpallidicaule_CP000915	Cpallidicaule_CP016473	Cpallidicaule_CP010397	Cpallidicaule_CP004821	Cpallidicaule_CP010318	Cpallidicaule_CP014533	Cpallidicaule_CP016067			Cpallidicaule_CP002115	Cpallidicaule_CP004887	Cpallidicaule_CP019929		Cpallidicaule_CP015566				Cpallidicaule_CP020217	Cpallidicaule_CP017947		Cpallidicaule_CP002831	Cpallidicaule_CP010956	
Cpallidicaule_CP012917	Cpallidicaule_CP012984	Cpallidicaule_CP013189	Cpallidicaule_CP012991	Cpallidicaule_CP016492	Cpallidicaule_CP012990	Cpallidicaule_CP012995	Cpallidicaule_CP013220	Cpallidicaule_CP013049	Cpallidicaule_CP016492	Cpallidicaule_CP013425	Cpallidicaule_CP012999	Cpallidicaule_CP008638	Cpallidicaule_CP011873		Cpallidicaule_CP016492	Cpallidicaule_CP012314	Cpallidicaule_CP017197	Cpallidicaule_CP015320	Cpallidicaule_CP016187		Cpallidicaule_CP021112	Cpallidicaule_CP006862	Cpallidicaule_CP013831	Cpallidicaule_CP010373							Cpallidicaule_CP011285		Cpallidicaule_CP000920	Cpallidicaule_CP016994	Cpallidicaule_CP011615	Cpallidicaule_CP006065	Cpallidicaule_CP000930	Cpallidicaule_CP014573	Cpallidicaule_CP016216			Cpallidicaule_CP002527	Cpallidicaule_CP018993	Cpallidicaule_CP005804		Cpallidicaule_CP015657					Cpallidicaule_CP006511		Cpallidicaule_CP004002	Cpallidicaule_CP011285	
